-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90
0.0015929,0.0003394,0.0,0.0,0.0,0.0,0.0,0.0,0.0022581,0.0016155,0.0027514,0.0042447,0.0,0.00034392,0.0013576,0.0,0.00064259,0.0
0.0,0.0,0.0,0.00025342,0.0,0.0,0.0,0.0,0.006901,6.7879e-05,0.0,0.0,0.0085392,0.0,0.0,0.0,0.0,0.0
0.0031405,0.0,0.0023893,0.0095393,0.0,0.0074622,0.0035388,0.007521,0.0,0.0,0.004299,0.0011494,0.00080097,0.0,0.0,0.0,0.00064259,0.0
0.0062358,0.0,0.0070323,0.0048963,0.0,0.0090098,0.006634,0.0,0.0,6.7879e-05,0.0012037,0.0,0.0085392,0.0,0.0,0.0,0.0068332,0.0
0.0046882,0.001887,0.0054846,0.006444,0.0,0.0012716,0.0081817,0.0,0.00071047,0.0031632,0.0,0.0,0.0023486,0.0,0.0044529,0.0,0.0,0.0046158
0.0,0.0,0.0070323,0.0018011,0.0,0.0,0.00044348,0.0013304,0.0022581,0.0,0.0012037,0.0,0.0,0.0,0.0013576,0.0,0.0,0.0061634
0.0,0.0,0.0008417,0.0048963,0.0,0.0059145,0.0035388,0.0059734,0.0038058,0.0,0.0,0.0042447,0.0,0.0065345,0.0,0.0,0.0021902,0.0
0.0031405,0.0,0.0,0.0018011,0.0,0.0043669,0.0050864,0.015259,0.0,0.0,0.01049,0.0,0.0,0.0,0.0,0.0,0.0,0.0030681
4.5253e-05,0.0,0.0,0.011087,0.0,0.0,0.00044348,0.012164,0.00071047,0.0016155,0.004299,0.0,0.0,0.0,0.0013576,0.0,0.0,0.0
0.0015929,0.0034347,0.0,0.0018011,0.0,0.0,0.0,0.0,0.0,0.0,0.0012037,0.0,0.0,0.00034392,0.0075482,0.004566,0.0,0.0
0.02945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.037189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
