0,1,2
0,-90,0.0
1,-90,9.861384059315002e-09
2,-90,1.1151998175758139e-07
3,-90,4.0342428164928714e-07
4,-90,9.210262005880376e-07
5,-90,0.000001641815249
6,-90,2.5121839821206234e-06
7,-90,3.4701679934461315e-06
8,-90,0.000004459107842
9,-90,5.433793447012716e-06
10,-90,6.361828612496449e-06
11,-90,0.000007222475772
12,-90,8.004469957740124e-06
13,-90,8.703651074554365e-06
14,-90,9.320831052261545e-06
15,-90,9.860053859863539e-06
16,-90,1.0327267717245555e-05
17,-90,1.0729364249275112e-05
18,-90,1.1073516601525657e-05
19,-90,1.136674731680783e-05
20,-90,1.1615665135528301e-05
21,-90,1.1826321345021629e-05
22,-90,1.200414764372753e-05
23,-90,1.2153947330707825e-05
24,-90,1.227991957930566e-05
25,-90,1.2385702674893666e-05
26,-90,1.2474426651377455e-05
27,-90,1.2548769058620356e-05
28,-90,1.2611009923940884e-05
29,-90,1.2663083581520212e-05
30,-90,1.2706626130318395e-05
31,-90,1.2743017994501215e-05
32,-90,1.2773421512643921e-05
33,-90,1.2798813754931974e-05
34,-90,1.2820014919826299e-05
35,-90,1.2837712734508308e-05
36,-90,1.2852483305550747e-05
37,-90,1.2864808857287241e-05
38,-90,1.28750927684648e-05
39,-90,1.2883672281654144e-05
40,-90,1.2890829220152165e-05
41,-90,1.2896799007211664e-05
42,-90,1.2901778244424722e-05
43,-90,1.2905931071075156e-05
44,-90,1.2909394494763543e-05
45,-90,1.2912282855712498e-05
46,-90,1.2914691562769043e-05
47,-90,1.291670021799486e-05
48,-90,1.2918375228570123e-05
49,-90,1.2919771989207145e-05
50,-90,1.292093670505471e-05
51,-90,1.2921907913868844e-05
52,-90,1.2922717756753776e-05
53,-90,1.2923393038788459e-05
54,-90,1.2923956114131316e-05
55,-90,1.2924425624546131e-05
56,-90,1.2924817115551217e-05
57,-90,1.2925143550420143e-05
58,-90,1.29254157389337e-05
59,-90,1.2925642694997894e-05
60,-90,1.2925831934912648e-05
61,-90,1.2925989726129183e-05
62,-90,1.2926121294706498e-05
63,-90,1.2926230998318436e-05
64,-90,1.2926322470527972e-05
65,-90,1.2926398741097864e-05
66,-90,1.2926462336316092e-05
67,-90,1.2926515362654546e-05
68,-90,1.2926559576528927e-05
69,-90,1.2926596442468146e-05
70,-90,1.292662718161876e-05
71,-90,1.2926652812189744e-05
72,-90,1.2926674183176824e-05
73,-90,1.2926692002482748e-05
74,-90,1.292670686036471e-05
75,-90,1.2926719248985382e-05
76,-90,1.2926729578714909e-05
77,-90,1.2926738191723822e-05
78,-90,1.292674537331708e-05
79,-90,1.2926751361384454e-05
80,-90,1.2926756354280513e-05
81,-90,1.2926760517394948e-05
82,-90,1.2926763988631047e-05
83,-90,1.2926766882973677e-05
84,-90,1.2926769296298145e-05
85,-90,1.292677130854604e-05
86,-90,1.292677298637326e-05
87,-90,1.2926774385358016e-05
88,-90,1.292677555184185e-05
89,-90,1.2926776524464682e-05
90,-90,1.2926777335444761e-05
91,-90,1.2926778011645933e-05
92,-90,1.2926778575467438e-05
93,-90,1.292677904558596e-05
94,-90,1.292677943757424e-05
95,-90,1.2926779764416946e-05
96,-90,1.2926780036940796e-05
97,-90,1.2926780264173183e-05
98,-90,1.2926780453641216e-05
99,-90,1.292678061162105e-05
0,-80,0.0
1,-80,1.775788501271017e-07
2,-80,2.0399944364613616e-06
3,-80,7.489007640944764e-06
4,-80,1.733364842239822e-05
5,-80,3.129515870547614e-05
6,-80,4.845403130986809e-05
7,-80,6.766420386573164e-05
8,-80,8.782260772030423e-05
9,-80,0.00010800607765262861
10,-80,0.0001275171931013426
11,-80,0.00014587760045698197
12,-80,0.0001627962773342552
13,-80,0.00017812967209046763
14,-80,0.00019184292666758862
15,-80,0.00020397641774068425
16,-80,0.00021461895223914216
17,-80,0.000223887432424815
18,-80,0.00023191212430796043
19,-80,0.00023882645420658763
20,-80,0.0002447602909847201
21,-80,0.00024983581023272245
22,-80,0.00025416520686510327
23,-80,0.000257849686919415
24,-80,0.00026097931166132825
25,-80,0.000263633382835066
26,-80,0.0002658811481130936
27,-80,0.0002677826739553328
28,-80,0.00026938978330160444
29,-80,0.00027074699171503186
30,-80,0.0002718924011500811
31,-80,0.00027285852818504893
32,-80,0.0002736730554845411
33,-80,0.00027435950307791045
34,-80,0.00027493782097250867
35,-80,0.00027542490755732175
36,-80,0.0002758350598358113
37,-80,0.0002761803622137003
38,-80,0.00027647102067867554
39,-80,0.00027671564896630487
40,-80,0.00027692151286082045
41,-80,0.00027709473823152113
42,-80,0.0002772404878209856
43,-80,0.00027736311122131306
44,-80,0.0002774662719239012
45,-80,0.0002775530548202662
46,-80,0.0002776260570723383
47,-80,0.0002776874648619083
48,-80,0.00027773911816906583
49,-80,0.0002777825654154417
50,-80,0.0002778191095358558
51,-80,0.0002778498468073235
52,-80,0.00027787569956295657
53,-80,0.000277897443746014
54,-80,0.000277915732112443
55,-80,0.00027793111376523376
56,-80,0.0002779440505977572
57,-80,0.00027795493113324653
58,-80,0.00027796408217137746
59,-80,0.0002779717785884478
60,-80,0.0002779782515831867
61,-80,0.0002779836956142435
62,-80,0.00027798827423659584
63,-80,0.0002779921250113927
64,-80,0.000277995363636155
65,-80,0.00027799808741901897
66,-80,0.0002780003782011098
67,-80,0.00027800230481464907
68,-80,0.00027800392515051064
69,-80,0.0002780052878972442
70,-80,0.0002780064340037498
71,-80,0.0002780073979095017
72,-80,0.00027800820857925516
73,-80,0.00027800889037329755
74,-80,0.0002780094637793799
75,-80,0.0002780099460283091
76,-80,0.00027801035161168923
77,-80,0.00027801069271736505
78,-80,0.0002780109795956474
79,-80,0.0002780112208673225
80,-80,0.00027801142378269876
81,-80,0.000278011594439474
82,-80,0.00027801173796596844
83,-80,0.00027801185867522884
84,-80,0.0002780119601946374
85,-80,0.0002780120455749118
86,-80,0.00027801211738178166
87,-80,0.00027801217777308895
88,-80,0.00027801222856363195
89,-80,0.00027801227127969967
90,-80,0.0002780123072049392
91,-80,0.0002780123374189286
92,-80,0.00027801236282961857
93,-80,0.00027801238420061854
94,-80,0.00027801240217414225
95,-80,0.0002780124172903065
96,-80,0.00027801243000336306
97,-80,0.0002780124406953484
98,-80,0.0002780124496875641
99,-80,0.00027801245725023296
0,-70,0.0
1,-70,2.4347438753798047e-06
2,-70,2.78166566077946e-05
3,-70,0.00010159313486704001
4,-70,0.00023401418780161188
5,-70,0.000420616549424344
6,-70,0.0006485405111885505
7,-70,0.000902195386049381
8,-70,0.001166846284092587
9,-70,0.001430364709030401
10,-70,0.0016837518919330418
11,-70,0.001920975439977786
12,-70,0.002138493835031628
13,-70,0.002334693619428361
14,-70,0.0025093574780130678
15,-70,0.0026632145284886965
16,-70,0.00279758621601732
17,-70,0.0029141220535849307
18,-70,0.003014611435777475
19,-70,0.003100855824260504
20,-70,0.0031745866575358063
21,-70,0.0032374165987877892
22,-70,0.0032908142592950646
23,-70,0.003336094869111531
24,-70,0.003374421334788327
25,-70,0.0034068116922545376
26,-70,0.003434150165022892
27,-70,0.0034571999323335934
28,-70,0.0034766163613535266
29,-70,0.0034929599189705506
30,-70,0.0035067082995885726
31,-70,0.0035182675234156566
32,-70,0.0035279819040644426
33,-70,0.003536142876589777
34,-70,0.003542996733336552
35,-70,0.003548751346692344
36,-70,0.0035535819732407845
37,-70,0.0035576362386519626
38,-70,0.003561038400908741
39,-70,0.003563892983865595
40,-70,0.003566287865482585
41,-70,0.003568296896555931
42,-70,0.0035699821171283103
43,-70,0.0035713956294601604
44,-70,0.003572581178732855
45,-70,0.0035735754856596486
46,-70,0.003574409368940578
47,-70,0.0035751086900014687
48,-70,0.00357569514766231
49,-70,0.0035761869462283664
50,-70,0.00357659935692349
51,-70,0.003576945189523095
52,-70,0.0035772351884308727
53,-70,0.0035774783652196534
54,-70,0.0035776822777695548
55,-70,0.003577853264537977
56,-70,0.003577996641144432
57,-70,0.003578116865311909
58,-70,0.0035782176752439353
59,-70,0.0035783022057055388
60,-70,0.0035783730853934785
61,-70,0.003578432518606689
62,-70,0.003578482353744854
63,-70,0.003578524140757016
64,-70,0.003578559179321006
65,-70,0.003578588559248086
66,-70,0.0035786131943665346
67,-70,0.003578633850936055
68,-70,0.0035786511714753534
69,-70,0.0035786656947430482
70,-70,0.0035786778724926707
71,-70,0.0035786880835224437
72,-70,0.0035786966454565213
73,-70,0.003578703824623905
74,-70,0.0035787098443421277
75,-70,0.003578714891863303
76,-70,0.003578719124198485
77,-70,0.0035787226730014873
78,-70,0.003578725648663985
79,-70,0.0035787281437493217
80,-70,0.003578730235871751
81,-70,0.0035787319901107177
82,-70,0.0035787334610352206
83,-70,0.003578734694401269
84,-70,0.003578735728575177
85,-70,0.0035787365957270054
86,-70,0.003578737322831286
87,-70,0.003578737932506086
88,-70,0.0035787384437166
89,-70,0.003578738872365097
90,-70,0.003578739231785581
91,-70,0.0035787395331585764
92,-70,0.003578739785858927
93,-70,0.0035787399977474077
94,-70,0.0035787401754152595
95,-70,0.003578740324389214
96,-70,0.0035787404493034234
97,-70,0.0035787405540436083
98,-70,0.0035787406418679338
99,-70,0.0035787407155083656
0,-60,0.0
1,-60,2.4068175516776406e-05
2,-60,0.0002659643140816234
3,-60,0.0009416344371268283
4,-60,0.002107240939115233
5,-60,0.0036876049589251968
6,-60,0.005547344589222573
7,-60,0.007544139583689659
8,-60,0.009556918051909289
9,-60,0.011495812504506495
10,-60,0.013301792307245926
11,-60,0.014941654209754697
12,-60,0.01640171794050655
13,-60,0.017681904325019596
14,-60,0.01879086419155079
15,-60,0.019742288535804127
16,-60,0.020552282786668104
