CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,Sigma,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost,dist_to_known_params
l1_loss,1024,1000,70,10,1,0.8,[0.2 4.  0.2 4.  0.2 0.2 4.  0.2],"[8.14388718e-02 5.44983807e+01 1.06425136e-01 5.42295987e+01,,,,,,,,,,,,,,0.01117559139026
 1.00000000e+00 1.19161741e-02 6.69401625e+01 4.00000000e+00]","[8.14388750e-02 5.45219606e+01 1.09754191e-01 5.38668522e+01
 9.31883986e-01 1.19161741e-02 6.16329365e+01 4.00000000e+00]","[8.14388750e-02 5.42795899e+01 1.09757416e-01 5.51559828e+01
 9.26384274e-01 1.19161741e-02 6.15738659e+01 4.00000000e+00]","[8.31882687e-02 5.37425425e+01 1.09756332e-01 5.38779254e+01
 9.31854381e-01 1.19161741e-02 6.16965810e+01 4.00000000e+00]","[8.46551117e-02 5.44984938e+01 1.06428730e-01 5.42556627e+01
 1.00000000e+00 1.19161741e-02 6.56461050e+01 4.00000000e+00]","[0.009437179012714968, 0.011324956417545762, 0.011510366051134981, 0.011792026325509438, 0.011813429144395697]",0.0111755913902601,7.361902071115557
l1_loss,512,1000,70,1,1,0.8,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[1.05298972e-02 5.80963978e+01 8.86533139e-01 5.10848210e+01
 1.47631259e-01 1.23484096e-02 6.96639852e+01 4.00000000e+00]","[8.42852974e-03 5.99594409e+01 3.61403786e-01 6.38200667e+01
 1.69877109e-01 1.23435879e-02 9.84543892e+01 4.00000000e+00]","[7.85819501e-03 6.02766342e+01 3.29235608e-01 5.35681800e+01
 1.62122169e-01 1.23516143e-02 9.77724094e+01 4.00000000e+00]","[7.86145212e-03 6.13831300e+01 3.49177388e-01 6.57077221e+01
 1.64849120e-01 1.23508353e-02 9.90587192e+01 4.00000000e+00]","[7.85824970e-03 6.32083305e+01 3.88392082e-01 6.46471929e+01
 1.67340302e-01 1.23506247e-02 1.00000000e+02 4.00000000e+00]","[0.006903114789296068, 0.007517239760032984, 0.007924691779017685, 0.00824904372681707, 0.008427539013836012]",0.0078043258137999,10.103168937399138
l2_loss,1024,1000,70,0,1,0.2,[0.2 4.  0.2 4.  0.2 0.2 4.  0.2],"[1.07919857e-02 5.74566765e+01 1.00000000e+00 5.09105885e+01
 1.33694136e-01 1.16357949e-02 6.71496538e+01 4.00000000e+00]","[1.07919857e-02 5.71728369e+01 9.27246590e-01 5.09074444e+01
 1.33694132e-01 1.16357949e-02 6.69694016e+01 4.00000000e+00]","[1.07919859e-02 5.71716459e+01 9.99996645e-01 5.08874217e+01
 1.33694132e-01 1.16357949e-02 6.69456375e+01 4.00000000e+00]","[1.07919857e-02 5.76078475e+01 1.00000000e+00 5.09137812e+01
 1.33694132e-01 1.16357949e-02 6.63761407e+01 4.00000000e+00]","[1.07919857e-02 5.74574698e+01 9.85641352e-01 5.09105969e+01
 1.33694136e-01 1.16357949e-02 6.71455566e+01 4.00000000e+00]","[9.7199167464458e-05, 9.959407308606779e-05, 9.980654369808627e-05, 9.988264702408297e-05, 0.00010041413396718537]",9.937931304797608e-05,10.584708336017448
l2_loss,1024,1000,70,10,2,0.8,[0.1 2.  0.1 2.  0.1 0.1 2.  0.1],"[1.09190285e-02 4.78598175e+01 6.98745341e-02 4.76667284e+01
 1.47310919e-01 1.38498957e-02 7.06086249e+01 4.00000000e+00]","[1.09005057e-02 4.81765962e+01 7.28027911e-02 4.80420178e+01
 1.41082296e-01 1.38498957e-02 6.85825545e+01 4.00000000e+00]","[1.09185453e-02 4.81781599e+01 7.42650940e-02 4.80410371e+01
 1.41082577e-01 1.38498957e-02 6.89119358e+01 4.00000000e+00]","[1.09185453e-02 4.76965568e+01 7.34620534e-02 4.75431809e+01
 1.38797577e-01 1.38498957e-02 6.84657936e+01 4.00000000e+00]","[1.09004920e-02 4.77522843e+01 6.78231097e-02 4.75319119e+01
 1.41085815e-01 1.38498957e-02 6.85706791e+01 4.00000000e+00]","[5.132625650589424e-05, 5.140971890094663e-05, 5.7322757387596675e-05, 5.796420377376492e-05, 5.872798446576138e-05]",5.535018420679277e-05,13.268278463613242
l2_loss,1024,1000,70,0,2,0.4,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[9.11451151e-03 6.34549437e+01 1.37344250e-01 6.29914270e+01
 1.57715262e-01 1.45818922e-02 6.74518541e+01 4.00000000e+00]","[9.11451151e-03 6.34587269e+01 1.37335720e-01 6.29915825e+01
 1.57718501e-01 1.45818922e-02 6.78194709e+01 4.00000000e+00]","[9.11451151e-03 6.34797367e+01 1.37359991e-01 6.30622476e+01
 1.57715068e-01 1.45818922e-02 6.73207403e+01 4.00000000e+00]","[9.11451151e-03 6.34829934e+01 1.37347204e-01 6.32697740e+01
 1.57715905e-01 1.45818922e-02 6.72657232e+01 4.00000000e+00]","[9.11451151e-03 6.34831762e+01 1.28265309e-01 6.32674265e+01
 1.57714959e-01 1.45818922e-02 6.73163543e+01 4.00000000e+00]","[1.0720538572694558e-05, 1.1503707312225134e-05, 1.1516706465212513e-05, 1.1671489131001995e-05, 1.1963534780464006e-05]",1.147519525231964e-05,13.616223604949786
l1_loss,512,1000,70,10,2,0.8,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[6.61615247e-02 6.43178168e+01 4.63634279e-01 6.37853112e+01
 1.00000000e+00 1.43349900e-02 5.78773999e+01 4.00000000e+00]","[6.61575810e-02 6.43292629e+01 4.65272820e-01 6.15541862e+01
 1.00000000e+00 1.43343587e-02 5.92396391e+01 4.00000000e+00]","[6.62067346e-02 5.94640190e+01 1.00000000e+00 5.11153355e+01
 1.00000000e+00 1.32184352e-02 7.00925485e+01 4.00000000e+00]","[6.61582644e-02 6.43304837e+01 4.65228994e-01 6.16388418e+01
 1.00000000e+00 1.43334245e-02 5.92460568e+01 4.00000000e+00]","[6.62503622e-02 5.99094199e+01 8.84453020e-01 5.30272592e+01
 8.74809299e-01 1.32216207e-02 6.00131060e+01 4.00000000e+00]","[0.01025989114776057, 0.0106382389814747, 0.010695677424136721, 0.010724550794718424, 0.010870564074329361]",0.0106377844844839,18.398527779072044
l2_loss,1024,1000,70,1,2,0.2,[0.1 2.  0.1 2.  0.1 0.1 2.  0.1],"[9.65892771e-02 5.45943057e+01 9.73592636e-01 4.15465439e+01
 9.99969261e-01 9.94537916e-03 6.23474906e+01 4.00000000e+00]","[9.33100724e-02 5.53072340e+01 6.93138623e-01 4.24953564e+01
 9.44632811e-01 1.15435208e-02 5.34844498e+01 4.00000000e+00]","[6.56517562e-02 6.03630192e+01 7.03859543e-01 4.28359478e+01
 9.99991986e-01 1.54549301e-02 5.57399105e+01 4.00000000e+00]","[9.32912251e-02 5.52980551e+01 6.93078610e-01 4.24927065e+01
 9.99991133e-01 1.15398152e-02 5.34697252e+01 4.00000000e+00]","[9.32812352e-02 5.31819221e+01 8.45983619e-01 4.76346969e+01
 9.80979371e-01 9.95342025e-03 6.36014857e+01 4.00000000e+00]","[0.0020951822452058622, 0.0021072308483854065, 0.0021477986346074306, 0.0021933713104148487, 0.002239527851434056]",0.0021566221780095,21.143298854563827
l2_loss,512,1000,70,1,1,0.2,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[5.31986578e-02 5.73209623e+01 9.36281696e-01 6.40563148e+01
 7.25317121e-01 1.07894671e-02 7.85244838e+01 4.00000000e+00]","[5.31895060e-02 6.25730548e+01 1.00000000e+00 6.57552598e+01
 7.51389983e-01 1.07894675e-02 7.69049505e+01 4.00000000e+00]","[5.31986561e-02 5.73382043e+01 1.00000000e+00 6.40966254e+01
 7.25338923e-01 1.07894671e-02 7.71493507e+01 4.00000000e+00]","[5.72329424e-02 6.56853891e+01 5.55886347e-01 6.17307466e+01
 9.99602082e-01 1.07886576e-02 7.92558173e+01 4.00000000e+00]","[5.32497761e-02 5.72985425e+01 9.35779870e-01 6.51663685e+01
 7.25274763e-01 1.07893824e-02 7.84082515e+01 4.00000000e+00]","[0.0007215221849343113, 0.0008453960436479717, 0.0008745342899678243, 0.0008952230250446657, 0.0009282440035688356]",0.0008529839094327,21.390258678681242
l2_loss,1024,1000,70,0,2,0.2,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[8.85249285e-03 6.67222225e+01 5.96417757e-01 6.15775638e+01
 1.96594262e-01 1.52971078e-02 7.70782701e+01 4.00000000e+00]","[8.85219375e-03 6.67222217e+01 5.96511205e-01 6.15755588e+01
 1.96612328e-01 1.52971078e-02 7.70831496e+01 4.00000000e+00]","[8.85219351e-03 6.67225373e+01 5.96496033e-01 6.15756468e+01
 1.96612315e-01 1.52971078e-02 7.70826295e+01 4.00000000e+00]","[8.85219309e-03 6.67222259e+01 5.96529709e-01 6.15755696e+01
 1.96612592e-01 1.52971078e-02 7.70752802e+01 4.00000000e+00]","[8.85229586e-03 6.67222867e+01 5.96343011e-01 6.15619571e+01
 1.96595431e-01 1.52971078e-02 7.70818930e+01 4.00000000e+00]","[2.4336579909332376e-05, 2.449893311300279e-05, 2.510372786679862e-05, 2.529208820630071e-05, 2.553706755423121e-05]",2.495367932993314e-05,21.68809442839896
l2_loss,1024,1000,70,1,2,0.2,[0.2 4.  0.2 4.  0.2 0.2 4.  0.2],"[8.22688584e-03 6.87632727e+01 2.22302657e-01 6.61984061e+01
 1.71715438e-01 1.61476763e-02 6.70519476e+01 4.00000000e+00]","[8.22688584e-03 6.87687783e+01 2.22304862e-01 6.60399853e+01
 1.70857490e-01 1.61476768e-02 6.70620605e+01 4.00000000e+00]","[8.22688639e-03 6.88317743e+01 2.57064767e-01 6.60168221e+01
 1.71602446e-01 1.61482174e-02 6.70261509e+01 4.00000000e+00]","[8.22688639e-03 6.87342109e+01 2.66276315e-01 6.57595816e+01
 1.71716158e-01 1.61482175e-02 6.70261825e+01 4.00000000e+00]","[8.22688584e-03 6.87687195e+01 2.28795904e-01 6.60320873e+01
 1.71715438e-01 1.61476762e-02 6.70633685e+01 4.00000000e+00]","[2.959946248998013e-05, 3.109100180472684e-05, 3.175734798531398e-05, 3.1856277506043455e-05, 3.219364450273169e-05]",3.129954685775922e-05,21.961856970239882
