0,1,2
0,-90,0.0
1,-90,1.6388897540299458e-09
2,-90,3.398742489792687e-08
3,-90,1.6956255100342663e-07
4,-90,4.758470484242091e-07
5,-90,9.801279072364286e-07
6,-90,1.6679833130699015e-06
7,-90,2.4978452196366828e-06
8,-90,3.417333535544836e-06
9,-90,4.375284579939006e-06
10,-90,5.328498588901411e-06
11,-90,6.244318056289519e-06
12,-90,7.100568517020033e-06
13,-90,7.884138390123694e-06
14,-90,8.589061134185313e-06
15,-90,9.214600431685188e-06
16,-90,9.763582340524055e-06
17,-90,1.024105940756666e-05
18,-90,1.0653304736845244e-05
19,-90,1.1007093508369958e-05
20,-90,1.1309216106631903e-05
21,-90,1.1566167918848015e-05
22,-90,1.1783968128591213e-05
23,-90,1.1968069052492409e-05
24,-90,1.2123326515291844e-05
25,-90,1.2254009472696444e-05
26,-90,1.2363833302373348e-05
27,-90,1.245600595918464e-05
28,-90,1.2533279739191528e-05
29,-90,1.259800396065514e-05
30,-90,1.2652175676859982e-05
31,-90,1.2697486778015439e-05
32,-90,1.2735366671839768e-05
33,-90,1.2767020272988442e-05
34,-90,1.2793461368488536e-05
35,-90,1.2815541624134574e-05
36,-90,1.2833975601453777e-05
37,-90,1.2849362198786048e-05
38,-90,1.2862202935709297e-05
39,-90,1.2872917482778881e-05
40,-90,1.2881856808577091e-05
41,-90,1.2889314280081006e-05
42,-90,1.28955350146099e-05
43,-90,1.2900723744701528e-05
44,-90,1.2905051422677268e-05
45,-90,1.290866076014543e-05
46,-90,1.291167086955128e-05
47,-90,1.2914181150114264e-05
48,-90,1.2916274538930682e-05
49,-90,1.2918020229405976e-05
0,-80,0.0
1,-80,2.8230785982347136e-08
2,-80,5.970629866206738e-07
3,-80,3.0339908200592947e-06
4,-80,8.661565615487898e-06
5,-80,1.8127185047753736e-05
6,-80,3.130735045659827e-05
7,-80,4.7526150687398464e-05
8,-80,6.584030452312142e-05
9,-80,8.526958777697848e-05
10,-80,0.0001049409160494612
11,-80,0.0001241565636932671
12,-80,0.00014240967894682408
13,-80,0.00015936914982146505
14,-80,0.0001748502104231839
15,-80,0.0001887812558075924
16,-80,0.00020117268307000974
17,-80,0.0002120904263133581
18,-80,0.00022163494578170375
19,-80,0.00022992540430672985
20,-80,0.00023708829929235527
21,-80,0.00024324968158896917
22,-80,0.0002485301282628993
23,-80,0.00025304174906031336
24,-80,0.00025688664214243065
25,-80,0.00026015634548250886
26,-80,0.0002629319438200723
27,-80,0.00026528458359208526
28,-80,0.0002672762205370711
29,-80,0.0002689604793506957
30,-80,0.00027038354507894527
