CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,100,1,2,0.5,"[8.39422879e-03 6.79571318e+01 2.56460126e-01 6.44022811e+01
 8.66305914e-02 1.65948233e-02 2.26875960e+01 4.00000000e+00]","[8.36165429e-03 6.79519640e+01 2.95757688e-01 6.36686807e+01
 8.66305914e-02 1.64772188e-02 2.36543086e+01 4.00000000e+00]","[8.36165429e-03 6.79204609e+01 2.92189456e-01 6.33267313e+01
 8.58510506e-02 1.66090579e-02 2.27259691e+01 4.00000000e+00]","[8.36165429e-03 6.79371988e+01 2.72689105e-01 6.47354472e+01
 8.66305914e-02 1.65948233e-02 2.29298176e+01 4.00000000e+00]","[8.36165429e-03 6.79968446e+01 2.26154006e-01 6.47868545e+01
 8.66305914e-02 1.65948233e-02 2.31750444e+01 4.00000000e+00]","[5.0532313017696964e-05, 5.076623926077632e-05, 5.11355089548418e-05, 5.147726507365268e-05, 5.150367357582563e-05]",5.108299997655868e-05
logcosh_loss,32,500,100,1,2,0.5,"[1.16007137e-02 4.49058461e+01 8.00902425e-02 4.46758240e+01
 5.76308934e-02 1.04275039e-02 7.55121530e+00 4.00000000e+00]","[1.16007137e-02 4.49323482e+01 8.00902425e-02 4.48528163e+01
 5.76308934e-02 1.02207010e-02 8.10653807e+00 4.00000000e+00]","[1.16007137e-02 4.49602607e+01 8.13829158e-02 4.48809368e+01
 5.75658969e-02 1.02207010e-02 7.93867921e+00 4.00000000e+00]","[1.16007137e-02 4.49422902e+01 8.13829158e-02 4.48528163e+01
 5.72923933e-02 1.02207010e-02 8.20183574e+00 4.00000000e+00]","[1.16007137e-02 4.48008666e+01 8.00902425e-02 4.47504268e+01
 5.76308934e-02 1.04275039e-02 7.42817271e+00 4.00000000e+00]","[2.5637642901327076e-05, 2.6002811240866264e-05, 2.6729011216642938e-05, 2.6736107771793696e-05, 2.6944199348632672e-05]",2.6409954495852532e-05
logcosh_loss,32,500,100,1,2,0.5,"[9.45300316e-03 5.91070132e+01 1.43062007e-01 5.72152204e+01
 6.03479583e-02 1.33221239e-02 4.82326472e+00 4.00000000e+00]","[9.45300316e-03 5.94791928e+01 1.55318999e-01 5.70843927e+01
 6.03479583e-02 1.33221239e-02 4.70972367e+00 4.00000000e+00]","[9.45300316e-03 5.92531684e+01 1.57806009e-01 5.67926047e+01
 6.03479583e-02 1.33221239e-02 4.97762562e+00 4.00000000e+00]","[9.45300316e-03 5.92266412e+01 1.49432751e-01 5.67669892e+01
 6.03479583e-02 1.33221239e-02 4.99044225e+00 4.00000000e+00]","[9.45300316e-03 5.93364577e+01 1.61057945e-01 5.65919653e+01
 6.03479583e-02 1.33221239e-02 4.91981708e+00 4.00000000e+00]","[9.246260585975096e-06, 9.326472341747943e-06, 9.340857981182224e-06, 9.350851114288614e-06, 9.377828007051043e-06]",9.328454006048984e-06
logcosh_loss,32,500,100,1,2,0.5,"[1.02725188e-02 5.29925512e+01 9.84073037e-02 5.30168679e+01
 1.34356323e-01 1.15333279e-02 7.82534853e+01 4.00000000e+00]","[1.02725188e-02 5.30451658e+01 9.80288982e-02 5.30514993e+01
 1.33857402e-01 1.14362342e-02 7.81033232e+01 4.00000000e+00]","[1.02725188e-02 5.30206169e+01 9.93635970e-02 5.29882233e+01
 1.33857402e-01 1.14362342e-02 7.84202018e+01 4.00000000e+00]","[1.02725188e-02 5.30206169e+01 9.84487428e-02 5.30168679e+01
 1.34251979e-01 1.14362342e-02 7.85317976e+01 4.00000000e+00]","[1.02725188e-02 5.31025030e+01 9.98217652e-02 5.30168679e+01
 1.34356323e-01 1.14362342e-02 7.86118377e+01 4.00000000e+00]","[2.4209098474876494e-06, 2.6784597448885367e-06, 2.6980382889739844e-06, 2.7380561158005307e-06, 2.755707584426576e-06]",2.658234316315455e-06
logcosh_loss,32,500,100,1,2,0.5,"[1.03107894e-02 5.28248454e+01 9.36618963e-02 5.28575109e+01
 6.37308626e-02 1.20705047e-02 1.24619668e+01 4.00000000e+00]","[1.03107894e-02 5.28727641e+01 9.38751131e-02 5.29107332e+01
 6.38579290e-02 1.18683691e-02 1.24963365e+01 4.00000000e+00]","[1.03107894e-02 5.28614519e+01 9.47172367e-02 5.28778813e+01
 6.37308626e-02 1.18683691e-02 1.24870117e+01 4.00000000e+00]","[1.03107894e-02 5.29118779e+01 9.49212238e-02 5.29062881e+01
 6.37308626e-02 1.18683691e-02 1.24387917e+01 4.00000000e+00]","[1.03107894e-02 5.28519888e+01 9.47293731e-02 5.28575109e+01
 6.37308626e-02 1.18683691e-02 1.24717390e+01 4.00000000e+00]","[1.2477432272074845e-06, 1.3205093076289953e-06, 1.3270546969970865e-06, 1.3295371045393885e-06, 1.3307190867258367e-06]",1.3111126846197582e-06
logcosh_loss,32,500,100,1,2,0.5,"[9.46395812e-03 5.89940396e+01 1.17529766e-01 5.90610936e+01
 7.57231549e-02 1.34490640e-02 2.17809651e+01 4.00000000e+00]","[9.46395812e-03 5.89528230e+01 1.16311247e-01 5.90207550e+01
 7.65931856e-02 1.34506648e-02 2.23916361e+01 4.00000000e+00]","[9.46395812e-03 5.87811638e+01 1.17339381e-01 5.88399756e+01
 7.59175057e-02 1.31987942e-02 2.28201448e+01 4.00000000e+00]","[9.46395812e-03 5.89201144e+01 1.16311247e-01 5.90207550e+01
 7.64248675e-02 1.34506648e-02 2.24575598e+01 4.00000000e+00]","[9.46395812e-03 5.90106293e+01 1.16311247e-01 5.90205667e+01
 7.64248675e-02 1.34506648e-02 2.24575598e+01 4.00000000e+00]","[4.2291514576135836e-06, 4.262214123663953e-06, 4.2745456516917845e-06, 4.293757849888883e-06, 4.29519217635089e-06]",4.270972251841818e-06
logcosh_loss,32,500,100,1,2,0.5,"[8.80280061e-03 6.52005205e+01 2.09593866e-01 6.37021187e+01
 9.39138967e-02 1.56706265e-02 2.99567308e+01 4.00000000e+00]","[8.78530478e-03 6.52045796e+01 1.91777568e-01 6.40696383e+01
 9.55025159e-02 1.58504026e-02 3.02489801e+01 4.00000000e+00]","[8.80280061e-03 6.46394259e+01 1.92978976e-01 6.48744298e+01
 9.39138967e-02 1.56706265e-02 2.99640828e+01 4.00000000e+00]","[8.78530478e-03 6.52045796e+01 1.91777568e-01 6.44030949e+01
 9.55025159e-02 1.58504026e-02 3.02419672e+01 4.00000000e+00]","[8.78530478e-03 6.52297339e+01 2.06447575e-01 6.47181708e+01
 9.39138967e-02 1.57876360e-02 2.97921889e+01 4.00000000e+00]","[3.109314052861279e-05, 3.1288719742210766e-05, 3.2145074794132576e-05, 3.236980020396503e-05, 3.2409387270100016e-05]",3.186122450780423e-05
logcosh_loss,32,500,100,1,2,0.5,"[8.89304462e-03 6.34459884e+01 1.50947365e-01 6.29505499e+01
 1.16263372e-01 1.50458420e-02 4.68752178e+01 4.00000000e+00]","[8.85175510e-03 6.35329450e+01 1.51335131e-01 6.28309448e+01
 1.16046064e-01 1.50305496e-02 4.67787859e+01 4.00000000e+00]","[8.89304462e-03 6.34459884e+01 1.50947365e-01 6.28309448e+01
 1.16046064e-01 1.50305496e-02 4.70775379e+01 4.00000000e+00]","[8.85175510e-03 6.36365051e+01 1.49849420e-01 6.29910562e+01
 1.16046064e-01 1.50305496e-02 4.67638872e+01 4.00000000e+00]","[8.85175510e-03 6.36022342e+01 1.54410227e-01 6.30133558e+01
 1.16046064e-01 1.50305496e-02 4.65936223e+01 4.00000000e+00]","[2.106052597054201e-05, 2.1170797761948297e-05, 2.1259873234436706e-05, 2.143994420838132e-05, 2.150557967014863e-05]",2.128734416909139e-05
logcosh_loss,32,500,100,1,2,0.5,"[1.03602715e-02 5.23224088e+01 9.00137163e-02 5.23929954e+01
 6.18567753e-02 1.19727769e-02 1.00008451e+01 4.00000000e+00]","[1.03602715e-02 5.23054208e+01 9.00137163e-02 5.23929954e+01
 6.18567753e-02 1.20187283e-02 1.00008451e+01 4.00000000e+00]","[1.03812436e-02 5.21698213e+01 9.03794020e-02 5.22321827e+01
 6.18567753e-02 1.19727769e-02 1.03797185e+01 4.00000000e+00]","[1.03812436e-02 5.21583832e+01 9.01845056e-02 5.21843744e+01
 6.18567753e-02 1.20187283e-02 1.02766781e+01 4.00000000e+00]","[1.03812436e-02 5.21698213e+01 9.03794020e-02 5.22321827e+01
 6.18567753e-02 1.20187283e-02 1.01821342e+01 4.00000000e+00]","[1.7094204688453203e-06, 1.8149109253332773e-06, 1.859283820884339e-06, 1.8927499162359973e-06, 1.9236047169524947e-06]",1.839993969650286e-06
logcosh_loss,32,500,100,1,2,0.5,"[8.12637757e-03 7.02088023e+01 3.47528846e-01 6.62510063e+01
 2.27800849e-01 1.81186408e-02 7.45814704e+01 4.00000000e+00]","[8.19580513e-03 7.05513144e+01 5.00000000e-01 6.64219620e+01
 2.27800849e-01 1.81186408e-02 7.39765233e+01 4.00000000e+00]","[8.12637757e-03 7.05318977e+01 4.40830092e-01 6.62341970e+01
 2.22923534e-01 1.80746670e-02 7.30294108e+01 4.00000000e+00]","[8.12637757e-03 7.07103016e+01 4.32498797e-01 6.78799281e+01
 2.22923534e-01 1.81254667e-02 7.26437577e+01 4.00000000e+00]","[8.12637757e-03 7.07379744e+01 2.54427286e-01 6.59960379e+01
 2.22456901e-01 1.81186408e-02 7.19185218e+01 4.00000000e+00]","[7.751820799500826e-05, 7.769098664890609e-05, 7.776905109494015e-05, 7.898247134348414e-05, 7.901847337438931e-05]",7.819583809134558e-05
logcosh_loss,32,500,100,1,2,0.5,"[9.38875169e-03 6.01882455e+01 2.74017457e-01 5.45745920e+01
 7.58526362e-02 1.32424887e-02 2.20110700e+01 4.00000000e+00]","[9.38875169e-03 6.00866346e+01 3.52365648e-01 5.35646774e+01
 7.58526362e-02 1.31549918e-02 2.18969090e+01 4.00000000e+00]","[9.38875169e-03 6.01767246e+01 3.28508330e-01 5.37576976e+01
 7.58526362e-02 1.32424887e-02 2.18404170e+01 4.00000000e+00]","[9.38875169e-03 6.01882455e+01 2.94188718e-01 5.46027584e+01
 7.58526362e-02 1.32424887e-02 2.20560455e+01 4.00000000e+00]","[9.45022101e-03 6.00546314e+01 3.03743600e-01 5.38312006e+01
 7.62129504e-02 1.31549918e-02 2.17873667e+01 4.00000000e+00]","[1.3432221643171118e-05, 1.4279811821767029e-05, 1.4281881892672142e-05, 1.4288102727645881e-05, 1.4298651420532261e-05]",1.4116133901157687e-05
logcosh_loss,32,500,100,1,2,0.5,"[9.60764429e-03 5.78229746e+01 1.09827954e-01 5.78048425e+01
 6.52929499e-02 1.33251301e-02 1.12366681e+01 4.00000000e+00]","[9.60764429e-03 5.77824941e+01 1.10648758e-01 5.78167709e+01
 6.52929499e-02 1.33251301e-02 1.13494653e+01 4.00000000e+00]","[9.60764429e-03 5.77824941e+01 1.10648758e-01 5.78350512e+01
 6.51954038e-02 1.33251301e-02 1.12653365e+01 4.00000000e+00]","[9.60764429e-03 5.80208679e+01 1.10648758e-01 5.80765990e+01
 6.52929499e-02 1.31905456e-02 1.10951892e+01 4.00000000e+00]","[9.60764429e-03 5.77824941e+01 1.09472478e-01 5.78350512e+01
 6.52929499e-02 1.33251301e-02 1.11170921e+01 4.00000000e+00]","[2.396930072964652e-06, 2.399230601710181e-06, 2.4445623365700998e-06, 2.448904632272734e-06, 2.452613754512125e-06]",2.428448279605958e-06
logcosh_loss,32,500,100,1,2,0.5,"[9.14134422e-03 6.21402364e+01 1.30024155e-01 6.20516052e+01
 7.26956481e-02 1.45553908e-02 1.53490047e+01 4.00000000e+00]","[9.14134422e-03 6.21402364e+01 1.30024155e-01 6.20141801e+01
 7.26956481e-02 1.45553908e-02 1.53490047e+01 4.00000000e+00]","[9.09048841e-03 6.22468287e+01 1.43681884e-01 6.18130934e+01
 7.26956481e-02 1.45892593e-02 1.60439220e+01 4.00000000e+00]","[9.09048841e-03 6.19030243e+01 1.30024155e-01 6.20104666e+01
 7.26956481e-02 1.45553908e-02 1.60224172e+01 4.00000000e+00]","[9.09048841e-03 6.21507779e+01 1.44164532e-01 6.16285855e+01
 7.26956481e-02 1.45892593e-02 1.57055162e+01 4.00000000e+00]","[1.4037475875483004e-05, 1.4068053220895015e-05, 1.418769439691682e-05, 1.4361744553012374e-05, 1.4380547223896828e-05]",1.420710305404081e-05
logcosh_loss,32,500,100,1,2,0.5,"[9.00931583e-03 6.33683954e+01 1.45219582e-01 6.32698047e+01
 1.16772607e-01 1.45877913e-02 4.72600731e+01 4.00000000e+00]","[8.91225905e-03 6.31875659e+01 1.53048180e-01 6.26568353e+01
 1.16064803e-01 1.48091870e-02 4.72566560e+01 4.00000000e+00]","[8.91225905e-03 6.33614020e+01 1.63755137e-01 6.25997932e+01
 1.16772607e-01 1.48091870e-02 4.74886579e+01 4.00000000e+00]","[8.91225905e-03 6.29723650e+01 1.45219582e-01 6.29049279e+01
 1.16064803e-01 1.48091870e-02 4.80409700e+01 4.00000000e+00]","[8.91225905e-03 6.34586345e+01 1.52586764e-01 6.28717420e+01
 1.16064803e-01 1.48091870e-02 4.68995621e+01 4.00000000e+00]","[1.9376712758577205e-05, 1.9379356980676426e-05, 1.9452060550720633e-05, 1.9481699770581347e-05, 1.949863474512319e-05]",1.9437692961135763e-05
