CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,70,1,2,0.5,"[2.95695545e-03 3.13601932e+01 7.42377824e-01 4.26467912e+01
 2.34970051e-02 1.44266196e-02 6.08186622e+00 3.15473230e+00]","[2.95695545e-03 3.11640043e+01 5.15172206e-01 6.22092537e+01
 2.34970051e-02 1.44266196e-02 5.32824540e+00 3.21831984e+00]","[2.95695545e-03 3.11707139e+01 2.76604938e-01 5.90048611e+01
 2.34970051e-02 1.44266196e-02 5.26945658e+00 3.17653307e+00]","[2.95695545e-03 3.07905351e+01 3.77405273e-01 6.74536610e+01
 2.53158527e-02 1.44266196e-02 1.14836444e+01 3.16562266e+00]","[2.95695545e-03 3.08908618e+01 1.02080803e-01 5.61566351e+01
 2.34970051e-02 1.30032774e-02 5.49602606e+00 3.07952940e+00]","[0.0004894622732996347, 0.0004966750459454888, 0.00049672674594836, 0.0004975489673490177, 0.0005010901337813116]",0.0004963006332647
logcosh_loss,32,500,70,1,2,0.5,"[2.79523370e-03 3.14152903e+01 5.06039719e-01 3.49475173e+01
 2.27777535e-02 1.51236393e-02 2.23367777e+00 2.94101464e+00]","[2.79523370e-03 3.12131108e+01 3.30541391e-01 3.14690565e+01
 2.57646058e-02 1.51236393e-02 1.09662642e+01 2.93209940e+00]","[2.79523370e-03 3.05258439e+01 3.91344550e-01 4.46114132e+01
 2.57646058e-02 1.51236393e-02 9.70059416e+00 2.86882024e+00]","[2.79523370e-03 3.15097221e+01 3.60797929e-01 4.51905953e+01
 2.57646058e-02 1.51236393e-02 1.19813035e+01 2.98679428e+00]","[2.79523370e-03 3.12025803e+01 5.69992590e-01 4.85671807e+01
 2.57646058e-02 1.51236393e-02 9.97101014e+00 2.94282496e+00]","[0.0004951152948403212, 0.0004985330978399257, 0.0004997482067973219, 0.0005023380015264306, 0.0005026108050245825]",0.0004996690812057
logcosh_loss,32,500,70,1,2,0.5,"[2.99607059e-03 3.09959527e+01 3.89847224e-01 8.97024545e+01
 4.15040527e-02 1.20747110e-02 5.57694793e+01 3.25898466e+00]","[2.99607059e-03 3.07508151e+01 5.00000000e-01 8.42353732e+01
 4.20380254e-02 1.26397851e-02 5.69799324e+01 3.21468993e+00]","[2.99607059e-03 3.09959527e+01 9.70403516e-01 9.46653068e+01
 4.20380254e-02 1.26397851e-02 5.63367187e+01 3.21468993e+00]","[2.99607059e-03 3.11482423e+01 8.87668730e-01 9.34536482e+01
 4.27447213e-02 1.26397851e-02 5.63883787e+01 3.22626927e+00]","[2.99607059e-03 3.09706239e+01 9.70403516e-01 9.46653068e+01
 4.37694632e-02 1.26397851e-02 5.57549617e+01 3.21468993e+00]","[0.0004949277920426464, 0.0005008798074789848, 0.0005012193364967081, 0.0005016435838307709, 0.0005018715292634255]",0.0005001084098225
logcosh_loss,32,500,70,1,2,0.5,"[2.83622523e-03 3.32340724e+01 4.81954297e-01 5.41207125e+01
 1.15783910e-01 1.70758583e-02 9.37261037e+01 3.13346118e+00]","[2.83622523e-03 3.42686467e+01 6.45891603e-01 5.38646149e+01
 1.16622530e-01 1.70758583e-02 9.07058958e+01 3.22113690e+00]","[2.83622523e-03 3.42686467e+01 1.74059052e-01 4.45913305e+01
 1.09573401e-01 1.70758583e-02 9.13992937e+01 3.26085835e+00]","[2.83622523e-03 3.29935634e+01 5.04956200e-01 4.81134487e+01
 1.12613119e-01 1.70758583e-02 9.44159224e+01 3.15105329e+00]","[2.83622523e-03 3.42686467e+01 1.74059052e-01 6.12072455e+01
 1.12613119e-01 1.70758583e-02 9.06277601e+01 3.23054898e+00]","[0.0004972214578147928, 0.0004975114698723494, 0.0005000492487906649, 0.000502596043952228, 0.0005033548786326501]",0.0005001466198125
logcosh_loss,32,500,70,1,2,0.5,"[2.95325191e-03 3.12109627e+01 7.16406381e-01 4.16025502e+01
 2.69871516e-02 1.30561952e-02 1.83485145e+01 3.20626626e+00]","[2.95325191e-03 3.08149578e+01 3.21894634e-01 4.98894890e+01
 2.69871516e-02 1.30561952e-02 1.98212900e+01 3.18425457e+00]","[2.95325191e-03 3.00589233e+01 6.02149396e-01 7.89040404e+01
 2.69871516e-02 1.30561952e-02 2.10091275e+01 3.12265157e+00]","[2.95325191e-03 3.06867251e+01 7.60474239e-01 6.96839186e+01
 2.69871516e-02 1.30561952e-02 1.77222085e+01 3.10087423e+00]","[2.95325191e-03 3.11043208e+01 5.36945399e-01 4.58555113e+01
 2.69871516e-02 1.30561952e-02 1.74492781e+01 3.12644961e+00]","[0.0004900458983990115, 0.0005016339038367069, 0.0005018002044783972, 0.000503778111821055, 0.0005043380236562205]",0.0005003192284382
logcosh_loss,32,500,70,1,2,0.5,"[2.93899567e-03 3.29424600e+01 6.86167164e-01 7.34424095e+01
 2.63237564e-02 1.54292700e-02 9.78843190e+00 3.28847999e+00]","[2.93899567e-03 3.31842676e+01 8.01195327e-01 8.81663237e+01
 2.63237564e-02 1.54292700e-02 6.31220153e+00 3.29099790e+00]","[2.93899567e-03 3.26936383e+01 3.34636481e-01 6.48902136e+01
 2.63237564e-02 1.54292700e-02 1.23940378e+01 3.28577116e+00]","[2.93899567e-03 3.31005441e+01 7.96555889e-01 9.10735384e+01
 2.65274606e-02 1.54292700e-02 8.75567829e+00 3.29099790e+00]","[2.93899567e-03 3.31360038e+01 3.12026856e-01 7.09619173e+01
 2.63237564e-02 1.54292700e-02 1.06623065e+01 3.28847999e+00]","[0.000493541275460268, 0.0004995759521154526, 0.000502637706191021, 0.0005036615117163921, 0.0005039322166570577]",0.000500669732428
logcosh_loss,32,500,70,1,2,0.5,"[2.96800211e-03 3.16193721e+01 6.98384523e-01 4.80042806e+01
 2.61822041e-02 1.50887188e-02 1.30988276e+01 3.27802807e+00]","[2.96800211e-03 3.13002076e+01 8.52810100e-01 3.67101968e+01
 2.61822041e-02 1.38326860e-02 1.41247239e+01 3.17483315e+00]","[2.96800211e-03 3.25038972e+01 4.84683172e-01 5.43059774e+01
 2.61822041e-02 1.34169734e-02 1.33979332e+01 3.23501110e+00]","[2.96800211e-03 3.16193721e+01 6.38062025e-01 4.77954569e+01
 2.61691762e-02 1.50887188e-02 1.34630805e+01 3.25317555e+00]","[3.00534632e-03 3.06640805e+01 4.59102902e-01 2.45110490e+01
 2.52925710e-02 1.34169734e-02 1.47269429e+01 3.22967433e+00]","[0.0005002107622231589, 0.0005007449543229557, 0.000500864783195534, 0.0005020774672405213, 0.000502266098076448]",0.0005012328130117
logcosh_loss,32,500,70,1,2,0.5,"[3.03316309e-03 3.10084008e+01 3.04002806e-01 8.47276412e+01
 3.08138843e-02 1.35231017e-02 2.76613098e+01 3.29789259e+00]","[3.03316309e-03 3.10084008e+01 5.39242064e-01 8.47276412e+01
 3.12060733e-02 1.35231017e-02 2.68044044e+01 3.29789259e+00]","[3.03316309e-03 3.12528876e+01 5.10416123e-01 7.44890796e+01
 2.80189273e-02 1.16504298e-02 2.48569427e+01 3.28128499e+00]","[3.03316309e-03 3.10084008e+01 3.40765490e-01 9.64499968e+01
 3.08138843e-02 1.35231017e-02 2.69913172e+01 3.29789259e+00]","[3.03316309e-03 3.06020648e+01 2.16356708e-01 8.60993774e+01
 3.12060733e-02 1.35231017e-02 2.84327129e+01 3.26261955e+00]","[0.0004996436058074856, 0.0005005185201310141, 0.0005039242075943844, 0.000504354360508061, 0.0005047032748653542]",0.0005026287937812
logcosh_loss,32,500,70,1,2,0.5,"[2.82269181e-03 3.35032417e+01 5.62103376e-01 5.93560032e+01
 6.00285722e-02 1.71448074e-02 5.26234841e+01 3.10066440e+00]","[2.83946650e-03 3.22685879e+01 2.45157195e-01 6.47362816e+01
 5.75439250e-02 1.71448074e-02 5.21994969e+01 3.08453233e+00]","[2.83946650e-03 3.22281233e+01 3.09002157e-01 6.39854898e+01
 5.22598443e-02 1.71448074e-02 4.62143508e+01 3.08678618e+00]","[2.82269181e-03 3.27062940e+01 3.76208603e-01 5.93560032e+01
 6.04169511e-02 1.71448074e-02 5.07770185e+01 3.03956126e+00]","[2.82269181e-03 3.27062940e+01 5.83345519e-01 5.09123635e+01
 4.38653255e-02 1.64075818e-02 3.68059903e+01 3.06567112e+00]","[0.0004945214520681718, 0.0005033649894917051, 0.000503767676279929, 0.0005063391156208059, 0.0005079782366972806]",0.0005031942940315
logcosh_loss,32,500,70,1,2,0.5,"[2.95888757e-03 3.33559883e+01 3.68184171e-01 6.73143311e+01
 2.74236706e-02 1.59201533e-02 1.04775038e+01 3.34110898e+00]","[2.95888757e-03 3.33559883e+01 2.95549648e-01 6.73143311e+01
 2.74236706e-02 1.60758235e-02 8.41274952e+00 3.34854502e+00]","[2.95888757e-03 3.33559883e+01 3.36736146e-01 6.93488452e+01
 2.74236706e-02 1.60758235e-02 9.96655525e+00 3.34854502e+00]","[2.95888757e-03 3.33459934e+01 5.10523340e-01 7.86921564e+01
 2.74236706e-02 1.60758235e-02 1.02544636e+01 3.33753905e+00]","[2.95888757e-03 3.40675370e+01 3.81788594e-01 7.41991156e+01
 2.74236706e-02 1.59201533e-02 7.95066310e+00 3.35797850e+00]","[0.0005006041155686833, 0.000501627121073823, 0.0005040952357756326, 0.0005043388357275219, 0.0005055185380613144]",0.0005032367692413
