CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,70,1,2,0.5,"[4.36899843e-03 3.24914638e+01 2.79370162e-01 4.72554426e+01
 1.04102178e-01 1.97844665e-02 3.75883084e+01 4.47984883e+00]","[4.36899843e-03 3.18969732e+01 3.00854164e-01 5.56665065e+01
 1.04102178e-01 1.97844665e-02 3.75883084e+01 4.46749704e+00]","[4.36899843e-03 3.25094450e+01 2.88255910e-01 7.45261271e+01
 1.06187208e-01 1.99708767e-02 3.74651672e+01 4.43892640e+00]","[4.36899843e-03 3.24914638e+01 2.67021367e-01 4.72554426e+01
 1.04102178e-01 1.97844665e-02 3.66491552e+01 4.47984883e+00]","[4.36899843e-03 3.25396328e+01 5.76050489e-01 7.61545768e+01
 1.06187208e-01 1.97844665e-02 3.73038816e+01 4.43781324e+00]","[0.0002556988644900134, 0.00025843037334985535, 0.00025856039797729263, 0.00026139317643856293, 0.0002631432841147182]",0.000259445219274
logcosh_loss,32,500,70,1,2,0.5,"[4.44278783e-03 2.99062164e+01 1.58559442e-01 2.64115249e+01
 4.92588238e-02 1.89949853e-02 5.76834893e-01 4.31776632e+00]","[4.44278783e-03 2.99919214e+01 3.49048828e-01 4.22020838e+01
 4.92588238e-02 1.89949853e-02 5.00000000e-01 4.36770364e+00]","[4.44278783e-03 3.02990580e+01 5.97966729e-01 3.99832006e+01
 4.92386005e-02 1.89949853e-02 5.00000000e-01 4.34631791e+00]","[4.44278783e-03 3.06318996e+01 2.28578866e-01 3.45124881e+01
 4.92386005e-02 1.90006708e-02 1.87259806e-01 4.39919670e+00]","[4.44278783e-03 3.21366494e+01 2.60286210e-01 3.70344580e+01
 4.92386005e-02 1.89949853e-02 5.00000000e-01 4.59818403e+00]","[0.0002596073039887066, 0.00026208624062824706, 0.0002622624712234113, 0.00026259162010129324, 0.00026264883085477786]",0.0002618392933592
logcosh_loss,32,500,70,1,2,0.5,"[4.27277114e-03 3.33935969e+01 3.76551184e-01 3.85606915e+01
 2.88798934e-01 2.10265726e-02 8.15919664e+01 4.43539125e+00]","[4.27277114e-03 3.40308600e+01 2.44626383e-01 3.85168342e+01
 2.80530223e-01 2.10265726e-02 7.80931291e+01 4.34922682e+00]","[4.27254427e-03 3.40481333e+01 5.85608290e-01 2.73626912e+01
 2.86928126e-01 2.10265726e-02 8.16801466e+01 4.44922982e+00]","[4.27277114e-03 3.32144958e+01 4.09196088e-01 4.04003507e+01
 1.93936161e-01 2.10265726e-02 6.22322382e+01 4.37026250e+00]","[4.27277114e-03 3.27269805e+01 2.95417397e-01 3.49524461e+01
 2.40752568e-01 2.10265726e-02 7.19906957e+01 4.31129701e+00]","[0.0002596706468452136, 0.0002604802032293265, 0.0002623710736627484, 0.00026280445214199447, 0.0002660178611587561]",0.0002622688474076
logcosh_loss,32,500,70,1,2,0.5,"[4.39896505e-03 2.95687305e+01 4.21963569e-01 6.01235455e+01
 8.20390468e-02 1.87135990e-02 2.74916942e+01 4.18772477e+00]","[4.39896505e-03 3.12714666e+01 8.77820501e-01 2.33627797e+01
 7.79816156e-02 1.87916741e-02 2.30660346e+01 4.31617434e+00]","[4.39896505e-03 2.95687305e+01 4.49919418e-01 2.39025518e+01
 7.79816156e-02 1.87135990e-02 2.52969358e+01 4.18163992e+00]","[4.39896505e-03 3.03390798e+01 9.80650583e-01 2.65243958e+01
 7.79816156e-02 1.87135990e-02 2.28987193e+01 4.22830167e+00]","[4.39896505e-03 2.96860847e+01 5.77230822e-01 2.41123672e+01
 7.79816156e-02 1.85753821e-02 2.75701437e+01 4.30723198e+00]","[0.0002608662642677921, 0.0002623592134273154, 0.00026310735369612973, 0.0002636453287701452, 0.0002638901546984506]",0.0002627736629719
logcosh_loss,32,500,70,1,2,0.5,"[4.19574708e-03 3.17988042e+01 4.93859382e-01 4.46693744e+01
 7.24935291e-02 2.00635388e-02 1.56803444e+01 4.03131410e+00]","[4.19574708e-03 3.13136349e+01 5.00000000e-01 4.61622900e+01
 7.21596629e-02 2.02622744e-02 1.48004801e+01 4.00708655e+00]","[4.19574708e-03 3.20951856e+01 4.52945987e-01 4.46693744e+01
 7.24935291e-02 2.00635388e-02 1.77359388e+01 4.14329479e+00]","[4.19574708e-03 3.16628604e+01 4.93859382e-01 5.00491948e+01
 7.24935291e-02 2.02622744e-02 1.59225904e+01 4.06354934e+00]","[4.19574708e-03 3.21013227e+01 6.69300165e-01 4.67479109e+01
 7.24935291e-02 2.00635388e-02 1.74460711e+01 4.15096430e+00]","[0.0002617025361672073, 0.0002626113268039045, 0.00026294626555373765, 0.00026364877955079653, 0.00026446453371985277]",0.000263074688359
logcosh_loss,32,500,70,1,2,0.5,"[4.33035138e-03 3.29870651e+01 3.81319560e-01 4.15887353e+01
 7.54100324e-02 2.06100792e-02 1.78757006e+01 4.40692259e+00]","[4.33035138e-03 3.36922508e+01 4.12254289e-01 4.72772907e+01
 7.72695618e-02 2.06100792e-02 1.90087252e+01 4.48513891e+00]","[4.33035138e-03 3.31655599e+01 6.67674106e-01 4.11608332e+01
 7.54100324e-02 2.06100792e-02 1.86844919e+01 4.47749644e+00]","[4.33035138e-03 3.29094750e+01 5.56212855e-01 5.03066661e+01
 7.54100324e-02 2.06100792e-02 1.75654876e+01 4.44551779e+00]","[4.33035138e-03 3.26847239e+01 4.70818677e-01 4.77020693e+01
 7.74363410e-02 2.06100792e-02 1.93390796e+01 4.38518049e+00]","[0.00026117068421403777, 0.00026132708449550895, 0.0002643756335759068, 0.00026466707710625303, 0.0002647906129264357]",0.0002632662184636
logcosh_loss,32,500,70,1,2,0.5,"[4.36538537e-03 3.14921876e+01 2.34282905e-01 6.45990083e+01
 7.02457198e-02 1.93202795e-02 1.77351555e+01 4.31066824e+00]","[4.36538537e-03 3.14120068e+01 3.61477846e-01 5.80022183e+01
 7.16973891e-02 1.90159937e-02 1.96361729e+01 4.34318460e+00]","[4.36538537e-03 3.21580755e+01 7.99162319e-01 7.13906745e+01
 7.46936944e-02 2.01083673e-02 1.91181520e+01 4.41214680e+00]","[4.36538537e-03 3.24365356e+01 6.12945726e-01 5.50635366e+01
 7.42843080e-02 2.01083673e-02 1.81951059e+01 4.33862104e+00]","[4.36538537e-03 3.14093273e+01 2.77036942e-01 6.91211303e+01
 7.18585461e-02 1.93202795e-02 1.81048338e+01 4.28028989e+00]","[0.000258141967524249, 0.0002618032780649639, 0.0002653841365911758, 0.00026587176769466044, 0.0002664019917808858]",0.0002635206283311
logcosh_loss,32,500,70,1,2,0.5,"[4.32093138e-03 3.39461381e+01 7.73603848e-01 6.78678675e+01
 6.94826372e-02 2.06666181e-02 1.29273933e+01 4.44385838e+00]","[4.32093138e-03 3.32387028e+01 5.37417392e-01 6.37239490e+01
 7.23462839e-02 2.06666181e-02 1.64744837e+01 4.47341390e+00]","[4.32093138e-03 3.61496044e+01 4.96501252e-01 4.31222898e+01
 6.94826372e-02 2.06666181e-02 1.39623378e+01 4.70846661e+00]","[4.32093138e-03 3.38422032e+01 9.42769511e-01 6.65594654e+01
 6.94826372e-02 2.06666181e-02 1.34495808e+01 4.49643145e+00]","[4.32093138e-03 3.32635983e+01 8.41420219e-01 7.87084348e+01
 6.94826372e-02 2.06666181e-02 1.15901962e+01 4.34354543e+00]","[0.0002574560458377473, 0.00026364052195781637, 0.00026384189396850416, 0.00026560867720932965, 0.0002686003988882711]",0.0002638295075723
logcosh_loss,32,500,70,1,2,0.5,"[4.51702885e-03 3.34682287e+01 9.71109577e-01 3.62527279e+01
 1.07740137e-01 1.95876965e-02 4.11003909e+01 4.89365322e+00]","[4.53746708e-03 3.31201714e+01 8.81538321e-01 3.84317671e+01
 1.04372897e-01 1.95876965e-02 3.89013624e+01 4.87149140e+00]","[4.53746708e-03 3.33295637e+01 9.73759768e-01 4.02685100e+01
 1.08342920e-01 1.95876965e-02 4.05697939e+01 4.78030877e+00]","[4.51702885e-03 3.31501439e+01 7.91097565e-01 7.72894715e+01
 1.04372897e-01 1.95876965e-02 3.86652044e+01 4.81050948e+00]","[4.53746708e-03 3.28809658e+01 3.62525234e-01 4.65046887e+01
 1.08606863e-01 1.95876965e-02 4.10605232e+01 4.91013522e+00]","[0.0002618925861477128, 0.00026315023784214406, 0.00026380777373828787, 0.0002644295098508554, 0.0002663005737641069]",0.0002639161362686
logcosh_loss,32,500,70,1,2,0.5,"[4.36521725e-03 3.25289789e+01 5.60306288e-01 5.18075738e+01
 1.67998845e-01 1.97602194e-02 6.06557487e+01 4.43800605e+00]","[4.36521725e-03 3.44298910e+01 4.58122208e-01 7.35318005e+01
 2.00591585e-01 2.12116284e-02 6.18163339e+01 4.59833830e+00]","[4.36521725e-03 3.19546202e+01 3.61808267e-01 5.76690558e+01
 1.67998845e-01 1.96206565e-02 6.02146992e+01 4.40233854e+00]","[4.36521725e-03 3.28382587e+01 9.59069425e-02 5.64399218e+01
 1.64122808e-01 1.97602194e-02 5.87759607e+01 4.45034525e+00]","[4.36521725e-03 3.21618296e+01 4.03856982e-01 5.18075738e+01
 1.64122808e-01 1.97602194e-02 5.98339753e+01 4.43800605e+00]","[0.0002597986148510516, 0.00026431215794711475, 0.0002644080021542039, 0.00026558742334007785, 0.0002672208863734129]",0.0002642654169331
