CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,0,500,70,1,2,0.5,"[2.98620528e-03 1.81171550e+01 1.11262185e-01 1.79032107e+01
 1.31685792e-01 1.80395496e-02 6.33855031e+01 1.98286070e+00]","[2.98620528e-03 1.81171550e+01 1.11262185e-01 1.79032107e+01
 1.31685792e-01 1.80395496e-02 6.33855031e+01 1.98286070e+00]","[2.98620528e-03 1.81297568e+01 1.11262185e-01 1.78937222e+01
 1.34612398e-01 1.80395496e-02 6.59063276e+01 2.00609897e+00]","[2.98620528e-03 1.65533731e+01 9.87819179e-02 1.60428561e+01
 1.25584508e-01 1.80395496e-02 5.87453397e+01 1.89768468e+00]","[2.98620528e-03 1.83049371e+01 1.11262185e-01 1.81462822e+01
 1.34612398e-01 1.80395496e-02 6.27962462e+01 1.98823753e+00]","[0.00023614513175718814, 0.00023614513175718814, 0.0002395145180965667, 0.00023983712885484825, 0.00024080701717855418]",0.0002384897855288
logcosh_loss,0,500,70,1,2,0.5,"[2.98305779e-03 2.59465819e+01 1.50705047e-01 2.58957005e+01
 1.11348072e-01 1.94949320e-02 4.55340435e+01 2.29086025e+00]","[2.98305779e-03 2.58847565e+01 1.50705047e-01 2.58957005e+01
 1.14676530e-01 1.94949320e-02 4.80000890e+01 2.31292780e+00]","[2.98305779e-03 2.51029751e+01 1.53225265e-01 2.53203898e+01
 1.11348072e-01 1.94949320e-02 4.56017680e+01 2.23695345e+00]","[2.98305779e-03 2.61680868e+01 1.50705047e-01 2.60399918e+01
 1.11348072e-01 1.94949320e-02 4.61934214e+01 2.30618889e+00]","[2.98305779e-03 2.61680868e+01 1.50705047e-01 2.58957005e+01
 1.11348072e-01 1.94949320e-02 4.58401559e+01 2.30618889e+00]","[0.00023937739141829386, 0.00023944171507252307, 0.00023949868607177845, 0.0002400185705941024, 0.00024014746942200232]",0.0002396967665157
logcosh_loss,0,500,70,1,2,0.5,"[2.98046443e-03 1.68826269e+01 1.10808402e-01 1.64860269e+01
 6.65333694e-02 1.69090769e-02 2.75863231e+01 1.90137075e+00]","[2.98046443e-03 1.68826269e+01 1.12720996e-01 1.64860269e+01
 6.52090921e-02 1.69090769e-02 2.72203509e+01 1.91980593e+00]","[2.98046443e-03 1.68826269e+01 1.17473561e-01 1.67056399e+01
 6.51664983e-02 1.69090769e-02 2.75863231e+01 1.90137075e+00]","[2.98046443e-03 1.67323457e+01 1.17473561e-01 1.64860269e+01
 6.52090921e-02 1.69090769e-02 2.66554978e+01 1.89073277e+00]","[2.98046443e-03 1.68826269e+01 1.17473561e-01 1.64860269e+01
 6.51664983e-02 1.69090769e-02 2.71717305e+01 1.90267563e+00]","[0.00023849174602166045, 0.00023923188919203976, 0.0002409257502467029, 0.00024137454525720642, 0.00024156349693727194]",0.0002403174855309
logcosh_loss,0,500,70,1,2,0.5,"[3.19366939e-03 1.44306147e+01 1.04491250e-01 1.37125107e+01
 1.32818326e-01 1.65620345e-02 7.18382276e+01 1.96136262e+00]","[3.19366939e-03 1.49663411e+01 1.04491250e-01 1.47120292e+01
 1.32818326e-01 1.65620345e-02 6.98003165e+01 1.95579988e+00]","[3.19366939e-03 1.49663411e+01 1.04491250e-01 1.47178959e+01
 1.32818326e-01 1.65620345e-02 6.98003165e+01 1.96136262e+00]","[3.19366939e-03 1.51093671e+01 1.04491250e-01 1.44743580e+01
 1.32583370e-01 1.51420117e-02 8.32757744e+01 2.04815094e+00]","[3.19366939e-03 1.50820432e+01 1.04491250e-01 1.44704803e+01
 1.21317663e-01 1.65620345e-02 7.03558184e+01 2.07739939e+00]","[0.00023775372681378467, 0.00024121554519371014, 0.00024144710371903523, 0.00024365005802547992, 0.00024569802055352224]",0.0002419528908611
logcosh_loss,0,500,70,1,2,0.5,"[3.11589294e-03 2.53453282e+01 1.19827613e-01 2.62273240e+01
 2.07902546e-01 2.00606178e-02 7.47737974e+01 2.38973103e+00]","[3.11589294e-03 2.59848283e+01 1.28986156e-01 2.58642107e+01
 1.81126701e-01 2.00606178e-02 6.85826588e+01 2.43017845e+00]","[3.11589294e-03 2.59848283e+01 1.31529057e-01 2.58642107e+01
 1.55348665e-01 2.00606178e-02 6.04701405e+01 2.40945985e+00]","[3.11589294e-03 2.59848283e+01 1.46765095e-01 2.55585728e+01
 1.57843333e-01 2.00606178e-02 6.28970128e+01 2.45068000e+00]","[3.11589294e-03 2.54993326e+01 1.36097073e-01 2.58642107e+01
 1.40123983e-01 2.00606178e-02 5.64537056e+01 2.41069745e+00]","[0.00024303356561388573, 0.00024310131088166786, 0.000243204169631425, 0.00024349188281760345, 0.00024367398228942007]",0.0002433009822468
logcosh_loss,0,500,70,1,2,0.5,"[2.81793206e-03 2.36790618e+01 5.00000000e-01 2.11408715e+01
 6.11373896e-02 1.88358281e-02 1.62262621e+01 2.01461508e+00]","[2.81793206e-03 2.47525275e+01 5.12336860e-01 2.15155066e+01
 6.32805195e-02 1.88358281e-02 1.89048911e+01 2.10266771e+00]","[2.81793206e-03 2.44405728e+01 4.90810659e-01 2.15155066e+01
 6.32805195e-02 1.88358281e-02 1.89048911e+01 2.06326217e+00]","[2.81793206e-03 2.36790618e+01 4.46228921e-01 2.13284151e+01
 6.32805195e-02 1.88358281e-02 1.92545855e+01 2.05063831e+00]","[2.81793206e-03 2.51626337e+01 5.27737739e-01 2.15155066e+01
 6.32805195e-02 1.88358281e-02 1.85555740e+01 2.10266771e+00]","[0.00024265794736492004, 0.00024290788059539944, 0.00024342874700435148, 0.0002434886352654715, 0.00024427463384461666]",0.0002433515688149
logcosh_loss,0,500,70,1,2,0.5,"[3.07837246e-03 2.59378083e+01 3.58002131e-01 2.26877779e+01
 2.11943577e-01 1.88523825e-02 8.29604513e+01 2.34430054e+00]","[3.07837246e-03 2.70266584e+01 3.12878967e-01 2.36180394e+01
 2.10707238e-01 1.88523825e-02 8.27193722e+01 2.44326858e+00]","[3.07837246e-03 2.70266584e+01 4.74498665e-01 2.24082162e+01
 2.12051438e-01 1.88523825e-02 8.38162931e+01 2.45485141e+00]","[3.09995521e-03 2.66899659e+01 3.47859480e-01 2.32888693e+01
 2.11943577e-01 1.88523825e-02 8.31084071e+01 2.43009581e+00]","[3.07837246e-03 2.70678985e+01 4.17094258e-01 2.26538082e+01
 2.07086258e-01 1.88523825e-02 8.27732811e+01 2.47289220e+00]","[0.0002433769987863572, 0.0002435242340632272, 0.00024391296273876373, 0.0002440546996225731, 0.00024433038915309203]",0.0002438398568728
logcosh_loss,0,500,70,1,2,0.5,"[2.95233451e-03 1.67523222e+01 9.11812156e-02 1.60322951e+01
 1.39985863e-01 1.89067859e-02 6.01720380e+01 1.90867724e+00]","[2.95233451e-03 1.56948945e+01 9.88606667e-02 1.48836511e+01
 1.29892449e-01 1.89067859e-02 5.75634699e+01 1.86431981e+00]","[2.95233451e-03 1.67523222e+01 9.16575040e-02 1.59988358e+01
 1.29892449e-01 1.89067859e-02 5.71053923e+01 1.90637548e+00]","[2.95233451e-03 1.50695166e+01 9.57685259e-02 1.42278791e+01
 1.30300749e-01 1.89067859e-02 5.77327866e+01 1.83699742e+00]","[2.95233451e-03 1.50712439e+01 9.57685259e-02 1.42635863e+01
 1.30300749e-01 1.89067859e-02 5.77327866e+01 1.83699742e+00]","[0.0002434739458061211, 0.00024459407899436964, 0.00024561655703175204, 0.0002462734577134947, 0.00024627409874187535]",0.0002452464276575
logcosh_loss,0,500,70,1,2,0.5,"[2.78921101e-03 2.60890471e+01 1.69557977e-01 2.57314353e+01
 5.22365862e-02 2.03481950e-02 4.48516559e+00 2.10669171e+00]","[2.78921101e-03 2.60375105e+01 1.69557977e-01 2.54073446e+01
 5.22354561e-02 2.03060415e-02 4.68384379e+00 2.11186353e+00]","[2.78921101e-03 2.60890471e+01 1.69557977e-01 2.57368509e+01
 5.17358157e-02 2.03060415e-02 4.97156825e+00 2.11020005e+00]","[2.78921101e-03 2.65694255e+01 3.42310500e-01 2.34049116e+01
 5.22354561e-02 2.03060415e-02 4.82345881e+00 2.12059521e+00]","[2.78921101e-03 2.69436973e+01 2.65258415e-01 2.44334583e+01
 5.22365862e-02 2.05199082e-02 4.68384379e+00 2.14166443e+00]","[0.0002455900130111787, 0.0002459427290093328, 0.00024611764772714223, 0.00024643924146153966, 0.0002468820315194007]",0.0002461943325457
logcosh_loss,0,500,70,1,2,0.5,"[3.15986591e-03 2.63740173e+01 1.43094158e-01 2.64636605e+01
 7.72617214e-02 1.94031190e-02 2.95061382e+01 2.52396388e+00]","[3.15986591e-03 2.72586919e+01 1.53531957e-01 2.68811817e+01
 8.17988007e-02 1.91253570e-02 3.13847697e+01 2.53330313e+00]","[3.15986591e-03 2.73007115e+01 1.29468271e-01 2.85606973e+01
 7.72617214e-02 1.98065811e-02 2.74638303e+01 2.55401815e+00]","[3.15986591e-03 2.72586919e+01 1.29468271e-01 2.85864133e+01
 7.72617214e-02 1.98065811e-02 2.74638303e+01 2.55401815e+00]","[3.15986591e-03 2.71541962e+01 1.23912583e-01 2.86245224e+01
 7.72617214e-02 1.91253570e-02 2.95061382e+01 2.55184860e+00]","[0.00024356281825479157, 0.0002465562680918294, 0.00024725310341607964, 0.00024734396680315855, 0.00024829547517618545]",0.0002466023263484
