CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost,dist_to_known_params
logcosh_loss,32,500,70,1,2,0.5,"[9.97261707e-03 5.45237473e+01 1.07836937e-01 5.43502985e+01,,,,,,,,,,,,,,1.535514790694345
 1.12604885e-01 1.14709553e-02 6.37238340e+01 4.00000000e+00]","[9.97261707e-03 5.46448793e+01 1.07836937e-01 5.46872194e+01
 1.12604885e-01 1.14709553e-02 6.37519704e+01 4.00000000e+00]","[9.97261707e-03 5.44670594e+01 1.07836937e-01 5.43018312e+01
 1.15450167e-01 1.14709553e-02 6.58615405e+01 4.00000000e+00]","[9.97261707e-03 5.45237473e+01 1.07836937e-01 5.43502985e+01
 1.12604885e-01 1.14709553e-02 6.31339434e+01 4.00000000e+00]","[9.97261707e-03 5.46374985e+01 1.07836937e-01 5.43502985e+01
 1.08780806e-01 1.14709553e-02 6.02932626e+01 4.00000000e+00]","[9.119428001678089e-06, 9.175720806358843e-06, 9.192036269493713e-06, 9.309109690250264e-06, 9.324055857909544e-06]",9.224070125138091e-06,1.5355147906943447
logcosh_loss,32,500,70,1,2,0.5,"[1.01394283e-02 5.42166338e+01 1.02143104e-01 5.41663134e+01
 1.15097265e-01 1.17984108e-02 6.23338454e+01 4.00000000e+00]","[1.02258849e-02 5.34384890e+01 9.63151910e-02 5.35182915e+01
 1.15097265e-01 1.17984108e-02 6.23895255e+01 4.00000000e+00]","[1.02258849e-02 5.34384890e+01 9.55401795e-02 5.35182915e+01
 1.15097265e-01 1.17984108e-02 6.21826749e+01 4.00000000e+00]","[1.01970042e-02 5.34384890e+01 9.84367945e-02 5.33468582e+01
 1.15097265e-01 1.17984108e-02 6.30156576e+01 4.00000000e+00]","[1.02258849e-02 5.34384890e+01 9.63151910e-02 5.35182915e+01
 1.15097265e-01 1.17984108e-02 6.21826749e+01 4.00000000e+00]","[4.662359202715822e-06, 4.6984684233348485e-06, 4.7315067172385576e-06, 4.737675795700341e-06, 4.740410014148156e-06]",4.714084030627545e-06,3.0129229510761775
logcosh_loss,32,500,70,1,2,0.5,"[9.31379425e-03 6.04373699e+01 1.26291397e-01 6.03966685e+01
 1.33249687e-01 1.37705526e-02 6.10284657e+01 4.00000000e+00]","[9.31379425e-03 6.04373699e+01 1.26291397e-01 6.03966685e+01
 1.33249687e-01 1.37705526e-02 6.08033159e+01 4.00000000e+00]","[9.31379425e-03 6.04373699e+01 1.21071873e-01 6.03966685e+01
 1.33249687e-01 1.37705526e-02 6.08033159e+01 4.00000000e+00]","[9.31379425e-03 5.91026788e+01 1.11129378e-01 5.90280091e+01
 1.28779342e-01 1.37705526e-02 6.09495694e+01 4.00000000e+00]","[9.31379425e-03 6.04023381e+01 1.42420267e-01 5.94086741e+01
 1.31719852e-01 1.37705526e-02 6.07378192e+01 4.00000000e+00]","[1.2144639099901269e-05, 1.2598360190867896e-05, 1.2643662465194233e-05, 1.3194267199917975e-05, 1.3405417587493347e-05]",1.2797269308674944e-05,9.418779254002185
logcosh_loss,32,500,70,1,2,0.5,"[9.19982937e-03 6.13837276e+01 1.67474976e-01 5.84710544e+01
 1.33506745e-01 1.41912520e-02 5.96780507e+01 4.00000000e+00]","[9.32778147e-03 6.12874518e+01 1.58752312e-01 5.84360904e+01
 1.34151246e-01 1.41912520e-02 5.82865348e+01 4.00000000e+00]","[9.19982937e-03 6.12874518e+01 1.56774432e-01 5.84360904e+01
 1.34151246e-01 1.41912520e-02 5.93240852e+01 4.00000000e+00]","[9.19982937e-03 6.14370579e+01 1.66568242e-01 5.82100033e+01
 1.34151246e-01 1.41912520e-02 5.98236400e+01 4.00000000e+00]","[9.32778147e-03 6.12874518e+01 1.58752312e-01 5.84360904e+01
 1.34151246e-01 1.41912520e-02 5.82865348e+01 4.00000000e+00]","[1.6011277551386852e-05, 1.6259384772466047e-05, 1.6650993421892618e-05, 1.6658114280795058e-05, 1.6674681769839487e-05]",1.6450890359276012e-05,9.899026369864846
logcosh_loss,32,500,70,1,2,0.5,"[9.63836455e-03 5.69967873e+01 1.10936679e-01 5.67734939e+01
 1.13911064e-01 1.28516209e-02 5.65182889e+01 4.00000000e+00]","[9.63836455e-03 5.67484463e+01 1.06784276e-01 5.67734939e+01
 1.13911064e-01 1.28516209e-02 5.68790464e+01 4.00000000e+00]","[9.63836455e-03 5.67328322e+01 1.07467948e-01 5.67734939e+01
 1.13911064e-01 1.28516209e-02 5.69133012e+01 4.00000000e+00]","[9.63836455e-03 5.68234129e+01 1.05261123e-01 5.67734939e+01
 1.13911064e-01 1.28516209e-02 5.66984460e+01 4.00000000e+00]","[9.63836455e-03 5.68234129e+01 1.10936679e-01 5.65775541e+01
 1.13911064e-01 1.28516209e-02 5.66984460e+01 4.00000000e+00]","[6.464799781141961e-06, 6.471176893474339e-06, 6.581828732518095e-06, 6.602721276461002e-06, 6.862435563017651e-06]",6.59659244932261e-06,10.138299438599233
logcosh_loss,32,500,70,1,2,0.5,"[9.11990391e-03 6.22242262e+01 1.80333942e-01 5.78185147e+01
 1.40562223e-01 1.49834639e-02 5.91272391e+01 4.00000000e+00]","[9.11990391e-03 6.24931319e+01 1.93287935e-01 5.78185147e+01
 1.41757572e-01 1.49834639e-02 5.94487090e+01 4.00000000e+00]","[9.11990391e-03 6.24838850e+01 1.92421372e-01 5.77664910e+01
 1.41711837e-01 1.49834639e-02 5.97154745e+01 4.00000000e+00]","[9.11990391e-03 6.22242262e+01 1.80796107e-01 5.78185147e+01
 1.39587618e-01 1.49834639e-02 5.89808300e+01 4.00000000e+00]","[9.11990391e-03 6.22242262e+01 1.80333942e-01 5.77664910e+01
 1.39587618e-01 1.49834639e-02 5.87889380e+01 4.00000000e+00]","[2.287317820691938e-05, 2.2998169511698304e-05, 2.3101754236293936e-05, 2.3113817801212207e-05, 2.311566335741138e-05]",2.3040516622707047e-05,10.829643129271023
logcosh_loss,32,500,70,1,2,0.5,"[9.07412727e-03 6.18467888e+01 1.01819186e-01 6.29249129e+01
 1.48905655e-01 1.45970841e-02 6.54324634e+01 4.00000000e+00]","[9.07412727e-03 6.27015273e+01 1.24517359e-01 6.24259830e+01
 1.64904761e-01 1.57620918e-02 6.63797453e+01 4.00000000e+00]","[9.07412727e-03 6.29836026e+01 1.24517359e-01 6.29948862e+01
 1.64874101e-01 1.57620918e-02 6.56693546e+01 4.00000000e+00]","[9.07412727e-03 6.30264938e+01 1.24517359e-01 6.29948862e+01
 1.64904761e-01 1.57620918e-02 6.54324634e+01 4.00000000e+00]","[9.07412727e-03 6.31309714e+01 1.24517359e-01 6.29249129e+01
 1.64904761e-01 1.57620918e-02 6.56358966e+01 4.00000000e+00]","[2.9004734338000376e-05, 3.1808125933229954e-05, 3.229916097584101e-05, 3.2582577525497986e-05, 3.2650383738454025e-05]",3.166899650220467e-05,11.902684062342097
logcosh_loss,32,500,70,1,2,0.5,"[9.00611498e-03 6.23378675e+01 1.41111943e-01 6.19620513e+01
 1.33433173e-01 1.43200197e-02 5.91330260e+01 4.00000000e+00]","[9.00611498e-03 6.22597633e+01 1.41111943e-01 6.18528907e+01
 1.33433173e-01 1.43200197e-02 5.93404286e+01 4.00000000e+00]","[9.00611498e-03 6.24482281e+01 1.53036444e-01 6.19585047e+01
 1.33768083e-01 1.43200197e-02 5.90599163e+01 4.00000000e+00]","[9.00611498e-03 6.23378675e+01 1.41111943e-01 6.19620513e+01
 1.33470617e-01 1.43200197e-02 5.91129748e+01 4.00000000e+00]","[9.00611498e-03 6.23853137e+01 1.46515109e-01 6.19136047e+01
 1.33207448e-01 1.43200197e-02 5.87388470e+01 4.00000000e+00]","[2.155077263456964e-05, 2.1567387500960314e-05, 2.169188396970117e-05, 2.1704099936852594e-05, 2.1708925391115434e-05]",2.164461388663984e-05,13.125618787413124
logcosh_loss,32,500,70,1,2,0.5,"[8.77500317e-03 6.44289266e+01 2.40745399e-01 5.74655962e+01
 1.45905374e-01 1.55698187e-02 5.89306558e+01 4.00000000e+00]","[8.77500317e-03 6.50657170e+01 2.25950232e-01 6.26406270e+01
 1.45905374e-01 1.55698187e-02 5.82555380e+01 4.00000000e+00]","[8.77500317e-03 6.49664482e+01 2.40745399e-01 6.24340774e+01
 1.45905374e-01 1.55698187e-02 5.90425069e+01 4.00000000e+00]","[8.77500317e-03 6.52972089e+01 2.25950232e-01 6.26406270e+01
 1.45905374e-01 1.55698187e-02 5.81727332e+01 4.00000000e+00]","[8.77500317e-03 6.52972089e+01 2.25950232e-01 6.26406270e+01
 1.45905374e-01 1.55698187e-02 5.81727332e+01 4.00000000e+00]","[3.678500800838407e-05, 3.7535862569725226e-05, 3.777415841585982e-05, 3.8036874975080745e-05, 3.80932832824023e-05]",3.764503745029044e-05,13.174505732528521
logcosh_loss,32,500,70,1,2,0.5,"[9.11808810e-03 6.19564817e+01 2.08950600e-01 5.82669796e+01
 1.27099027e-01 1.42218983e-02 5.57966034e+01 4.00000000e+00]","[9.06738290e-03 6.18534850e+01 1.89048178e-01 5.82116446e+01
 1.27099027e-01 1.42218983e-02 5.65983983e+01 4.00000000e+00]","[9.11808810e-03 6.19564817e+01 2.08950600e-01 5.82669796e+01
 1.27099027e-01 1.42218983e-02 5.64483767e+01 4.00000000e+00]","[9.06738290e-03 6.21426300e+01 2.04000937e-01 5.81842566e+01
 1.27099027e-01 1.42218983e-02 5.59690679e+01 4.00000000e+00]","[9.06738290e-03 6.18534850e+01 1.91355183e-01 5.82669796e+01
 1.27470298e-01 1.42218983e-02 5.67112210e+01 4.00000000e+00]","[1.940284053123971e-05, 1.940593667659515e-05, 1.9504282140825092e-05, 1.9672865891304558e-05, 1.9744416425535574e-05]",1.954606833310001e-05,13.725471190626093
