CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,70,1,2,0.5,"[0.003341751810848783, 42.12500692712436, 0.5820037307281544, 71.32369582971027, 0.06361172362840736, 0.012621042238098817, 34.08055544243909, [7.347608316082542, 4.498039812276436, 4.680070082782813, 3.77615819226944, 4.201663218376526, 3.6037345461000774, 3.881067284833379, 3.2790030600359854, 3.8100825138190375, 3.267149087667156, 3.782020949416932, 2.121685933761609]]","[0.003341751810848783, 38.54527299654688, 0.5381222502713011, 76.35431435334415, 0.0620509829074857, 0.012621042238098817, 39.837629348969706, [6.175266679867842, 4.969352498845937, 4.6458700977421135, 3.6328858766844325, 3.9960722854696744, 3.7389363172001584, 3.788716953673973, 3.714275208606533, 3.666018119476207, 3.532998914369978, 3.584848511351924, 3.248022419163421]]","[0.003341751810848783, 37.84030730012306, 0.40124447842045957, 80.22878973255499, 0.0620509829074857, 0.012621042238098817, 39.832072580972735, [4.558802838411519, 4.810730642377328, 4.33892364937802, 4.050480017137212, 4.057804233843603, 3.9003545744480848, 3.778548434398262, 3.4586874705056196, 3.559109270966817, 3.1715827569258095, 3.3203397046006113, 2.8907870605448074]]","[0.003341751810848783, 41.680062406476665, 0.48654582287251913, 71.67986461312631, 0.06361172362840736, 0.012621042238098817, 34.08055544243909, [6.50397747145427, 4.9041302439505765, 4.569490588743561, 4.523718926899046, 4.1307094133148885, 4.864173969412057, 3.760754061951098, 3.903451571549874, 3.8742900588220417, 3.2335663307945772, 3.703591156364436, 2.532639992896036]]","[0.003341751810848783, 39.25306129189953, 0.24194815912151135, 81.18994248081839, 0.07162841572315187, 0.012621042238098817, 45.61562693927032, [6.732801221635621, 4.896343813847261, 4.439139592677811, 4.257905578798365, 3.887482134786335, 3.2458461712488176, 3.778548434398262, 4.0147043314718225, 3.7203777638933664, 3.227655278221401, 3.687501385106473, 1.7115210161403922]]","[0.0003229964779368772, 0.00032638410065135404, 0.00032793849742292544, 0.0003286617278834755, 0.00032878961709719833]",0.0003269540841983
logcosh_loss,32,500,70,1,2,0.5,"[0.004483857193625535, 43.33300379899001, 0.561572327568866, 37.888898059976015, 0.09052785670633287, 0.0125321930512758, 81.41581322947094, [9.108924749652692, 7.916989077925088, 7.723694106024474, 6.989040383721029, 7.575628004423791, 6.4091341331892195, 7.167831900389582, 5.338831328620376, 6.658372966737444, 4.601810057377488, 6.637378042495911, 4.208734317671151]]","[0.004483857193625535, 43.22414224837623, 0.7441747000074379, 26.111737174661382, 0.09165316565662125, 0.01291676750595385, 80.25391789712856, [9.798357728426383, 8.04402635091414, 7.723694106024474, 6.706695194758363, 7.6527414011750645, 6.474791701699794, 6.8371842833056995, 6.065199127315693, 6.7772355082925735, 7.347552840295952, 7.060294900630292, 5.615133636061555]]","[0.004483857193625535, 42.60434758806799, 0.4084103312974195, 37.76939344094305, 0.09165316565662125, 0.0125321930512758, 78.78698977020262, [8.750876421293677, 8.34288429961667, 7.750305617984723, 6.730686059496532, 7.059750186252829, 6.088105152525221, 7.143718692518293, 5.174003160277678, 6.4698361791732415, 5.294428566838131, 7.0713447694446385, 5.615133636061555]]","[0.004483857193625535, 42.421082773885665, 0.9978628685100452, 27.949387678222504, 0.09399466784447401, 0.012389308678231575, 79.02646232493903, [9.241323133178343, 7.413748366913956, 7.195638473381209, 6.730686059496532, 6.967535662936234, 6.252581366658388, 6.78987616138284, 5.8233843977961115, 6.398127457991987, 5.757901267323288, 6.489598088453206, 4.922095488000836]]","[0.004483857193625535, 42.39203931701079, 0.49289576417806924, 30.767984615174463, 0.09399466784447401, 0.01291676750595385, 79.46598324325419, [9.798357728426383, 7.6234303495420095, 7.060145960278486, 6.730686059496532, 6.689431700210571, 6.254876659520404, 7.333352129096482, 6.199677056089046, 6.7772355082925735, 5.435632203437363, 6.77327142084726, 4.910338667480872]]","[0.00032179564028975773, 0.0003261176931028032, 0.00032948667573844587, 0.000330871057374644, 0.0003313302676916398]",0.0003279202668394
logcosh_loss,32,500,70,1,2,0.5,"[0.0035536840336766705, 48.0244174253175, 0.36196920298697755, 75.00464371477446, 0.04870351470451948, 0.015884725777345208, 4.153582471958101, [8.090001634389724, 5.717519544730458, 5.4792355086333755, 4.634192555409507, 4.7486438750766125, 4.5077899538048065, 4.831177327627278, 4.469387571726982, 4.805133373694694, 3.8648785940923864, 4.397985315607192, 3.32308899544939]]","[0.0035536840336766705, 45.205105616030544, 0.25838255602323096, 60.74378828123211, 0.04602210857565687, 0.016062060603319606, 5.187368264704116, [8.040280465732216, 5.640157246598115, 5.3798303126378455, 4.477315946601446, 4.864737122158933, 4.147374084648061, 4.831177327627278, 4.22200562057201, 4.480732225358916, 4.44426891286721, 4.346440354260594, 3.816734296387598]]","[0.0035536840336766705, 44.80015153750974, 0.5531143769407573, 92.61687174151442, 0.04870351470451948, 0.016062060603319606, 9.67517291953269, [8.040280465732216, 5.898772136742307, 5.327530075703313, 4.85169865601932, 4.99144270807185, 4.147374084648061, 4.753080618788725, 4.22200562057201, 4.480732225358916, 4.44426891286721, 4.346440354260594, 2.5729932057739062]]","[0.0035536840336766705, 44.969022933081995, 0.13220816427660548, 75.54442928448947, 0.05103118643922015, 0.016062060603319606, 7.594480169906689, [8.723954046284113, 5.092450795567824, 5.2707851797050695, 4.179802809577072, 4.826060703730969, 4.195869988366636, 4.323182255797783, 4.427992996796449, 4.467478047180184, 3.503409479301984, 4.412722105171603, 3.0477826630856932]]","[0.0035536840336766705, 46.065552634461696, 0.29364781870600903, 73.91776701809385, 0.05103118643922015, 0.016062060603319606, 8.586183554519716, [9.847590636700627, 5.415023901126594, 5.2526460421690855, 4.520781193013665, 4.985099393341148, 3.969992068972041, 4.649149454929438, 5.248436387554232, 4.738752486500324, 3.2364550043520337, 4.49894290841223, 3.385035374535688]]","[0.0003119037738357192, 0.0003261453316212651, 0.0003307728257634151, 0.00033183462762472984, 0.0003404855155472734]",0.0003282284148784
logcosh_loss,32,500,70,1,2,0.5,"[0.0046941750552604924, 39.132861199475464, 0.9635713536958057, 45.43357794235191, 0.040037559386312004, 0.015221385039059539, 2.2159471269636173, [9.161702760024589, 6.916931618210764, 6.533259819987352, 5.968082151394388, 6.409009673117543, 6.343887670455206, 6.93903616457018, 6.502144043001236, 6.997623674777068, 6.447041834054447, 6.9011499081168, 4.795212236911665]]","[0.0046941750552604924, 38.545153812176395, 0.4982207211680191, 47.765996547646054, 0.040037559386312004, 0.015221385039059539, 4.07384615107792, [8.847578938237803, 6.536897101720976, 6.406007731369037, 6.034355194981112, 6.505315729209682, 6.883913615876332, 6.833273368494413, 5.946714708304211, 6.90730429830127, 5.977426069847586, 6.636712800771648, 5.98746189550568]]","[0.005076045217429401, 31.712849319574595, 0.7223605678372218, 56.30493656226806, 0.03938624395926969, 0.015221385039059539, 1.6594556948279484, [7.7982404093821085, 5.887561400930059, 5.768385295821515, 5.241538664748543, 6.261781903226525, 5.463740704405859, 6.671689698593375, 6.548900598423867, 7.352799626105351, 5.541907309752326, 7.038986569008511, 5.861364719751574]]","[0.0046941750552604924, 38.20108817679378, 0.9635713536958057, 49.29585538839816, 0.040037559386312004, 0.015221385039059539, 3.4166708077199304, [8.83758103020368, 6.0090709199479235, 6.557691336586301, 6.264248725359062, 6.391150209952189, 5.744779772478927, 6.379501266667241, 6.0019103076626, 6.810538311818905, 5.514813636190732, 6.7540319977963525, 6.024468380665976]]","[0.005076045217429401, 35.24361896995397, 0.9191294314076849, 50.08004247127192, 0.044304541958430546, 0.015221385039059539, 3.6626686089726643, [8.719329899696913, 6.454299380281374, 6.22493864756418, 5.812118950339993, 6.510407928572483, 6.077376709107887, 6.47380186453254, 6.499588368669807, 7.087480763102542, 6.320472266764614, 7.447577222735533, 4.830313592749469]]","[0.00031897052339159375, 0.00032535241361841084, 0.00032940833973801035, 0.0003327479167430653, 0.0003348931893776493]",0.0003282744765737
logcosh_loss,32,500,70,1,2,0.5,"[0.004267245706250951, 30.908436333925383, 0.5, 79.18014560911061, 0.05448293465355288, 0.017320964019551972, 10.631358538131856, [5.005953675065697, 3.8017686556084707, 3.987955180250511, 3.7672921265403363, 4.49577171640634, 3.9021672919154256, 4.848002046441166, 4.631781392490864, 5.186672838997786, 4.2257717739013865, 5.083496603239389, 4.60929310133609]]","[0.004452390773394654, 28.45980825131121, 0.33527732269245925, 67.32859371878803, 0.05224654288519324, 0.017320964019551972, 8.794084002635294, [4.3860265622345, 3.535894165913547, 4.120779221440354, 3.8685190332589103, 4.444560860740773, 4.172821779233461, 4.905990897660202, 4.741189784472127, 5.185347978922293, 4.634809457123071, 5.014542035782133, 5.379227635426912]]","[0.004452390773394654, 32.10982043503644, 0.5411325730767491, 68.20733203015041, 0.05601065202960136, 0.01811505792087033, 6.051901117442254, [8.243251371312187, 4.501542601190855, 4.152929585918573, 3.925832575383837, 4.458259769764969, 4.2973620879362, 4.908308540428716, 4.793596915881865, 5.3743025657407975, 4.814564941079699, 5.11132502168866, 3.182760340159464]]","[0.004452390773394654, 28.45980825131121, 0.6079782953032457, 77.75696185524829, 0.04786577845070896, 0.017320964019551972, 2.083199613151656, [9.741765332201652, 3.6176198693092423, 4.133340266033438, 4.127115605495599, 4.282213555015262, 4.418889268931222, 4.905990897660202, 4.502595389751494, 4.649800502495146, 4.972994159012632, 5.540101363733373, 4.197300444172407]]","[0.004452390773394654, 31.239883448869808, 0.6093531955159979, 80.40872575646576, 0.057739953821240135, 0.01811505792087033, 6.45686892554151, [8.203688971101295, 3.6487395371141886, 3.987955180250511, 3.736558458893502, 4.432244198408283, 4.13044960071558, 4.848002046441166, 3.959457223809976, 4.943076685971694, 4.48288388109742, 5.093454530847168, 5.001810691851806]]","[0.00032204482052767614, 0.00032209766764882975, 0.00033347090644392084, 0.00033439896409363947, 0.0003401152192969554]",0.0003304255156022
logcosh_loss,32,500,70,1,2,0.5,"[0.0034200316273862302, 42.614506711032526, 0.6291038526941461, 81.98132218152013, 0.03406731957158483, 0.010015755392516527, 1.1148679340913565, [7.809589323295184, 6.330341888438235, 5.252349892145749, 4.809981784049629, 4.788138015716035, 4.550972338527448, 4.272837857118822, 3.833447069903324, 3.8363752488710965, 3.8463014012480117, 3.7169570376182053, 2.5058528205977706]]","[0.0035135285030039455, 41.44498008884869, 0.9640669368594028, 75.52374413490077, 0.03502835587706121, 0.010015755392516527, 0.5, [8.169330837457625, 6.330341888438235, 5.252349892145749, 4.602117991791166, 4.5774435630797035, 4.511714557381563, 4.3302460879971525, 3.6038593718642216, 3.8363752488710965, 3.52022604407097, 3.650358334979293, 3.1055649453008236]]","[0.0035135285030039455, 41.44498008884869, 0.6291038526941461, 81.98132218152013, 0.03502835587706121, 0.009191874273286393, 4.140185453285364, [7.449257829448644, 6.501825319495978, 5.789728435681065, 4.809981784049629, 4.837705664664747, 4.14826609796451, 4.4186541026196915, 3.833447069903324, 4.114615240976185, 3.65957748006348, 3.94596775947331, 2.4384498758121413]]","[0.0034200316273862302, 41.99019550833166, 0.7080388108728378, 69.28922201114167, 0.03406731957158483, 0.010015755392516527, 0.1710094262701558, [7.124267548798016, 5.647218382165666, 5.389866136767648, 4.662105793090177, 4.441538943778285, 4.826489290851011, 4.496885962688198, 3.8878661154869705, 3.9451078526996666, 3.137067778221032, 3.685595106961791, 3.686260092962759]]","[0.0035135285030039455, 42.304085419405105, 0.5801845105336527, 72.1737297003079, 0.03406731957158483, 0.010015755392516527, 1.2487664557137403, [8.099642138673792, 6.066010252863414, 5.472855771664202, 5.173271702967011, 4.8755190855434725, 4.601461158494252, 4.496885962688198, 3.7115068662468853, 4.007576692979036, 3.137067778221032, 4.03548246762514, 4.101777446867162]]","[0.0003086054616901429, 0.00032350291760271146, 0.0003365766938340118, 0.0003401632670023029, 0.00034755466748287965]",0.0003312806015224
logcosh_loss,32,500,70,1,2,0.5,"[0.0043161198331371185, 38.878990420938074, 0.4864383304498944, 79.35900197845864, 0.11437785866454993, 0.013634928413441582, 87.77713238754623, [6.95513681618255, 7.287810872694433, 6.272981001244056, 5.748985187085194, 5.934531562604436, 5.43734108264193, 5.942533735771729, 4.881834069828199, 6.018118808696402, 5.186494477431536, 5.93189368023408, 4.43897410601803]]","[0.0043161198331371185, 38.072758342044935, 0.49812009395846224, 78.49657294136158, 0.11477217967753672, 0.013434365098146862, 84.8747945437927, [6.085752815540041, 6.514330036239187, 5.9945217677389, 5.660008423866729, 5.775315957660275, 5.402413211943187, 5.649791598323595, 5.869800570571371, 5.65327142702491, 4.883696596062939, 5.87855234978833, 5.7373928023906355]]","[0.0043161198331371185, 35.51824999337741, 0.0896724821245718, 73.56517469869343, 0.10801764284382115, 0.013648342508843801, 77.79457061952607, [8.01887844565247, 7.2808848927199685, 5.436784923718756, 5.446244580507605, 5.560990381560999, 5.148487947109512, 5.453853699062606, 4.9404920474756695, 5.70665215292022, 5.3336048983729825, 5.097294947107928, 2.981400587872377]]","[0.0043161198331371185, 37.698417786682725, 0.4864383304498944, 73.3211467748484, 0.12713077198436445, 0.013648342508843801, 91.46760467700051, [8.720333039594028, 6.469221973044476, 5.866544741385803, 5.446244580507605, 5.956381363422562, 5.252678001921053, 5.967506469059566, 4.9404920474756695, 5.605005365624874, 5.572594383324236, 5.5338295736810466, 3.070936974253814]]","[0.0043161198331371185, 39.33402999354782, 0.2959008965697265, 80.64366568699072, 0.11264384640748291, 0.013648342508843801, 85.64429382269816, [8.01887844565247, 6.712501748956169, 6.570326467234237, 5.748985187085194, 6.000275462749882, 5.1942475715168595, 6.027262103998796, 4.834387558366291, 5.964192836847607, 4.99166757712264, 5.658008426883176, 3.2679649466910226]]","[0.00031518699134864, 0.00032907929883668166, 0.0003361075775215677, 0.0003392852655246472, 0.0003406473506226199]",0.0003320612967708
logcosh_loss,32,500,70,1,2,0.5,"[0.0036257521196126482, 39.81484744013692, 0.38201776388069686, 22.650602607378385, 0.08342246981362776, 0.016163722265662053, 34.24408450045683, [8.324901092061651, 3.947760427449191, 4.527921940534262, 4.018977077938287, 4.042844774839498, 3.759872428028797, 4.0867857351163375, 4.138142584169684, 3.992607107940012, 2.8814952282473882, 4.10408197732935, 3.3586932307334947]]","[0.0036257521196126482, 40.10692881245202, 0.7784861826210118, 50.13559148100391, 0.08383946226289819, 0.016595195012076028, 29.52841915987728, [8.429029165791526, 3.9527848398475434, 4.217927984914968, 3.5762176119307107, 3.938128306818067, 3.854530487726234, 4.011200269148514, 3.978178457493488, 4.277148827581223, 3.24593261541997, 4.092562225870327, 3.656853657116112]]","[0.0036257521196126482, 41.51674826472969, 0.33323000820022, 33.182607744459375, 0.08383946226289819, 0.016163722265662053, 38.452185036781046, [7.108313203302651, 5.014995962132333, 4.827415431013139, 4.506339839523365, 4.69167824989692, 4.70394412620731, 4.7331055688768435, 3.7877908771594924, 4.643275469613865, 4.139676386635235, 4.681182051902318, 2.294261588933399]]","[0.0036257521196126482, 41.421146876034655, 0.38201776388069686, 27.40374656196977, 0.08626823943856529, 0.016559061386123983, 29.488651876817855, [9.547568027269685, 4.532060109564005, 4.492993186391426, 3.574805894154326, 3.985859779624075, 3.7244388944588573, 4.25876394245946, 3.6874901705207925, 4.165142954946556, 4.226597224721446, 4.1484516397179165, 3.561676982397818]]","[0.0036257521196126482, 39.81484744013692, 0.19239123186458185, 58.65104868868504, 0.08383946226289819, 0.016163722265662053, 32.297794032277764, [6.812581074858042, 4.161423841411615, 4.310870097462082, 3.606295331477252, 3.8644473124955936, 3.9282537380803637, 4.1763536466777476, 4.234899298570457, 4.285616118751056, 3.1965146581670694, 4.17444843652275, 2.7948495537524387]]","[0.00032024639427849787, 0.0003275399462007555, 0.0003374763751605681, 0.0003386443814564812, 0.00033889946210352383]",0.0003325613118399
logcosh_loss,32,500,70,1,2,0.5,"[0.003509202592731547, 46.9304204809729, 0.6384962431354964, 30.070725539635898, 0.1177271332262334, 0.017306663486939357, 52.27903078520064, [8.75252675024397, 4.94737886630309, 5.161275382223374, 4.594929829339869, 4.848111559214036, 4.202515079925997, 4.700863133068293, 4.233171821026581, 4.820474114023772, 4.356216618628053, 4.3605907532574335, 3.8269739187125054]]","[0.003509202592731547, 48.87072431397664, 0.3299999212549157, 60.701321330486316, 0.1177271332262334, 0.017306663486939357, 54.4969185160375, [7.9360515286266216, 5.7816162800241315, 5.390958361713545, 4.955482679105389, 5.102650260765365, 4.379997180636206, 4.781078707914888, 4.490575292374076, 4.732399325474211, 3.6599082468943447, 4.599260030126537, 4.17386732281235]]","[0.003509202592731547, 47.13148717189408, 0.5, 29.32255896315151, 0.12790682422286193, 0.017306663486939357, 54.49552919395416, [7.024408302091826, 4.924012588679591, 5.140679610750963, 4.246884622163991, 4.62799253675707, 4.361611351573227, 4.8830029871267415, 3.5737572928926644, 4.70261339071717, 3.548571825367223, 4.202324046242037, 3.3264748603017993]]","[0.003509202592731547, 48.66608557421695, 0.6574521032129146, 43.446848651872855, 0.08933538328162724, 0.017306663486939357, 36.68058453795901, [7.463657333915343, 4.619314636463909, 5.357458179560836, 4.567605350660501, 4.772683951677724, 4.719092917556747, 4.917970573709692, 4.34013593694964, 4.820474114023772, 4.5612476164577975, 4.824715093154008, 3.333977904568369]]","[0.003509202592731547, 47.68836046628224, 0.5793058143261498, 30.070725539635898, 0.08933538328162724, 0.017306663486939357, 36.65559401803857, [8.69490394025044, 6.057288746830665, 5.356246953482422, 4.302845010371601, 4.848111559214036, 4.337850259699669, 4.700863133068293, 4.233171821026581, 4.820474114023772, 4.356216618628053, 4.518279587737727, 2.726850865426573]]","[0.00031876630481345356, 0.0003292168379880165, 0.0003343313855659995, 0.0003394152487232128, 0.0003457131842178677]",0.0003334885922617
logcosh_loss,32,500,70,1,2,0.5,"[0.005901591207997776, 20.980399695433658, 0.3806743580500169, 61.93500587995789, 0.23445725294857617, 0.017451594312577152, 96.47271660906826, [5.324465693617589, 3.140739627218365, 3.9340220319427908, 4.003820194312197, 5.1700117735175946, 5.132741877017129, 6.289546182531885, 5.916163344839051, 6.954385210230588, 6.488916618466063, 7.518751847244086, 4.930337543750377]]","[0.005901591207997776, 21.240273959776022, 0.4633426666566228, 61.0116310577262, 0.23445725294857617, 0.017451594312577152, 96.08501488708431, [5.571355317919217, 3.274984844099212, 4.064533430561739, 4.547047261528311, 5.243156651678708, 5.915961825945825, 6.4183836363969915, 6.295201795052857, 7.335780677085408, 6.935320976383885, 7.836859610907587, 5.589047418800236]]","[0.005901591207997776, 20.980399695433658, 0.4633426666566228, 60.46653367896316, 0.23445725294857617, 0.017451594312577152, 96.40624942905995, [5.769930453103384, 2.8220074320535598, 3.901400225486115, 4.56839348949215, 5.243156651678708, 4.559718175162522, 6.289546182531885, 5.94244629534385, 7.252036238905741, 6.657686389712818, 8.513195976672456, 5.268760772740343]]","[0.005901591207997776, 22.617342548086082, 0.07843107690459089, 61.58611925973663, 0.22738505302420298, 0.01681459605033859, 93.87745078578081, [6.2137474634020915, 3.254749150887192, 4.064533430561739, 4.56839348949215, 5.085966784213922, 5.7789140758780935, 6.099669602045206, 5.825311148745947, 6.802692128386256, 6.164468664991016, 7.698718145034203, 5.450435752274544]]","[0.005901591207997776, 20.59813816208849, 0.6959404944553875, 61.93500587995789, 0.23445725294857617, 0.017451594312577152, 96.40624942905995, [6.021454674080635, 2.7571022556208735, 4.0178725586692465, 4.112832621730211, 5.1700117735175946, 5.685640600601298, 6.375280825953267, 5.988107386081075, 6.943890736605409, 6.488916618466063, 8.353548711306683, 6.447751384951864]]","[0.00032499726488968966, 0.0003326608431229512, 0.0003358633793511928, 0.00033716184245125865, 0.0003377058951730871]",0.0003336778449976
