CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,70,1,2,0.5,"[0.004191804534049021, 32.48911179192071, 0.6165296072416765, 31.35193108062391, 0.05821016455657432, 0.011947816878587154, 34.20238087267211, [5.716414100523401, 5.251378403183964, 4.657035815831254, 4.274963458103775, 4.693761716238047, 3.983643617441189, 4.794624108052219, 4.642880438821956, 4.5514149633256205, 3.394961900605415, 4.798447275236397, 3.6871742719195804]]","[0.004191804534049021, 33.90236751586006, 0.4841215800169533, 66.31095906378259, 0.05446725283890951, 0.011947816878587154, 29.044323595644144, [5.523947810748504, 4.893241272469619, 4.823889716430492, 4.306653965413888, 4.775569454476785, 4.774258477290791, 4.702318489446598, 4.82015409774462, 4.960141801331214, 4.720135533055406, 4.468080567702339, 3.976144351135718]]","[0.004191257965255725, 34.92203230581143, 0.8171858741824131, 28.9531518815593, 0.05821016455657432, 0.011947816878587154, 29.906837239202716, [5.162097933305375, 5.010210279640126, 4.710250311299568, 4.015068187672232, 4.785555146126779, 4.510211031198661, 4.7815923746239095, 3.782413629437598, 4.685120939265543, 2.922471686887026, 4.567177238793896, 2.386591101835465]]","[0.004191804534049021, 32.1122228211197, 0.6962335098053931, 24.90238922958418, 0.055930868274421286, 0.011863742873283189, 32.98106300631947, [4.5699411452606284, 4.5179422470497315, 4.725971115021347, 4.773861536747526, 4.693761716238047, 4.994807591117609, 4.738760884033692, 3.62725641970916, 4.3655997504316355, 4.249286050077956, 4.473741665187178, 1.5711925747923297]]","[0.004191804534049021, 34.96100990883662, 0.3540214817105627, 27.306929288901056, 0.05403333886092255, 0.012864215319899517, 23.67486296032156, [5.64697551213032, 5.206089210651716, 4.873687073776089, 4.98590537663049, 4.942330812085874, 5.0353779341487375, 4.66187572703565, 3.6660214107682814, 4.987424684594086, 4.4231311447012125, 4.510714750539722, 3.6974755272295337]]","[0.0002956388866649505, 0.0003070716619870012, 0.0003079628540346991, 0.00030839822162849836, 0.00031024948270460124]",0.0003058642214039
logcosh_loss,32,500,70,1,2,0.5,"[0.004489604860713873, 34.900503014558645, 0.598852197843222, 83.64572651281084, 0.08727925333078862, 0.014929862874087946, 51.58548041590031, [7.375310317790285, 5.445952174830952, 5.298854863068515, 4.776437036943285, 5.439883903204162, 4.916395185950766, 5.808558644718955, 5.433650099962996, 5.645932204777741, 5.914584157144039, 5.537566446595963, 5.171808551108988]]","[0.004489604860713873, 35.44911772787515, 0.6256582750550705, 85.35839537252127, 0.09037787679007772, 0.014929862874087946, 54.34129429637347, [8.730732397484065, 5.395294233242258, 5.702416231375411, 4.678670409895219, 5.4116903124310385, 4.935885830942302, 5.594732695689421, 5.602301721806355, 6.119164785166259, 4.074046106750425, 5.715765392173493, 3.3683445104050773]]","[0.004489604860713873, 35.858312321529574, 0.46326683436552185, 80.47421570730485, 0.0903592245562495, 0.014929862874087946, 54.67611432427227, [7.054647910596902, 4.78852377396686, 5.666171883339197, 4.963414493821263, 5.591928460602472, 5.411295393645605, 5.890673019102144, 4.970002755027764, 6.0161358957487305, 6.111759571356439, 6.229997252414334, 5.950562767556441]]","[0.004489604860713873, 34.1380167393788, 0.5663359089529997, 77.64064533135215, 0.0903592245562495, 0.014929862874087946, 54.79042861312034, [6.469422709983891, 5.38308930107086, 5.4459891957081386, 5.168167073876694, 5.297873955781915, 5.706515804446649, 5.792179131574754, 4.895092115896811, 5.641755003014069, 4.907662763629386, 5.433684593474157, 4.858845630414467]]","[0.004668468735345647, 33.89745501971713, 0.7506417704399139, 78.72009251435804, 0.0903592245562495, 0.014929862874087946, 57.334786130405845, [8.19300976620056, 5.38308930107086, 5.773787825168953, 4.951454796942424, 5.674126731783387, 5.868216054440502, 6.135470252801746, 5.357547287228871, 6.142730299370072, 5.800698462217875, 6.103953710099084, 5.851871827467571]]","[0.0003072575707008002, 0.0003091181985972265, 0.00031705829437328595, 0.0003233122569449171, 0.00032712385693955075]",0.0003167740355111
logcosh_loss,32,500,70,1,2,0.5,"[0.0035418715699948033, 42.80185802044125, 0.2317185514815189, 92.25170063184177, 0.04149339903958779, 0.012489545113091536, 5.53985118859505, [7.50420201710379, 5.409755475646856, 5.239268743985053, 4.4772176164283115, 4.634708103887085, 4.522465576902425, 4.435481624885811, 3.988740209604104, 4.09475772858766, 2.9363890799750725, 3.8590920708115046, 3.5196015783168297]]","[0.0035418715699948033, 45.11604242411796, 0.28255298201264845, 82.37620055555334, 0.04149339903958779, 0.0130496881028596, 0.5, [8.30113435434034, 6.836941191585695, 5.2646259267351905, 4.700067029776945, 4.8541121005924515, 4.568028286617704, 4.387888204449162, 4.535982325717884, 4.275639674967086, 3.623254353489697, 3.9424672616876384, 3.4709211484904263]]","[0.003572182097745215, 44.579051218400515, 0.589293392509808, 78.19605552377783, 0.0440161549784589, 0.0144979810618979, 3.659015170378111, [9.366254108231134, 6.196008898212895, 4.98550744815624, 5.372180124313533, 4.774443373239347, 4.685777404326216, 4.688049137529678, 4.3461352953911945, 4.554311310279268, 3.6054810085738835, 4.400562138338428, 3.259771673941726]]","[0.0035418715699948033, 41.9304326312232, 0.6264810932485749, 86.16134135990437, 0.042104365551770315, 0.012489545113091536, 5.137220915418735, [7.4649006162383404, 6.625524147678135, 5.034279038154442, 4.409556017077918, 4.634708103887085, 4.398688859046872, 4.438254949131879, 3.988740209604104, 4.361256472285488, 4.36371421115096, 3.8590920708115046, 1.9770076121345268]]","[0.0035418715699948033, 42.699188246769744, 0.5880124139632452, 85.73833516027, 0.04149339903958779, 0.012670785398338375, 4.207751662478952, [8.130010814211387, 5.665912637818736, 5.515644329979327, 4.57379214935448, 4.718995057003261, 4.615491584381628, 4.369692689650979, 3.4767141686051737, 3.9577267855551344, 4.394304760189624, 4.272564764199637, 2.6411683230878342]]","[0.00030470131221809236, 0.00031530819557376306, 0.0003259540863725169, 0.00032751706104472666, 0.0003292927902688424]",0.0003205546890955
logcosh_loss,32,500,70,1,2,0.5,"[0.003981177603666433, 41.92404574739722, 0.22591781271632763, 88.53737114685924, 0.06663125379249414, 0.013307757950735246, 38.41842359564775, [9.09319511645027, 6.130284200332445, 5.765462255917078, 5.838355900068824, 5.140097259290788, 4.188770866884167, 5.141282085833066, 4.533270853646194, 5.2848648604548645, 4.048866178657968, 4.919557472196663, 4.16838775059821]]","[0.0038162018050796136, 45.076445896177326, 0.7262619438329208, 94.92962870053498, 0.07207008188678057, 0.016040834093013195, 27.732707002038065, [8.218686388661855, 5.4791036952583685, 5.563279461328497, 4.721111151374905, 5.047608248330165, 4.251619826077846, 4.9100200882096, 4.481133966889842, 5.09442877913158, 3.922482880137495, 4.812534455362983, 4.205115354394518]]","[0.0038162018050796136, 42.14164327770436, 0.7876798852801683, 74.9512420331214, 0.07207008188678057, 0.016040834093013195, 32.46603179517603, [8.616031390522165, 5.493053959499949, 5.179984399692243, 4.938660695970622, 5.047608248330165, 4.731736968782211, 5.314641982411005, 4.077724227915862, 5.0131886164523305, 4.919501455581073, 5.135796249298985, 4.001769868566711]]","[0.0038162018050796136, 42.55684063597255, 0.3218574807559521, 83.86297675396929, 0.06882418914614469, 0.015289350699032402, 30.00695363833801, [8.830505118211386, 4.897016841203907, 5.482968715253273, 4.729764050060279, 4.999074133199652, 4.727957045769925, 4.684696088567663, 4.747931029559844, 4.818391559257507, 4.637619552018025, 4.728667979958633, 4.6577368281398375]]","[0.0038162018050796136, 43.447738261212564, 0.3548809707343258, 92.36778465809785, 0.07207008188678057, 0.016040834093013195, 28.33980423597297, [7.574875463626529, 6.130284200332445, 5.120707146920623, 4.708885459269508, 4.929313530872645, 4.731736968782211, 4.9637827692936645, 5.323504186615375, 5.017235406928196, 4.048866178657968, 5.225944769028546, 3.401649474529524]]","[0.0003169723295692926, 0.0003211462273537081, 0.0003217228902906459, 0.0003232723190395651, 0.0003267764080627392]",0.0003219780348631
logcosh_loss,32,500,70,1,2,0.5,"[0.004928611284479231, 34.64578549067005, 0.3506571295730242, 56.246784605981915, 0.04933517135655731, 0.015848304973380956, 11.066373767098675, [6.78943397176649, 5.217506936082922, 5.982731186442802, 5.114737352889874, 5.934408348076083, 5.339427997509146, 6.625048959755516, 6.046555860364458, 6.865297285580941, 5.599644316534127, 6.572749615807072, 5.238164959145878]]","[0.004928611284479231, 32.62537451477257, 0.5640305089428882, 63.70557136901055, 0.05069528177535132, 0.015848304973380956, 14.495992564811436, [5.221390178341518, 5.51954139612072, 5.294266268438237, 5.358895751520592, 5.9109482430374465, 5.072467787923335, 6.500530526236807, 4.9232429087431315, 6.5046176669099784, 6.416425138867944, 7.137532118784324, 3.728349966618794]]","[0.004928611284479231, 32.79457201655635, 0.23849202168970712, 63.13838523685891, 0.05050510876841488, 0.016146057439855407, 9.937309455587393, [5.291124101428298, 5.013658091387404, 5.372148456353931, 4.191925512688423, 5.6019780557938725, 5.432678604114802, 6.389095985886251, 5.762597232605305, 6.4383774782633285, 6.460704032761049, 6.661578244787791, 4.087653752288317]]","[0.004928611284479231, 31.93536754637237, 0.23849202168970712, 55.64881003527952, 0.04933723754636522, 0.016146057439855407, 9.645459024831087, [6.1200933241228785, 5.013658091387404, 5.152868660656089, 5.211622912848953, 5.716072352595494, 5.954369791438347, 6.284479912274951, 5.074235569958516, 6.489535498174661, 4.98909279417288, 7.137770071491293, 4.758957965602919]]","[0.004928611284479231, 31.767040154844366, 0.8105061954996127, 63.93303033040785, 0.04933723754636522, 0.015848304973380956, 12.586185473469087, [5.360509290873447, 5.106829011963769, 5.277960352478124, 5.010519063117699, 5.852341823769826, 5.997273580506135, 6.136081990272136, 5.960387556881681, 6.966526201588421, 5.6711267707076445, 6.184562266586065, 4.91268764181839]]","[0.00031529474377410836, 0.0003169546995595791, 0.00032193281968305535, 0.0003270748969164067, 0.00032975587403098625]",0.0003222026067928
logcosh_loss,32,500,70,1,2,0.5,"[0.004862096090780421, 29.05820420878565, 0.3810599978297336, 83.96679056822298, 0.13146814147451186, 0.014822927693058447, 81.53770301995365, [6.18451510683677, 4.620896819239892, 4.940416663336408, 4.854661147287185, 5.274957612125248, 5.734313494620992, 5.766084239549984, 6.355026877901296, 6.250620132016433, 6.9811693193858915, 6.304920639809145, 5.7493670507003225]]","[0.004862096090780421, 28.9195538987113, 0.30873396019552773, 68.3674515849556, 0.13489322895381198, 0.014822927693058447, 87.48374137835292, [4.535647292502359, 4.4694814769748445, 5.069911246285314, 5.180018128217533, 5.451793621970686, 5.434323305871166, 6.088788652710839, 5.591435381103679, 6.016130707468614, 5.096271339711889, 6.684123105948441, 6.44346718834129]]","[0.004862096090780421, 31.17411167345256, 0.3810599978297336, 93.94447903217844, 0.13146814147451186, 0.014822927693058447, 81.24330029860944, [6.18451510683677, 5.08196361185874, 4.940416663336408, 4.699990616978937, 5.509932727253128, 5.316940579675694, 5.766084239549984, 6.266395447411806, 6.250620132016433, 5.286914347781624, 6.304920639809145, 5.871947773292318]]","[0.004862096090780421, 30.441889399011803, 0.5359794492503301, 78.7134569273498, 0.13816094195842668, 0.014922276984668772, 84.18977860656942, [8.900138903895572, 5.105293324923646, 4.940416663336408, 4.699990616978937, 5.439555848023152, 4.935998334370803, 6.063133158272681, 5.744234323706052, 6.077503123638636, 5.423610631556266, 6.564693711591569, 4.883540634504008]]","[0.004862096090780421, 33.55339711223908, 0.09779144388782318, 72.26958027138521, 0.1264337720068784, 0.014822927693058447, 79.69626911116731, [5.148419164897822, 5.14605614847811, 5.617470641472222, 5.653196858140777, 6.068154106298799, 6.060558925080439, 5.982681197197238, 5.090332549914601, 6.302274031677009, 5.903925397049882, 6.786496327042605, 4.752833395436271]]","[0.0003176743565577348, 0.00031863358144943506, 0.00032401470381041735, 0.0003287011384990933, 0.00033133389179635666]",0.0003240715344226
logcosh_loss,32,500,70,1,2,0.5,"[0.005245300267788945, 28.31526081336922, 0.3285779465548485, 47.26481690769178, 0.04394209766947376, 0.015430225980658113, 0.5, [3.5476781549808116, 4.7915812947340255, 4.8410322243329516, 4.619623445963565, 5.32510823136362, 5.223812111906816, 6.036374642553212, 6.418447326093084, 6.551294405752733, 6.527916001737059, 6.95262229577251, 6.512512783375572]]","[0.005245300267788945, 27.997635460413367, 0.6034400332310812, 45.76802800450895, 0.04394209766947376, 0.016892951539146224, 2.211325057993503, [4.558346516974353, 4.148525708726643, 4.585920083548858, 4.956873053643173, 5.526840951695533, 6.044159189062934, 6.45220521694519, 5.053365686462108, 6.6062729022059274, 5.865468167249852, 7.373620919937274, 6.700665728771995]]","[0.005245300267788945, 28.088128413188883, 0.14689224742382645, 51.37440424274953, 0.04394209766947376, 0.016892951539146224, 2.211325057993503, [3.695503473124483, 5.054929696773246, 4.819079871578759, 4.307318332262417, 5.526840951695533, 5.324741673411796, 6.45220521694519, 5.988408632105243, 6.850770823845874, 5.785437508364741, 7.328216994680446, 5.940106091256988]]","[0.005245300267788945, 26.66347260228013, 0.5, 47.16819199847247, 0.04329231230887615, 0.016892951539146224, 3.292023085601833, [3.7375375337618695, 3.8280698846690218, 4.572523159739613, 4.634634123577613, 5.510641051408774, 5.838156324680925, 6.541498631938809, 6.662368179317968, 6.850770823845874, 4.635134897183117, 7.414147632003757, 5.182930877013567]]","[0.005245300267788945, 28.574369766148163, 0.2803968617776068, 45.47742430775487, 0.04361004830555723, 0.016892951539146224, 2.0109237363229555, [6.635459567700413, 4.22304083502868, 4.880826580561836, 4.947095333093637, 5.325755247228342, 5.911938095705137, 6.157997349742572, 5.963967529516878, 6.998330864588008, 5.627224961361854, 7.1690300501394235, 6.522784282904539]]","[0.00031485177064361977, 0.0003210564272225956, 0.00032512185136681303, 0.00032944983582591943, 0.00032988081366827534]",0.0003240721397454
logcosh_loss,32,500,70,1,2,0.5,"[0.004861667852740939, 28.86448500266643, 0.11223055085396724, 39.29520536602481, 0.16233087227271256, 0.016702188928880212, 76.98931088859179, [4.005296879329106, 4.221991304936643, 4.497840751529107, 3.9747102000219496, 4.7910101974517465, 5.011390415022718, 5.380686809513763, 5.2100033316370045, 5.680232001651055, 5.757875705499637, 6.169640140743088, 5.51108166287167]]","[0.004861667852740939, 27.35293295969374, 0.3585060546112395, 43.67533697363031, 0.1661926922707119, 0.016702188928880212, 79.59750423529012, [3.8658294536863993, 3.9740390744710554, 4.236883267469211, 4.579054531328392, 4.697202043585173, 4.545684415731962, 5.312976496576951, 4.840287279080043, 6.0842950148739074, 4.871418477352322, 6.07613619524646, 6.2299075809621645]]","[0.004861667852740939, 27.164329871325275, 0.4807932574388676, 45.78384210881846, 0.16741431383088973, 0.016702188928880212, 79.94955419126825, [4.574268356132719, 3.554537401549009, 4.180945306670632, 3.97510423832824, 4.73986016786881, 5.0766005294281245, 5.312976496576951, 5.374204937433853, 5.369193960386519, 6.050584505308945, 6.371197463285371, 5.313496807494942]]","[0.004861667852740939, 25.470945174994775, 0.5520984620587996, 46.665021889482354, 0.1661926922707119, 0.016702188928880212, 82.49313216868715, [2.9501957871541924, 3.2362442765626684, 4.339085306007848, 4.080421406431286, 4.583889299581928, 4.545684415731962, 5.380010610490188, 4.678150055040967, 5.942165192846245, 5.5597235586499085, 5.689816113229132, 4.782208644621486]]","[0.004861667852740939, 28.479916004368008, 0.09152232869268956, 46.20409387952568, 0.16233087227271256, 0.016702188928880212, 75.64009193308534, [5.532254129412818, 4.092227282813307, 4.556283196856795, 4.393420256926191, 4.745730941864092, 4.672860680696082, 5.371232970536484, 5.618423963421749, 5.6131408603875155, 6.171315742670903, 6.307975369782993, 4.4286517462784]]","[0.0003084978166434787, 0.00032809148313256756, 0.00032872764531008885, 0.00033056328159246975, 0.00033130462800132]",0.0003254369709359
logcosh_loss,32,500,70,1,2,0.5,"[0.0041451553964672785, 43.61860820038996, 0.6375768523844864, 58.789165172094975, 0.2188565151112556, 0.01682593643419588, 95.34929694928272, [8.177960093009665, 7.357131120612598, 5.780155468678796, 5.197507185202109, 5.754721261684643, 5.244740354159417, 5.996820150440452, 5.4574203736106455, 5.892919155267168, 5.5730679800948515, 5.850196129153803, 3.75411814365252]]","[0.0041451553964672785, 43.17779368014729, 0.9422958192544743, 73.1104528207869, 0.2188565151112556, 0.01682593643419588, 94.32406120179586, [9.580085139931096, 5.688074773372689, 6.258135324189307, 5.454752539890636, 5.581336699745935, 5.41916759763521, 5.964761190324492, 5.233237740098484, 5.706983764944793, 5.0861323303584625, 5.450970623924231, 2.563325533877739]]","[0.0041451553964672785, 44.957778130650325, 0.6261030711827257, 58.789165172094975, 0.2188565151112556, 0.01682593643419588, 94.93027614963992, [9.508406242160866, 5.545302780378591, 6.476402395153773, 5.197507185202109, 5.632428977238598, 5.303423409275512, 5.964757162354084, 5.422010910417778, 5.892919155267168, 4.709112547572782, 5.981049288235375, 3.0558877646916582]]","[0.0041451553964672785, 43.17779368014729, 0.8542543869745357, 73.1104528207869, 0.20519494329213578, 0.016513486886418884, 94.32406120179586, [7.895731439366933, 6.160752665118769, 6.253392323602362, 4.908947027444293, 5.857528685638343, 5.289293566799388, 5.922653970144829, 4.450824010762245, 5.599757628050843, 5.424654618748873, 6.0428230462917405, 5.051423776264627]]","[0.0041451553964672785, 44.957778130650325, 0.19182813973105797, 59.180968205464, 0.1938492272093713, 0.016513486886418884, 91.3979175926146, [9.508406242160866, 5.918069917518929, 6.476402395153773, 6.314362616710031, 5.632428977238598, 5.303423409275512, 5.983842992628067, 5.422010910417778, 5.8502209008810455, 4.709112547572782, 5.981049288235375, 5.757126972271945]]","[0.0003073855792142914, 0.0003270171652704537, 0.00032717416043512087, 0.00033284359350408636, 0.0003362812882852823]",0.0003261403573418
logcosh_loss,32,500,70,1,2,0.5,"[0.0050908707453447555, 33.614146560158076, 0.8644564851439382, 70.73928109233043, 0.1008212808104548, 0.015079677414419367, 64.58054702774335, [8.399204331123304, 5.996816001476644, 6.101790590418089, 5.535672702602006, 6.643269694163752, 6.376790417692389, 6.999959091930299, 6.614745726357352, 7.01373476445906, 5.363032651917731, 7.285158455006314, 6.901213003763738]]","[0.0050908707453447555, 32.762309250885295, 0.1671647200947815, 83.96925354760462, 0.11881645621640265, 0.015422904017037466, 78.00167624598123, [8.78846067525235, 5.7323114832210535, 6.0705595869587325, 5.671344097274709, 6.518263412887171, 6.416488292541753, 6.870770181284339, 6.7765153858971505, 7.428054567723798, 5.239919008194896, 7.3797048667327, 5.11005339003647]]","[0.0050908707453447555, 32.899135083497065, 0.7051829282550036, 78.57146594564361, 0.1008212808104548, 0.015079677414419367, 64.58054702774335, [7.808167769077277, 5.382479258859425, 5.986958794259965, 6.070003379843117, 6.410303644298866, 6.3694877033491695, 6.882323235004362, 6.522044173757127, 7.354705840832871, 6.254007489282939, 7.62190579565136, 6.0021162818391]]","[0.0050908707453447555, 32.762309250885295, 0.1671647200947815, 76.62332937231952, 0.11881645621640265, 0.015074232271233522, 78.00167624598123, [5.399409017917769, 5.702682400511506, 6.0705595869587325, 5.671344097274709, 6.52780136247073, 6.416488292541753, 7.038075677776125, 7.381753366281176, 7.239837908376764, 6.111846752545889, 7.49273460624703, 7.683755802094343]]","[0.0050908707453447555, 33.614146560158076, 0.8644564851439382, 70.73928109233043, 0.11709552494442724, 0.015079677414419367, 76.74075080914895, [8.399204331123304, 5.656669502309954, 6.060023539720219, 5.345276021027027, 6.643269694163752, 6.376790417692389, 7.072862086281209, 6.568035977229511, 7.01373476445906, 5.363032651917731, 7.285158455006314, 6.901213003763738]]","[0.0003168588418720306, 0.0003221150260589217, 0.0003277326144128563, 0.0003302950300848673, 0.0003361409989857238]",0.0003266285022828
