CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,70,1,2,0.5,"[0.004928611284479231, 34.64578549067005, 0.3506571295730242, 56.246784605981915, 0.04933517135655731, 0.015848304973380956, 11.066373767098675, [6.78943397176649, 5.217506936082922, 5.982731186442802, 5.114737352889874, 5.934408348076083, 5.339427997509146, 6.625048959755516, 6.046555860364458, 6.865297285580941, 5.599644316534127, 6.572749615807072, 5.238164959145878]]","[0.004928611284479231, 32.62537451477257, 0.5640305089428882, 63.70557136901055, 0.05069528177535132, 0.015848304973380956, 14.495992564811436, [5.221390178341518, 5.51954139612072, 5.294266268438237, 5.358895751520592, 5.9109482430374465, 5.072467787923335, 6.500530526236807, 4.9232429087431315, 6.5046176669099784, 6.416425138867944, 7.137532118784324, 3.728349966618794]]","[0.004928611284479231, 32.79457201655635, 0.23849202168970712, 63.13838523685891, 0.05050510876841488, 0.016146057439855407, 9.937309455587393, [5.291124101428298, 5.013658091387404, 5.372148456353931, 4.191925512688423, 5.6019780557938725, 5.432678604114802, 6.389095985886251, 5.762597232605305, 6.4383774782633285, 6.460704032761049, 6.661578244787791, 4.087653752288317]]","[0.004928611284479231, 31.93536754637237, 0.23849202168970712, 55.64881003527952, 0.04933723754636522, 0.016146057439855407, 9.645459024831087, [6.1200933241228785, 5.013658091387404, 5.152868660656089, 5.211622912848953, 5.716072352595494, 5.954369791438347, 6.284479912274951, 5.074235569958516, 6.489535498174661, 4.98909279417288, 7.137770071491293, 4.758957965602919]]","[0.004928611284479231, 31.767040154844366, 0.8105061954996127, 63.93303033040785, 0.04933723754636522, 0.015848304973380956, 12.586185473469087, [5.360509290873447, 5.106829011963769, 5.277960352478124, 5.010519063117699, 5.852341823769826, 5.997273580506135, 6.136081990272136, 5.960387556881681, 6.966526201588421, 5.6711267707076445, 6.184562266586065, 4.91268764181839]]","[0.00031529474377410836, 0.0003169546995595791, 0.00032193281968305535, 0.0003270748969164067, 0.00032975587403098625]",0.0003222026067928
logcosh_loss,32,500,70,1,2,0.5,"[0.0043161198331371185, 38.878990420938074, 0.4864383304498944, 79.35900197845864, 0.11437785866454993, 0.013634928413441582, 87.77713238754623, [6.95513681618255, 7.287810872694433, 6.272981001244056, 5.748985187085194, 5.934531562604436, 5.43734108264193, 5.942533735771729, 4.881834069828199, 6.018118808696402, 5.186494477431536, 5.93189368023408, 4.43897410601803]]","[0.0043161198331371185, 38.072758342044935, 0.49812009395846224, 78.49657294136158, 0.11477217967753672, 0.013434365098146862, 84.8747945437927, [6.085752815540041, 6.514330036239187, 5.9945217677389, 5.660008423866729, 5.775315957660275, 5.402413211943187, 5.649791598323595, 5.869800570571371, 5.65327142702491, 4.883696596062939, 5.87855234978833, 5.7373928023906355]]","[0.0043161198331371185, 35.51824999337741, 0.0896724821245718, 73.56517469869343, 0.10801764284382115, 0.013648342508843801, 77.79457061952607, [8.01887844565247, 7.2808848927199685, 5.436784923718756, 5.446244580507605, 5.560990381560999, 5.148487947109512, 5.453853699062606, 4.9404920474756695, 5.70665215292022, 5.3336048983729825, 5.097294947107928, 2.981400587872377]]","[0.0043161198331371185, 37.698417786682725, 0.4864383304498944, 73.3211467748484, 0.12713077198436445, 0.013648342508843801, 91.46760467700051, [8.720333039594028, 6.469221973044476, 5.866544741385803, 5.446244580507605, 5.956381363422562, 5.252678001921053, 5.967506469059566, 4.9404920474756695, 5.605005365624874, 5.572594383324236, 5.5338295736810466, 3.070936974253814]]","[0.0043161198331371185, 39.33402999354782, 0.2959008965697265, 80.64366568699072, 0.11264384640748291, 0.013648342508843801, 85.64429382269816, [8.01887844565247, 6.712501748956169, 6.570326467234237, 5.748985187085194, 6.000275462749882, 5.1942475715168595, 6.027262103998796, 4.834387558366291, 5.964192836847607, 4.99166757712264, 5.658008426883176, 3.2679649466910226]]","[0.00031518699134864, 0.00032907929883668166, 0.0003361075775215677, 0.0003392852655246472, 0.0003406473506226199]",0.0003320612967708
logcosh_loss,32,500,70,1,2,0.5,"[0.0037767996008289343, 35.021084619841076, 0.30412421317464156, 33.062615433737335, 0.1986936136206508, 0.015654369071671673, 89.42776810648748, [5.5247307233397525, 3.3443559406131795, 4.0049912959385825, 3.6954152683107426, 3.714851192808152, 3.788297652034606, 3.97204330569636, 3.7571446501737844, 4.163077395354713, 3.1790470594530214, 4.4079641245742165, 2.5825504861128628]]","[0.0037767996008289343, 37.0112803994451, 0.9357546693010498, 34.93771566108013, 0.312841027030479, 0.020469225258034757, 86.16792424125526, [4.678193650716447, 4.268022898312334, 4.085633767188928, 3.33470282091571, 4.0560041556617685, 3.846489369409842, 4.403795833365666, 4.262669432242567, 4.434314349840636, 4.907067238315504, 4.55832765787574, 3.807097541006115]]","[0.0037767996008289343, 36.822931197059006, 0.24068987455364543, 44.356456388338565, 0.3261408851084511, 0.01886653840494127, 92.29382817400737, [5.284915701893371, 3.739991751680913, 3.9109252863432213, 3.8734595262231313, 3.8323926743674392, 3.5892556025745908, 4.088248006000562, 3.258283376051631, 4.276515827342694, 2.068289495392614, 4.118819988386351, 3.977656537969127]]","[0.0037767996008289343, 38.43366510613555, 0.31910373084991733, 43.8028244381157, 0.3295740661456537, 0.020469225258034757, 87.1411453160642, [6.056135417851136, 3.2879268604597205, 4.092282935363801, 3.663313675926827, 4.3013258325384305, 3.763237335541054, 4.3025064095712295, 4.115069828588011, 4.434314349840636, 3.7889983918698222, 4.264557599626496, 3.0654262919390276]]","[0.0037767996008289343, 36.84726666285437, 0.24068987455364543, 36.932689401523824, 0.36267041144453016, 0.020469225258034757, 89.90136318086488, [4.508213086143836, 3.754013984591744, 4.1030407348410645, 3.5786914370605327, 4.075033758032948, 3.5220104570967314, 4.3025064095712295, 3.8123355105892864, 4.65284532630536, 3.850506480787464, 4.716513249439369, 3.1903398239223013]]","[0.0003478330213968039, 0.0003564047813486045, 0.00037561682903517325, 0.0003761486327321241, 0.0003839759300573232]",0.000367995838914
logcosh_loss,32,500,70,1,2,0.5,"[0.0038047181773412948, 56.65566899093875, 0.5651809930841414, 54.70625228173549, 0.09293066238133248, 0.018196862306349464, 38.74113442215998, [9.341592877799508, 6.892872000450861, 6.841415832110845, 5.8508449312250566, 6.57574913864663, 5.584760305894514, 6.328835972208466, 5.929681239271056, 6.532307908286525, 5.444518956369339, 6.12983681062656, 6.808954337906993]]","[0.0038047181773412948, 55.60727877660096, 0.5864166806543888, 52.22344177416324, 0.09293066238133248, 0.018196862306349464, 39.747277628849616, [9.003516298999639, 6.717993077989105, 7.100374691717628, 6.6027380604808545, 6.57574913864663, 5.584760305894514, 6.328835972208466, 5.929681239271056, 6.327531616387566, 5.596417172053447, 6.12983681062656, 5.500867889780049]]","[0.0038047181773412948, 52.677434456320505, 0.7158377840310475, 57.81067208528652, 0.09285425338564235, 0.017649298530370713, 44.81253736887127, [9.519796255706213, 6.038771787027264, 6.954124951593951, 5.932252123411925, 6.394421890425515, 5.608186793734715, 6.419181855236784, 6.346083947185939, 6.557092892920294, 4.278608494571731, 5.901283721505809, 4.9862758485237695]]","[0.0038047181773412948, 53.74933129050281, 0.9307428410418418, 69.7684252319123, 0.09285425338564235, 0.017649298530370713, 44.488858157019585, [9.230070320057509, 7.979377793132606, 6.621736228842173, 6.09245522384685, 6.607484587396516, 5.271032490196942, 6.773126057766969, 5.694824643346401, 6.266958308118742, 4.817086528338631, 5.556435582652641, 4.912483013427567]]","[0.0038047181773412948, 58.13304521304115, 0.5613703625634328, 54.70625228173549, 0.09293066238133248, 0.019293253066275964, 34.93183119699241, [9.509037550626552, 7.015349146992782, 6.841415832110845, 5.8522331477162695, 6.394421890425515, 5.692703332000939, 6.428607577688056, 6.320332576409487, 6.532307908286525, 5.827448775415855, 6.299312086488826, 5.734504369999069]]","[0.00035188784509731233, 0.0003653993973300105, 0.00038355412335621146, 0.00038618102576120066, 0.00038818455702492144]",0.0003750413897139
logcosh_loss,32,500,70,1,2,0.5,"[0.003671076655349506, 49.71668486684601, 0.9843269928161235, 98.5387877591127, 0.09649163484625647, 0.019259563809347974, 34.79129207235297, [6.38962618044514, 5.278460765507066, 5.633935410657476, 4.468196256027342, 5.648048021797437, 5.177746719856483, 5.29208939647766, 5.233032319236678, 5.448086836475016, 4.555899024402394, 5.291944968291035, 7.597598436909574]]","[0.003671076655349506, 49.763321040196644, 0.5, 96.94124581100955, 0.09046233245718825, 0.019259563809347974, 30.616607599975744, [6.817638340178816, 5.81247417093, 5.48296626047177, 4.958184166629228, 5.430646066071327, 4.984015651961671, 5.29208939647766, 5.281550366732113, 5.405007657908617, 4.912052361592645, 4.971740947297352, 4.718625552766367]]","[0.003671076655349506, 50.40478934499836, 0.4724767348928636, 43.12894983875793, 0.0822834659052686, 0.020323272173747235, 23.49923896700499, [6.214596139602353, 5.701798892298972, 5.509094006569896, 4.844363171822184, 5.430646066071327, 5.08801923461695, 5.29208939647766, 5.175788704052833, 5.443880079154348, 4.7829371521396356, 5.221183627597092, 3.7492842993252085]]","[0.003671076655349506, 49.763321040196644, 0.7938800378187449, 94.96354711391925, 0.0883126335769712, 0.019259563809347974, 31.825118252340584, [6.920378356174095, 5.9401687243660835, 5.4821347550177535, 5.169841814982889, 5.430646066071327, 4.984015651961671, 5.29208939647766, 5.107039777072799, 5.404399019670047, 6.579022362899147, 5.28545731350983, 4.187632608720281]]","[0.003671076655349506, 51.079153791110876, 0.8142138779617154, 51.574169014370455, 0.0842527871088719, 0.020323272173747235, 22.792494062618186, [6.831346970353886, 5.391286083939269, 5.571038979404289, 4.812613373381163, 5.401235907074879, 5.047537982764922, 5.422027993410095, 5.968328323430195, 5.427817742317567, 4.878796748844062, 5.705759297434683, 4.350676222942493]]","[0.0003655853754451647, 0.00036879391691677126, 0.00037666661907951845, 0.0003795053656224434, 0.0003906659442265878]",0.000376243444258
logcosh_loss,32,500,70,1,2,0.5,"[0.005592998335040903, 26.453423124410868, 0.6429888743084989, 64.52334521540776, 0.1888159482399911, 0.022443775499087156, 57.43578956239648, [5.796391302745612, 3.7899437661909654, 4.5201816925520095, 4.1064562318342155, 5.484464695600666, 5.997786881828846, 6.593070024518231, 6.825325175002185, 8.244301956830348, 7.109620125642682, 8.249852289402915, 9.594205535907301]]","[0.005592998335040903, 26.145309512578685, 0.6732474911190509, 95.34092262190283, 0.1856473962585028, 0.022443775499087156, 58.20628108815693, [6.762344170500209, 3.5683879322871546, 4.3559485611282165, 4.462378459895068, 5.487530663481332, 5.3365216100931265, 6.4359955100083575, 6.821192190200303, 7.804105917881019, 7.3039817684924735, 8.247622691901077, 6.277507584056937]]","[0.005592998335040903, 26.08716440365898, 0.5266746127376686, 84.01316504519927, 0.1972302168017318, 0.022443775499087156, 60.21038566004487, [3.7356239291286535, 3.5139987638491843, 4.294603130247753, 4.695324914858418, 5.437747868012932, 5.319195949903887, 6.685429572582826, 6.512534617257066, 7.631635561846629, 6.129406250321158, 9.862553040477053, 6.238225801839325]]","[0.005592998335040903, 26.49615235900179, 0.5932729772093326, 97.03863443289261, 0.18918376298925266, 0.022443775499087156, 55.32203007617607, [6.417493024350662, 3.4707026488098616, 4.1407659554265805, 4.30751547235107, 5.587702954365384, 5.322306835631294, 6.3701276430499405, 7.697404992541513, 8.205817529668128, 5.473957994878422, 8.308348257514591, 7.301411111742405]]","[0.005592998335040903, 26.852576444296044, 0.7288917233942747, 89.81728420237255, 0.18918376298925266, 0.022443775499087156, 54.60241750742496, [3.751849209895316, 3.5268504558446683, 4.417927348674408, 4.390264031629144, 5.273711981290799, 6.186261322404917, 6.368724921521933, 6.829795596538171, 7.9702580238978005, 6.3856446595185, 8.647795911497493, 5.882871145353069]]","[0.0003814095379921752, 0.0003863827519899545, 0.0003958865680175326, 0.0003961588176415348, 0.0003963930391252663]",0.0003912461429532
logcosh_loss,32,500,70,1,2,0.5,"[0.0044645350026401584, 37.62870640323579, 0.592107748677905, 94.04539531959693, 0.17440260296415933, 0.02047295018859599, 57.13408126561088, [6.629824824468261, 4.626702151232049, 4.691714481732881, 4.812415766849067, 5.327250744872146, 4.890008315434359, 5.666624969070918, 6.600467600576262, 6.4791430477476615, 5.026984821507861, 6.716519549511001, 4.4351431232297065]]","[0.0044645350026401584, 39.11433189044733, 0.10084881042327115, 73.08329711338195, 0.2650758171266856, 0.02047295018859599, 80.72068563919143, [6.945733257765912, 4.285848421016196, 5.663041189142135, 4.69665770688517, 5.327250744872146, 4.943737284036345, 5.889657555033631, 5.733044990207824, 6.4791430477476615, 4.629475126483969, 6.0490342956905625, 5.6402969423955405]]","[0.0044645350026401584, 36.08486157756235, 0.5866915087917302, 85.50198308142565, 0.1683302204190691, 0.02047295018859599, 62.561835101404746, [8.573984753520948, 4.590365660124131, 4.77037283036088, 4.890743032630783, 5.239455750370281, 5.034053589227162, 6.126626569028082, 6.135278323762355, 6.58454183070098, 5.8253525029377515, 6.187424073175678, 4.247421671351478]]","[0.0044645350026401584, 36.16731442404577, 0.289056075735779, 80.05994821398492, 0.2865322383134893, 0.02047295018859599, 85.34619206249033, [5.9755956097830785, 5.035996038289458, 4.8632793014171245, 4.68769541627974, 5.38969060065851, 5.087457797803924, 5.8698110321330015, 5.146437913858757, 6.7042647891216465, 5.4091047118501345, 6.687792755165421, 7.771602015558832]]","[0.0044645350026401584, 37.31737452367251, 0.6128954787992467, 80.26807133488755, 0.1596702205150238, 0.02047295018859599, 56.91918797015029, [6.917711147645944, 4.722198839941719, 4.8632793014171245, 5.2649979578465285, 5.367160997246635, 4.938987957306349, 5.9996834834494805, 5.902884750050992, 6.58454183070098, 5.104293825256156, 6.621815497840319, 7.330877318805816]]","[0.0003906640081671184, 0.0003907211185304028, 0.0003964033926167135, 0.000404539207790319, 0.0004055809008490657]",0.0003975817255907
logcosh_loss,32,500,70,1,2,0.5,"[0.0028086573016740737, 48.09394258232612, 0.901164615489908, 78.53301126528841, 0.08359754772338387, 0.016136005243267276, 34.541938597475344, [6.813037340937823, 4.405977885737229, 4.252168068244967, 3.719134580422302, 3.6710598307095137, 3.1808772458210797, 3.3638632315665475, 2.7307874723059347, 3.057794928701107, 3.88976399027765, 3.0396757098184835, 2.6281928439299858]]","[0.0028086573016740737, 50.437177237880825, 0.12574904539013781, 83.18650757864637, 0.08458321686799294, 0.01333337914559491, 49.2945749512989, [6.667369320555259, 5.070683794768552, 4.471715990197047, 3.8355149272628433, 3.772951690361362, 3.357111941918731, 3.3845969025420524, 3.502066217728383, 3.168961506766467, 3.5207318406688657, 2.852148016772251, 5.287593973980158]]","[0.0028086573016740737, 46.954197338776765, 0.41765211626066023, 81.35879176733283, 0.08458321686799294, 0.013689138112757099, 51.379077972444506, [7.628471118213419, 4.905800204774526, 4.307776330896222, 3.6571623734504364, 3.6710598307095137, 3.748157367466948, 3.070262595708121, 3.363908944442642, 3.1053912567230966, 2.8603068168093078, 2.990790675576761, 2.588262894959687]]","[0.0028086573016740737, 46.954197338776765, 0.39328462031575584, 81.35879176733283, 0.08458321686799294, 0.013689138112757099, 51.379077972444506, [7.628471118213419, 4.905800204774526, 4.300501558606187, 3.6571623734504364, 3.6710598307095137, 2.9223019191577237, 3.070262595708121, 3.6193208573372564, 3.1053912567230966, 2.8603068168093078, 2.990790675576761, 1.9905978485080889]]","[0.0028086573016740737, 45.604101273746984, 0.9057002581526457, 33.36443982148951, 0.08458321686799294, 0.015273791902460698, 44.71711929991443, [7.3470699935010515, 6.027452592641477, 4.065565590734167, 3.6647000003369605, 3.420912569286501, 3.0831991560388095, 3.3701573056264604, 3.2711407622797717, 3.1053912567230966, 3.0760558899907986, 2.990790675576761, 2.990021194478161]]","[0.00038590226595479056, 0.00039626462442097116, 0.00039800081150063223, 0.00040353873576118044, 0.00040581372944784407]",0.000397904033417
logcosh_loss,32,500,70,1,2,0.5,"[0.003875272071872596, 43.814517275488704, 0.17619505325749601, 79.0959500977606, 0.058967288712077834, 0.0209625714914229, 6.477802509360093, [7.16034130910107, 5.054312741775636, 5.224548054415747, 4.691999274412688, 5.0181221994452825, 5.16269955282151, 5.33522087602745, 5.617456869607358, 5.22977078532846, 4.822124123402174, 5.261058044658232, 5.022803758366801]]","[0.003875272071872596, 46.04528009311456, 0.4405706805806231, 59.32220814954856, 0.05842312731435037, 0.0209625714914229, 1.4202066819956247, [6.927752626145971, 4.9821900372919945, 5.084448060126016, 4.0557973661828175, 4.860870719445973, 5.008536908342641, 5.191768222806459, 4.521319083471239, 5.329578718179714, 3.604471309158258, 5.264832613254113, 5.022803758366801]]","[0.003875272071872596, 44.649277625108105, 0.9919274897583156, 94.75539362144684, 0.05678120587033086, 0.0209625714914229, 4.569514418610932, [7.16034130910107, 4.641713235937534, 5.084220584595783, 4.2388718461410555, 5.0181221994452825, 5.157182035645136, 5.33522087602745, 4.903169011432314, 5.251134094305165, 4.765598869059422, 5.261058044658232, 6.300178503310912]]","[0.003875272071872596, 47.012137542939755, 0.3295027413823181, 62.321890262500716, 0.06141459522429278, 0.0209625714914229, 0.06782235952288306, [7.095699003097048, 4.9231025345206785, 5.129367955612888, 3.8218033232482904, 4.9909483117221365, 4.331410638079569, 4.833835127969866, 4.230615079983741, 5.269528488846894, 4.301993914886029, 5.353684744346046, 3.55737723599348]]","[0.0037639660997996474, 47.012137542939755, 0.5125291019928095, 64.42477687494456, 0.05689488662175044, 0.0209625714914229, 0.06782235952288306, [7.091129593104826, 5.143388858307142, 4.621535991441032, 3.8338132474363733, 4.789286722877068, 4.097692062823715, 5.2127046488533315, 5.1048248577592545, 5.269528488846894, 4.794241172587166, 5.478665946664077, 4.177964978148712]]","[0.00040626988269511086, 0.00040724909415713, 0.0004099756262031151, 0.0004113916215300647, 0.0004141196830894054]",0.0004098011815349
logcosh_loss,32,500,70,1,2,0.5,"[0.003157602885137485, 49.56175504156375, 0.3839493280360695, 76.20605232285718, 0.2000310887310341, 0.019884775920022052, 63.736768006351475, [8.615644290131053, 4.399754034808919, 4.595109939693053, 3.8865945064899408, 3.954547911907427, 3.7843864741069093, 3.8984562732144665, 3.938192026029821, 3.949562152227435, 4.472280488848879, 3.789532762297981, 3.171903077990555]]","[0.003069562342490839, 48.92860528715568, 0.9072766798756561, 67.77927431243127, 0.20264626062221644, 0.019884775920022052, 64.65263082886939, [6.33118848566133, 4.177831796735235, 3.9596767207123498, 3.513073075756421, 3.7642776822518664, 3.461247108618624, 3.97382175171393, 3.133765037580479, 3.987251258984388, 3.084234530138731, 3.869452968198755, 2.8538219918944256]]","[0.003157602885137485, 46.29830277142946, 0.5, 88.55985827238551, 0.2026350828197329, 0.019884775920022052, 65.12555498609467, [7.8270834665942015, 4.420425834832629, 4.115155096503716, 3.559156984884259, 3.6334415052510733, 4.144755170720542, 3.7254892278125786, 3.5737047644900666, 3.781386631692495, 3.850569939757561, 3.4520136853199257, 4.02736567001282]]","[0.003157602885137485, 47.53292518751829, 0.08393554568576266, 79.11210411948878, 0.18039238491970425, 0.019884775920022052, 56.94614519116596, [5.493561059294805, 4.555665494383033, 4.137076000926643, 3.513073075756421, 3.9554201101173705, 4.012057406307299, 4.059921288781669, 3.073252560414656, 3.6917841808992344, 3.4709451736791994, 3.876009824386843, 2.9544383942604893]]","[0.003069562342490839, 51.59757780760482, 0.4880576962975254, 75.64582762758297, 0.20368031810694712, 0.019884775920022052, 67.66074925740818, [6.918999827964255, 4.71941350334802, 4.579384428345654, 3.513073075756421, 3.916160290710728, 4.158079321526192, 4.146144661246869, 4.723664264828793, 3.858587677068202, 3.5887665731178062, 3.986053691257832, 2.9176605503052553]]","[0.0004000296700459916, 0.00040644309570315117, 0.00041043428746740285, 0.00041169770440196914, 0.0004250399174421455]",0.0004107289350121
