CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,70,1,2,0.5,"[3.99560201e-03 3.09276646e+01 2.56533920e-01 5.49674877e+01
 4.19047917e-02 1.30000157e-02 5.85718661e+00 4.17836848e+00]","[3.99560201e-03 3.19732761e+01 2.59978657e-01 5.42476476e+01
 4.20039107e-02 1.30000157e-02 2.29491431e+00 4.24162548e+00]","[3.99560201e-03 3.18101591e+01 2.74216015e-01 6.04449628e+01
 4.24988076e-02 1.30000157e-02 4.52863610e+00 4.24391611e+00]","[3.99560201e-03 3.18527214e+01 2.56533920e-01 6.42906368e+01
 4.23465128e-02 1.30000157e-02 5.02494655e+00 4.27179993e+00]","[3.99560201e-03 3.16622441e+01 5.06188846e-01 6.07140538e+01
 4.24988076e-02 1.30000157e-02 4.52863610e+00 4.22582609e+00]","[0.0002798734001430669, 0.0002801437319889643, 0.0002811394868045791, 0.0002838960511616274, 0.00028443261721334596]",0.0002818970574623
logcosh_loss,32,500,70,1,2,0.5,"[4.01982992e-03 3.09892658e+01 6.61978579e-01 8.94687361e+01
 4.51172299e-02 1.23959181e-02 8.55446498e+00 4.12245581e+00]","[4.01982992e-03 3.05135817e+01 8.82446607e-02 8.76389362e+01
 4.70074148e-02 1.23959181e-02 1.29525314e+01 4.14258668e+00]","[4.01982992e-03 3.04622899e+01 6.22074217e-01 8.51484942e+01
 4.69218120e-02 1.23959181e-02 1.38963773e+01 4.12175087e+00]","[4.01982992e-03 3.07618099e+01 5.90012493e-01 8.57989255e+01
 4.51585824e-02 1.23959181e-02 1.37679186e+01 4.20150920e+00]","[4.01982992e-03 3.12583305e+01 6.79928262e-01 8.94782134e+01
 4.51172299e-02 1.32367084e-02 1.00771583e+01 4.25688752e+00]","[0.0002836634364231203, 0.0002839311772324422, 0.0002842883791994123, 0.00028471286246216983, 0.0002856336272534075]",0.0002844458965141
logcosh_loss,32,500,70,1,2,0.5,"[4.34806581e-03 3.24560434e+01 3.81888172e-01 5.20807924e+01
 4.10418887e-02 1.22892183e-02 8.19396375e+00 4.97238421e+00]","[4.34806581e-03 3.21225521e+01 6.43034174e-01 6.10960818e+01
 4.67368256e-02 1.20719544e-02 1.79647922e+01 4.93250130e+00]","[4.34806581e-03 3.25335453e+01 5.54620557e-01 5.68502703e+01
 4.10418887e-02 1.20719544e-02 9.26641298e+00 4.97139584e+00]","[4.34806581e-03 3.22731970e+01 6.57234864e-01 5.91268915e+01
 4.14364776e-02 1.20719544e-02 6.94706890e+00 4.88232335e+00]","[4.34806581e-03 3.24560434e+01 4.37547849e-01 4.79718808e+01
 4.10418887e-02 1.22892183e-02 8.19396375e+00 5.04617300e+00]","[0.0002795841719941326, 0.0002844121068586449, 0.00028526212441059456, 0.0002867925182418153, 0.00029005867334585736]",0.0002852219189702
logcosh_loss,32,500,70,1,2,0.5,"[4.15466583e-03 2.94780196e+01 8.52871424e-01 3.27812861e+01
 1.17966240e-01 1.18914718e-02 9.72865078e+01 4.30983762e+00]","[4.15466583e-03 3.03425783e+01 8.70107100e-01 2.86284898e+01
 1.22621853e-01 1.18914718e-02 9.60500793e+01 4.24727621e+00]","[4.15466583e-03 2.99492371e+01 9.02096036e-01 4.99271588e+01
 1.23772193e-01 1.18914718e-02 9.79269329e+01 4.31145584e+00]","[4.15466583e-03 3.01024997e+01 4.68046855e-01 3.50596014e+01
 1.23772193e-01 1.21238653e-02 9.56314254e+01 4.30983762e+00]","[4.15466583e-03 2.99492371e+01 7.07513200e-01 3.27812861e+01
 1.17966240e-01 1.21238653e-02 9.34410276e+01 4.30983762e+00]","[0.00028683096956288827, 0.0002878658670985622, 0.00028936024815707254, 0.00028956389905019394, 0.00029053138773295014]",0.0002888304743203
logcosh_loss,32,500,70,1,2,0.5,"[3.81190036e-03 2.89928438e+01 8.98979953e-01 6.83031085e+01
 1.13405351e-01 1.21905104e-02 8.65565225e+01 3.72659229e+00]","[3.81190036e-03 3.00471997e+01 6.84350344e-01 7.51016380e+01
 1.13405351e-01 1.21905104e-02 8.38662772e+01 3.75142016e+00]","[3.81190036e-03 3.01292947e+01 5.78246484e-01 7.14503277e+01
 1.13405351e-01 1.21905104e-02 8.46188445e+01 3.72659229e+00]","[3.81190036e-03 2.98741466e+01 4.92866281e-01 7.47480342e+01
 1.19765780e-01 1.21905104e-02 8.94899337e+01 3.74101970e+00]","[3.74426199e-03 2.88061800e+01 6.63229157e-01 6.73457620e+01
 1.13405351e-01 1.21905104e-02 8.42529338e+01 3.55939898e+00]","[0.0002888727310883037, 0.00029008937405440897, 0.000291991088007741, 0.0002932718167185973, 0.00029347216864428536]",0.0002915394357026
logcosh_loss,32,500,70,1,2,0.5,"[3.97667817e-03 3.47656591e+01 6.09177645e-01 6.76035055e+01
 1.00548486e-01 1.43446032e-02 6.21307993e+01 4.50095127e+00]","[3.97667817e-03 3.45218586e+01 5.79024660e-01 6.33537370e+01
 9.83544382e-02 1.43446032e-02 5.96822708e+01 4.50102462e+00]","[3.97667817e-03 3.25245676e+01 5.00000000e-01 2.89905742e+01
 1.00548486e-01 1.43446032e-02 5.98334945e+01 4.24791819e+00]","[3.97667817e-03 3.44058366e+01 7.05806377e-01 6.82994444e+01
 9.83544382e-02 1.43446032e-02 5.89867201e+01 4.50102462e+00]","[3.97667817e-03 3.45810496e+01 6.70873281e-01 3.48848853e+01
 1.08182114e-01 1.43446032e-02 6.61252363e+01 4.46748502e+00]","[0.0002890670976539631, 0.0002917426493565295, 0.00029197365988117884, 0.0002923139031572545, 0.0002929853634640096]",0.0002916165347025
logcosh_loss,32,500,70,1,2,0.5,"[4.25951580e-03 3.35743692e+01 3.14406028e-01 4.97190421e+01
 1.61762130e-01 1.41668575e-02 9.95641919e+01 4.96157764e+00]","[4.25951580e-03 3.46039347e+01 5.00000000e-01 3.10293063e+01
 1.54302059e-01 1.41668575e-02 9.55872416e+01 4.98001911e+00]","[4.25951580e-03 3.43894391e+01 3.65445565e-01 3.75483866e+01
 1.55852171e-01 1.41668575e-02 9.67520542e+01 5.04067094e+00]","[4.25951580e-03 3.36124062e+01 4.70434617e-01 4.49152290e+01
 1.61955504e-01 1.41668575e-02 9.72077658e+01 4.87090721e+00]","[4.25951580e-03 3.34969488e+01 5.13575998e-01 6.26066876e+01
 1.61874725e-01 1.41668575e-02 9.80247054e+01 4.88598265e+00]","[0.0002868987676993729, 0.0002901799319114652, 0.00029491819682122026, 0.00029580405742469487, 0.0002975108653109349]",0.0002930623638335
logcosh_loss,32,500,70,1,2,0.5,"[3.84103858e-03 3.40631069e+01 7.64554586e-01 8.69147172e+01
 5.12648425e-02 1.44095921e-02 1.17936999e+01 4.16932369e+00]","[3.84103858e-03 3.47793619e+01 2.68102103e-01 9.09327928e+01
 5.12648425e-02 1.46529213e-02 9.77245585e+00 4.21820113e+00]","[3.84103858e-03 3.39073782e+01 3.84468650e-01 4.96372992e+01
 5.12648425e-02 1.44095921e-02 1.17430178e+01 4.13240003e+00]","[3.84103858e-03 3.37141870e+01 5.25650424e-01 9.10979805e+01
 4.78878822e-02 1.46529213e-02 8.70850223e+00 4.18794955e+00]","[3.84103858e-03 3.41676077e+01 5.25650424e-01 9.15120637e+01
 4.78878822e-02 1.44095921e-02 9.21692836e+00 4.21628289e+00]","[0.0002887688492972445, 0.00029165112111416034, 0.000291753774824254, 0.00029744255494952587, 0.00029768131389630646]",0.0002934595228162
logcosh_loss,32,500,70,1,2,0.5,"[3.79816928e-03 3.06448343e+01 6.47776982e-01 7.37025263e+01
 1.14274391e-01 1.27682446e-02 7.88643203e+01 3.81652498e+00]","[3.79816928e-03 3.14076743e+01 5.00000000e-01 7.33455916e+01
 1.14274391e-01 1.31827288e-02 7.88643203e+01 3.93063984e+00]","[3.79816928e-03 3.21756077e+01 7.42767408e-01 9.44329267e+01
 1.14274391e-01 1.31827288e-02 7.75772060e+01 3.96071378e+00]","[3.97858407e-03 3.09251804e+01 7.01115549e-01 9.66994506e+01
 1.04263141e-01 1.23262386e-02 8.14100388e+01 4.24713260e+00]","[3.79816928e-03 3.29852841e+01 6.58283681e-01 8.93975884e+01
 9.60976939e-02 1.23262386e-02 7.21592458e+01 4.09747825e+00]","[0.0002878144775369966, 0.0002940939195305932, 0.0002945406492547714, 0.0002951588458093014, 0.00029636680058313814]",0.0002935949385429
logcosh_loss,32,500,70,1,2,0.5,"[4.02989423e-03 3.45502557e+01 8.87317058e-01 4.95558872e+01
 1.75474509e-01 1.48508275e-02 9.59047756e+01 4.57870133e+00]","[4.02989423e-03 3.39557085e+01 5.02503184e-01 5.45600319e+01
 1.77824203e-01 1.48508275e-02 9.50819154e+01 4.45725538e+00]","[4.02599031e-03 3.35927015e+01 7.28932440e-01 5.63251905e+01
 1.81267027e-01 1.48508275e-02 9.72504526e+01 4.47581390e+00]","[4.02989423e-03 3.45162367e+01 5.58366408e-01 6.11304558e+01
 1.75474509e-01 1.48508275e-02 9.69015155e+01 4.57870133e+00]","[4.02989423e-03 3.33038857e+01 5.00000000e-01 6.21853855e+01
 1.75474509e-01 1.48508275e-02 9.52194014e+01 4.44375524e+00]","[0.00029149254893692496, 0.0002922251055276799, 0.0002948048675397561, 0.0002963312773950224, 0.00029668336112108524]",0.000294307432104
