CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,70,1,2,0.5,"[2.55908599e-03 2.56887037e+01 3.83575397e-01 2.15597497e+01
 2.17051869e-01 3.15822320e-02 6.46236679e+01 2.43760838e+00]","[2.55908599e-03 2.45062703e+01 4.84416404e-01 2.09953267e+01
 2.27724253e-01 3.15822320e-02 6.54208632e+01 2.36546260e+00]","[2.55908599e-03 2.58442435e+01 5.85216452e-01 2.09953267e+01
 2.27724253e-01 3.15822320e-02 6.54208632e+01 2.43760838e+00]","[2.55908599e-03 2.45062703e+01 4.77586350e-01 2.09953267e+01
 2.39716098e-01 3.15822320e-02 6.62861290e+01 2.35008956e+00]","[2.55908599e-03 2.54589786e+01 3.40751063e-01 2.15830576e+01
 2.33910308e-01 3.15822320e-02 6.45912130e+01 2.41645560e+00]","[0.0002484089765168989, 0.00024865836963922864, 0.0002495491822603777, 0.00024968805083562984, 0.0002497839694149416]",0.0002492177097334
logcosh_loss,32,500,70,1,2,0.5,"[2.56425315e-03 2.66763168e+01 3.99691147e-01 2.16895666e+01
 5.38671011e-02 3.27123783e-02 1.77927083e+01 2.46435291e+00]","[2.56425315e-03 2.66486807e+01 4.05275087e-01 2.19314889e+01
 5.38671011e-02 3.25845241e-02 1.79980666e+01 2.49464073e+00]","[2.56425315e-03 2.65187154e+01 4.05275087e-01 2.18034224e+01
 5.38671011e-02 3.25845241e-02 1.79911039e+01 2.47150917e+00]","[2.56425315e-03 2.77755587e+01 4.69654268e-01 2.18048437e+01
 5.38671011e-02 3.23617184e-02 1.53949796e+01 2.50131758e+00]","[2.56425315e-03 2.55096076e+01 3.58858165e-01 2.19314889e+01
 5.13702727e-02 3.23617184e-02 1.72698996e+01 2.43628303e+00]","[0.0002499999270347503, 0.0002510178639610211, 0.00025235006265041473, 0.0002528478598752508, 0.00025377531262038886]",0.0002519982052283
logcosh_loss,32,500,70,1,2,0.5,"[2.67158044e-03 2.49976248e+01 2.65504499e-01 2.22082696e+01
 2.93270733e-02 2.95257228e-02 3.46517371e-01 2.53171369e+00]","[2.67158044e-03 2.56776666e+01 2.86991550e-01 2.21405816e+01
 2.93270733e-02 2.88959913e-02 1.21684002e+00 2.57346227e+00]","[2.67158044e-03 2.55712997e+01 2.90461272e-01 2.22082696e+01
 2.93270733e-02 2.95257228e-02 1.34711836e+00 2.56480518e+00]","[2.67158044e-03 2.55712997e+01 2.69734613e-01 2.25672681e+01
 2.97404045e-02 2.88959913e-02 1.34711836e+00 2.55495611e+00]","[2.67158044e-03 2.54356773e+01 2.27016448e-01 2.25672681e+01
 2.93270733e-02 2.95257228e-02 1.21684002e+00 2.56813267e+00]","[0.00025123032195393895, 0.00025217576876832525, 0.00025264559313531974, 0.0002532233231227128, 0.00025332069073953514]",0.0002525191395439
logcosh_loss,32,500,70,1,2,0.5,"[2.52808003e-03 2.66090358e+01 1.83262290e-01 2.35577593e+01
 3.67075794e-01 3.54219704e-02 6.92041479e+01 2.43889984e+00]","[2.52808003e-03 2.61538763e+01 2.01728081e-01 2.29598364e+01
 3.27663804e-01 3.54219704e-02 6.70574505e+01 2.41973531e+00]","[2.52808003e-03 2.67990774e+01 1.88129907e-01 2.31487008e+01
 2.86343327e-01 3.54219704e-02 6.09354194e+01 2.43690360e+00]","[2.52808003e-03 2.66601209e+01 2.28934174e-01 2.31487008e+01
 3.27270555e-01 3.54219704e-02 6.63867506e+01 2.44586872e+00]","[2.52808003e-03 2.61538763e+01 2.14641523e-01 2.29598364e+01
 3.27663804e-01 3.54219704e-02 6.62387181e+01 2.41973531e+00]","[0.0002480911087098961, 0.00025384074713378336, 0.00025387110440497026, 0.00025407564850853017, 0.00025452606728080255]",0.0002528809352075
logcosh_loss,32,500,70,1,2,0.5,"[2.63530585e-03 2.58811552e+01 1.87881916e-01 2.31725521e+01
 6.78949695e-02 3.16368610e-02 2.60971152e+01 2.53348844e+00]","[2.63530585e-03 2.61898395e+01 1.69279102e-01 2.36778245e+01
 6.63639713e-02 3.34059317e-02 2.13622080e+01 2.54279415e+00]","[2.63530585e-03 2.63518699e+01 2.07417398e-01 2.31897658e+01
 6.78949695e-02 3.16368610e-02 2.49920531e+01 2.54279415e+00]","[2.63530585e-03 2.55106252e+01 2.43140508e-01 2.29792433e+01
 6.78949695e-02 3.16368610e-02 2.66085659e+01 2.52213586e+00]","[2.63530585e-03 2.55106252e+01 2.02024867e-01 2.29792433e+01
 6.75992884e-02 3.16368610e-02 2.71012319e+01 2.52213586e+00]","[0.00024999208915259296, 0.0002548593614714919, 0.0002552868971692891, 0.0002556167085692233, 0.00025561847755058934]",0.0002542747067826
logcosh_loss,32,500,70,1,2,0.5,"[2.64595190e-03 2.42591941e+01 1.78336833e-01 2.24823371e+01
 1.94070433e-01 3.07965340e-02 6.34597177e+01 2.47874593e+00]","[2.64595190e-03 2.50534649e+01 2.02606032e-01 2.24823371e+01
 1.89769679e-01 3.07965340e-02 6.09815970e+01 2.47874593e+00]","[2.64595190e-03 2.45154652e+01 2.02606032e-01 2.27664461e+01
 2.04007198e-01 3.09344645e-02 6.37434663e+01 2.46403892e+00]","[2.64595190e-03 2.42591941e+01 1.96777696e-01 2.24823371e+01
 1.98314305e-01 3.07965340e-02 6.34597177e+01 2.47874593e+00]","[2.64595190e-03 2.63820691e+01 1.64459680e-01 2.42780181e+01
 2.18640199e-01 3.07965340e-02 6.32950276e+01 2.54976297e+00]","[0.00025448995816104464, 0.0002549013005165077, 0.0002553776214849234, 0.0002561127114349461, 0.0002565206000094323]",0.0002554804383213
logcosh_loss,32,500,70,1,2,0.5,"[2.62104332e-03 2.63077036e+01 3.26741928e-01 2.19936253e+01
 2.28068253e-01 3.14792908e-02 6.55426764e+01 2.55307078e+00]","[2.62104332e-03 2.56440185e+01 2.71951973e-01 2.22081896e+01
 2.35753677e-01 3.14792908e-02 6.72085604e+01 2.53372255e+00]","[2.62104332e-03 2.61211420e+01 2.91498067e-01 2.22081896e+01
 2.45228045e-01 3.14792908e-02 6.82434844e+01 2.55566126e+00]","[2.62104332e-03 2.63077036e+01 2.98195860e-01 2.21189745e+01
 2.28068253e-01 3.14792908e-02 6.47818080e+01 2.49389547e+00]","[2.62104332e-03 2.63077036e+01 2.94082215e-01 2.22081896e+01
 2.28068253e-01 3.14792908e-02 6.55426764e+01 2.56155799e+00]","[0.00025469387164397885, 0.0002552696239206414, 0.0002556701593172196, 0.0002564921497882487, 0.0002568964960180136]",0.0002558044601376
logcosh_loss,32,500,70,1,2,0.5,"[2.67038368e-03 2.55410672e+01 5.73152543e-01 2.11431886e+01
 3.41137306e-01 2.96546937e-02 8.43030241e+01 2.55831517e+00]","[2.67038368e-03 2.62415527e+01 5.69340923e-01 2.11572524e+01
 4.34995114e-01 3.01840728e-02 8.94057140e+01 2.59869024e+00]","[2.67038368e-03 2.46495123e+01 4.53777670e-01 2.10170688e+01
 4.60719350e-01 3.01840728e-02 9.42249189e+01 2.53144604e+00]","[2.67038368e-03 2.50095896e+01 5.73152543e-01 2.11572524e+01
 3.41137306e-01 2.97775651e-02 8.43030241e+01 2.53144604e+00]","[2.67038368e-03 2.50539292e+01 4.90252805e-01 2.10618624e+01
 4.60719350e-01 2.92110162e-02 9.55178817e+01 2.53144604e+00]","[0.0002527453777432148, 0.0002538993679526525, 0.0002577168202132614, 0.0002583846357433115, 0.00025860414974674577]",0.0002562700702798
logcosh_loss,32,500,70,1,2,0.5,"[2.65007011e-03 2.62087207e+01 2.23051815e-01 2.32167070e+01
 5.74996420e-02 2.93266420e-02 2.46368646e+01 2.58769522e+00]","[2.65007011e-03 2.50178876e+01 1.99575362e-01 2.29829347e+01
 5.80109693e-02 2.93266420e-02 2.34443326e+01 2.48466616e+00]","[2.65007011e-03 2.57525861e+01 1.85150338e-01 2.32167070e+01
 5.58246253e-02 2.93266420e-02 2.26806453e+01 2.57586041e+00]","[2.65007011e-03 2.50178876e+01 3.86936062e-01 2.14650897e+01
 5.74996420e-02 2.93266420e-02 2.73229701e+01 2.51979611e+00]","[2.65007011e-03 2.47607370e+01 2.55573031e-01 2.26787369e+01
 5.74996420e-02 2.93266420e-02 2.61347921e+01 2.52917825e+00]","[0.00025675856231396405, 0.000259097610121062, 0.0002608606965677201, 0.00026108011659934407, 0.0002611131284426705]",0.0002597820228089
logcosh_loss,32,500,70,1,2,0.5,"[2.75693688e-03 2.46083040e+01 2.21918220e-01 2.22826859e+01
 3.34435309e-02 2.74849758e-02 7.70528763e+00 2.61550719e+00]","[2.75693688e-03 2.44185342e+01 2.35323569e-01 2.20697170e+01
 3.32636977e-02 2.75639722e-02 7.70528763e+00 2.57669753e+00]","[2.75693688e-03 2.43014210e+01 2.11276410e-01 2.20510107e+01
 3.47684067e-02 2.75943787e-02 9.77488008e+00 2.57785094e+00]","[2.75693688e-03 2.40605754e+01 2.17562797e-01 2.19532679e+01
 3.32636977e-02 2.74849758e-02 7.63591081e+00 2.58642923e+00]","[2.75693688e-03 2.46083040e+01 2.39606270e-01 2.19172262e+01
 3.32636977e-02 2.66813017e-02 7.70528763e+00 2.59663550e+00]","[0.0002586887105137113, 0.000258947451626576, 0.0002612247509899866, 0.0002612637727548735, 0.00026205329395365823]",0.0002604355959677
