CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,70,1,2,0.5,"[3.18632535e-03 4.69065109e+01 6.40248172e-01 7.50535314e+01
 2.48283470e-01 2.34515783e-02 6.04232131e+01 4.06282671e+00]","[3.18632535e-03 4.81208561e+01 4.56103216e-01 6.40414429e+01
 2.77239358e-01 2.34515783e-02 6.53743609e+01 4.10169442e+00]","[3.18632535e-03 4.88966951e+01 2.77338704e-01 7.04653175e+01
 2.48283470e-01 2.34515783e-02 5.96740351e+01 4.17902243e+00]","[3.18632535e-03 5.23351613e+01 5.08279738e-01 7.82840694e+01
 2.66580627e-01 2.34515783e-02 6.17028395e+01 4.32702448e+00]","[3.18632535e-03 5.12671588e+01 5.08279738e-01 6.40414429e+01
 2.77239358e-01 2.34515783e-02 6.57976223e+01 4.38896081e+00]","[0.0004701370076765854, 0.00047682926549941836, 0.0004887917070067415, 0.000489482085371106, 0.0004912673009477063]",0.0004833014733003115
logcosh_loss,32,500,70,1,2,0.5,"[2.98611701e-03 4.12924151e+01 2.69798794e-01 6.88936940e+01
 2.42042130e-01 2.37326476e-02 5.75048628e+01 3.25254059e+00]","[2.98611701e-03 4.40892117e+01 2.44326384e-01 7.18808017e+01
 2.42042130e-01 2.37326476e-02 5.52061505e+01 3.34765013e+00]","[2.98611701e-03 4.34586822e+01 3.21684831e-01 6.65337338e+01
 2.99320899e-01 2.37326476e-02 6.73218908e+01 3.43690617e+00]","[2.83777202e-03 4.37154646e+01 5.75634543e-01 7.60521956e+01
 2.67304164e-01 2.21095145e-02 6.63904637e+01 3.16975392e+00]","[2.83777202e-03 4.43309872e+01 3.21684831e-01 6.65607505e+01
 2.28411430e-01 2.19416001e-02 6.06320001e+01 3.24221078e+00]","[0.0005038747733203512, 0.0005075795117505011, 0.0005080795536237877, 0.000508368194432233, 0.0005085162820857236]",0.0005072836630425194
logcosh_loss,32,500,70,1,2,0.5,"[2.42871138e-03 3.69733101e+01 4.34454238e-01 7.42817347e+01
 4.96580825e-01 2.28615928e-02 9.19529441e+01 2.38174253e+00]","[2.42871138e-03 3.76922555e+01 3.13604438e-01 6.17882523e+01
 4.99946505e-01 2.28615928e-02 9.12520608e+01 2.41408917e+00]","[2.42871138e-03 3.78053868e+01 9.19435756e-01 8.84733923e+01
 5.02595201e-01 2.28615928e-02 9.04594567e+01 2.40424496e+00]","[2.42871138e-03 3.54651567e+01 8.86970596e-01 8.84733923e+01
 3.19209286e-01 2.28615928e-02 7.12363611e+01 2.30653771e+00]","[2.42871138e-03 3.78053868e+01 5.87772801e-01 5.82367956e+01
 4.96580825e-01 2.28615928e-02 9.19529441e+01 2.42758515e+00]","[0.0006112725529492506, 0.0006180934771745552, 0.0006203581208431409, 0.0006211790857152939, 0.0006211917530702043]",0.000618418997950489
logcosh_loss,32,500,70,1,2,0.5,"[4.92760863e-03 4.17032051e+01 8.39049615e-01 9.08742749e+01
 1.81731156e-01 1.66691439e-02 9.61704301e+01 7.86535650e+00]","[4.92760863e-03 4.12305301e+01 4.08438327e-01 8.94927505e+01
 1.81731156e-01 1.66691439e-02 9.51558527e+01 7.82407594e+00]","[4.91708433e-03 4.07054502e+01 4.81976177e-01 8.90366935e+01
 1.79034764e-01 1.66691439e-02 9.54881931e+01 7.77040136e+00]","[4.92760863e-03 4.17032051e+01 7.53338562e-01 9.50997293e+01
 1.81731156e-01 1.66691439e-02 9.56814923e+01 7.99239677e+00]","[4.92760863e-03 4.27735177e+01 4.61903609e-01 8.94625327e+01
 1.81731156e-01 1.65824447e-02 9.55845340e+01 8.09218582e+00]","[0.0004087150465603303, 0.0004128130185087703, 0.0004166687019232546, 0.00041690299023826826, 0.0004172319348626211]",0.0004144663384186489
logcosh_loss,32,500,70,1,2,0.5,"[4.34192997e-03 3.64735547e+01 2.41830545e-01 8.16308150e+01
 6.34112387e-02 1.50516850e-02 3.02843340e+01 5.41346249e+00]","[4.34192997e-03 3.66736122e+01 7.38933731e-01 8.16308150e+01
 6.34112387e-02 1.50516850e-02 3.03964782e+01 5.43589769e+00]","[4.34192997e-03 3.59463893e+01 3.05839606e-01 7.47583619e+01
 6.34112387e-02 1.50516850e-02 2.86848463e+01 5.28578367e+00]","[4.34192997e-03 3.76362099e+01 2.54357865e-01 8.58605280e+01
 6.20589864e-02 1.50516850e-02 3.06023885e+01 5.63272641e+00]","[4.34192997e-03 3.52353395e+01 5.00000000e-01 8.00934157e+01
 6.34112387e-02 1.50516850e-02 3.01968994e+01 5.25212216e+00]","[0.00031064568195394104, 0.0003132708589754329, 0.00031356886671742826, 0.0003162237807985889, 0.0003166629390021145]",0.0003140744254895011
logcosh_loss,32,500,70,1,2,0.5,"[3.01585344e-03 3.75028835e+01 5.42627290e-01 6.48269125e+01
 1.46390697e-01 2.22267443e-02 4.20137793e+01 3.18659536e+00]","[3.01585344e-03 3.75028835e+01 5.42627290e-01 6.48269125e+01
 1.46390697e-01 2.22267443e-02 4.17320380e+01 3.18659536e+00]","[2.85468858e-03 4.29988692e+01 4.46984012e-01 4.61353122e+01
 1.32468017e-01 2.22267443e-02 3.57899111e+01 3.23273841e+00]","[2.85468858e-03 4.25147377e+01 4.11657621e-01 4.67736799e+01
 1.32468017e-01 2.22267443e-02 3.58909760e+01 3.23273841e+00]","[2.85468858e-03 4.29520757e+01 5.47947771e-01 6.24156337e+01
 1.31671887e-01 2.24763751e-02 3.43014183e+01 3.20453501e+00]","[0.00047154255289034243, 0.00048201783562316295, 0.00048408550504538484, 0.0004846283195043639, 0.0004850564434729968]",0.0004814661313072502
logcosh_loss,32,500,70,1,2,0.5,"[3.58713243e-03 3.32456901e+01 7.47450330e-01 5.51181607e+01
 5.12314051e-02 1.52038121e-02 6.69743326e+00 3.70205100e+00]","[3.58713243e-03 3.35301628e+01 7.26390205e-01 5.52462921e+01
 5.12314051e-02 1.52038121e-02 8.95090266e+00 3.75572370e+00]","[3.58713243e-03 3.29343236e+01 4.54335958e-01 5.61578519e+01
 5.12314051e-02 1.52038121e-02 6.69743326e+00 3.65567196e+00]","[3.58713243e-03 3.29098257e+01 6.17643434e-01 4.34553254e+01
 5.12314051e-02 1.52038121e-02 8.95090266e+00 3.70205100e+00]","[3.58713243e-03 3.29343236e+01 8.11870885e-01 5.79892283e+01
 5.12314051e-02 1.52038121e-02 7.85379187e+00 3.65567196e+00]","[0.00030873839012318275, 0.00030966269517763675, 0.00031025307017051287, 0.00031063737058774213, 0.00031075269746725243]",0.0003100088447052654
logcosh_loss,32,500,70,1,2,0.5,"[3.73648694e-03 4.39171845e+01 8.75820648e-01 6.03562460e+01
 1.02290564e-01 1.86465180e-02 4.18085896e+01 5.01564325e+00]","[3.73648694e-03 4.39171845e+01 3.11667171e-01 5.41099122e+01
 1.02290564e-01 1.86465180e-02 4.18632984e+01 5.01564325e+00]","[3.73648694e-03 4.76926276e+01 8.17517617e-01 5.41099122e+01
 9.84635484e-02 1.86465180e-02 3.80408470e+01 5.31945124e+00]","[3.73648694e-03 4.78718610e+01 5.05100110e-01 6.66539662e+01
 1.20224263e-01 2.03584293e-02 4.25386275e+01 5.24044671e+00]","[3.64982460e-03 4.60372752e+01 4.21921304e-01 6.39775131e+01
 1.26508718e-01 1.88188609e-02 5.25752857e+01 5.08588945e+00]","[0.0003835824974249524, 0.00039310668223890106, 0.0004091771544236444, 0.0004145376398560218, 0.0004146474614132421]",0.00040301028707135235
logcosh_loss,32,500,70,1,2,0.5,"[-4.69108707e-02  2.30292558e+01 -1.45634383e-02  8.77428075e+01
  2.84003847e-01  3.36378603e-02  2.90062694e+01  8.14028014e+00]","[-4.99705884e-02  2.01827033e+01 -1.45634383e-02  9.36752308e+01
  2.84003847e-01  3.48264318e-02  2.87391610e+01  7.78810683e+00]","[-4.69108707e-02  2.01239776e+01 -1.45634383e-02  9.15792970e+01
  1.57754788e-01  2.88786708e-02  2.40710724e+01  7.66898838e+00]","[-4.69108707e-02  2.01239776e+01 -1.45634383e-02  8.88665791e+01
  1.57754788e-01  2.88786708e-02  2.32963511e+01  8.12058352e+00]","[-4.69108707e-02  2.01239776e+01 -1.45634383e-02  8.80691197e+01
  1.57754788e-01  2.88786708e-02  2.32963511e+01  8.04254917e+00]","[0.0022438926527908673, 0.002259064228837494, 0.0022646663575523153, 0.0022930912703135495, 0.002297853621498591]",0.0022717136261985633
logcosh_loss,32,500,70,1,2,0.5,"[3.46670778e-03 4.47910585e+01 5.00000000e-01 5.03157661e+01
 7.48401716e-02 1.97307564e-02 1.80561310e+01 4.43730261e+00]","[3.46670778e-03 4.50197900e+01 5.50669559e-01 5.70424531e+01
 7.48401716e-02 1.97307564e-02 1.86716637e+01 4.44950318e+00]","[3.46670778e-03 4.49381099e+01 4.80160189e-01 4.66543139e+01
 7.48401716e-02 1.97307564e-02 1.70374919e+01 4.39300873e+00]","[3.46670778e-03 4.50673578e+01 8.02943741e-01 5.64929480e+01
 7.48401716e-02 1.97307564e-02 1.73769632e+01 4.46446944e+00]","[3.46670778e-03 4.54438726e+01 6.97445152e-01 4.76719636e+01
 7.48401716e-02 1.97307564e-02 1.91577847e+01 4.50659921e+00]","[0.0003871255111709707, 0.0003886096306514246, 0.0003940312041210332, 0.000394261899536357, 0.0003969452390650092]",0.0003921946969089589
