CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,70,1,2,0.5,"[4.48454818e-03 3.47275870e+01 7.31850319e-01 8.96764984e+01
 8.22685275e-02 1.52366100e-02 5.80524265e+01 5.78403064e+00]","[4.48454818e-03 3.43238211e+01 1.48264243e-01 8.01589995e+01
 8.15618914e-02 1.52366100e-02 5.92165414e+01 5.89881450e+00]","[4.48454818e-03 3.11277984e+01 2.93073467e-02 8.05029021e+01
 8.15618914e-02 1.52366100e-02 5.85883765e+01 5.90705264e+00]","[4.48454818e-03 3.52588131e+01 5.96310700e-01 7.75473976e+01
 8.15618914e-02 1.52366100e-02 5.70501334e+01 5.94611664e+00]","[4.48454818e-03 3.45807185e+01 4.18536417e-01 9.56206865e+01
 8.23155974e-02 1.52366100e-02 5.91909573e+01 5.90705264e+00]","[0.00040827518091713933, 0.0004135664466511294, 0.00041379555309224784, 0.00041387144343698815, 0.0004155955651318777]",0.0004130208378458765
logcosh_loss,32,500,70,1,2,0.5,"[4.53346156e-03 3.88800456e+01 6.17599366e-01 7.28984802e+01
 5.59250341e-02 1.73497906e-02 2.67003150e+01 6.57725963e+00]","[4.53346156e-03 3.78110446e+01 9.02292299e-01 6.41447401e+01
 5.34470100e-02 1.69723496e-02 2.50164840e+01 6.44680540e+00]","[4.53346156e-03 3.78110446e+01 5.55002334e-01 7.13643678e+01
 5.59250341e-02 1.69723496e-02 2.75140670e+01 6.41884933e+00]","[4.53346156e-03 3.68681757e+01 5.75355453e-01 4.58033641e+01
 5.34470100e-02 1.69723496e-02 2.46394446e+01 6.31873998e+00]","[4.53346156e-03 3.78110446e+01 6.97498170e-01 5.39932010e+01
 5.59250341e-02 1.69723496e-02 2.77400657e+01 6.36304015e+00]","[0.0004350719277609026, 0.00043567563299318386, 0.0004368068903000368, 0.0004376218248959816, 0.00043927399833431496]",0.000436890054856884
logcosh_loss,32,500,70,1,2,0.5,"[4.11783165e-03 3.96210569e+01 4.19947426e-01 5.56957521e+01
 3.97357939e-02 1.86714954e-02 4.60167344e-01 5.64183507e+00]","[4.11783165e-03 3.96351108e+01 6.90861811e-01 6.05654413e+01
 3.89603529e-02 1.86714954e-02 5.69662617e-01 5.71775105e+00]","[4.11783165e-03 3.97377417e+01 4.37470439e-01 6.89813670e+01
 3.97357939e-02 1.86714954e-02 5.00000000e-01 5.67695624e+00]","[4.11783165e-03 4.02881953e+01 4.21286899e-01 6.25906224e+01
 3.97357939e-02 1.86714954e-02 1.31914063e+00 5.71173954e+00]","[4.11783165e-03 3.96351108e+01 5.00000000e-01 6.73975477e+01
 3.97357939e-02 1.86714954e-02 5.00000000e-01 5.62263217e+00]","[0.00041297062828293986, 0.00041329863071991525, 0.0004184740043966422, 0.00041889449012147417, 0.0004189745230023017]",0.00041652245530465466
logcosh_loss,32,500,70,1,2,0.5,"[4.78099999e-03 3.73538565e+01 6.94588320e-01 5.02641999e+01
 1.21187265e-01 1.70994005e-02 7.75271005e+01 7.31919739e+00]","[4.78099999e-03 3.80941534e+01 5.48344813e-01 3.36727338e+01
 1.21187265e-01 1.65052511e-02 7.76758341e+01 7.12623918e+00]","[4.78099999e-03 3.88536985e+01 8.47351613e-01 5.97036206e+01
 1.21187265e-01 1.70994005e-02 7.59754513e+01 7.37757306e+00]","[4.78099999e-03 3.70044994e+01 7.03990199e-01 2.84378883e+01
 1.21213639e-01 1.65052511e-02 7.98052598e+01 6.96208906e+00]","[4.78099999e-03 3.89562272e+01 3.93278052e-01 5.13329645e+01
 1.21213639e-01 1.70033059e-02 7.65439567e+01 7.42937881e+00]","[0.00046714145238560133, 0.0004741360102249293, 0.00047470925811440206, 0.00047562063398114005, 0.00047596194143391683]",0.00047351385922799795
logcosh_loss,32,500,70,1,2,0.5,"[2.38712288e-03 2.99591127e+01 9.91837145e-01 3.71993780e+01
 9.70049041e-02 2.00045552e-02 2.86486423e+01 2.04775550e+00]","[2.30350219e-03 3.10001149e+01 7.64067432e-01 4.36436978e+01
 9.70049041e-02 2.13540666e-02 2.62981886e+01 2.02068173e+00]","[2.38712288e-03 3.01667483e+01 7.13086831e-01 2.45928513e+01
 9.76675245e-02 2.13540666e-02 2.63833451e+01 2.09035269e+00]","[2.38712288e-03 2.95150596e+01 8.53544145e-01 3.10962145e+01
 1.00585634e-01 2.13540666e-02 2.71816825e+01 2.00824187e+00]","[2.30350219e-03 2.99591127e+01 4.80562007e-01 2.65218610e+01
 1.00585634e-01 2.13540666e-02 2.70917435e+01 1.95160316e+00]","[0.0005022588152837391, 0.0005128546164195648, 0.000515516770232775, 0.0005160717211952433, 0.0005179032238383455]",0.0005129210293939335
logcosh_loss,32,500,70,1,2,0.5,"[2.48806415e-03 4.86950534e+01 9.42590730e-01 6.23628548e+01
 7.27838488e-02 2.64979518e-02 5.47472594e+00 3.02530942e+00]","[2.42666252e-03 4.81694547e+01 9.42590730e-01 6.32226784e+01
 7.27838488e-02 2.50453430e-02 5.69140066e+00 2.90289945e+00]","[2.48806415e-03 4.86950534e+01 6.24572354e-01 5.93326383e+01
 7.66893282e-02 2.64979518e-02 7.44878803e+00 3.03024299e+00]","[2.48806415e-03 4.94327462e+01 7.73413364e-01 5.37575947e+01
 7.72286940e-02 2.64979518e-02 5.47335169e+00 2.89518022e+00]","[2.48806415e-03 4.94327462e+01 2.88926451e-01 5.93326383e+01
 7.72286940e-02 2.64979518e-02 7.44878803e+00 3.03024299e+00]","[0.0005879623938259197, 0.0005944863074001071, 0.0005966292845565073, 0.0005983955387809732, 0.0005994701746828223]",0.0005953887398492659
logcosh_loss,32,500,70,1,2,0.5,"[3.14297156e-03 3.58530118e+01 7.55289835e-01 8.93973846e+01
 1.02524427e-01 1.88042413e-02 4.05399488e+01 3.29757548e+00]","[3.14297156e-03 3.58530118e+01 5.93051183e-01 4.86582493e+01
 1.04506368e-01 1.92451690e-02 4.02631309e+01 3.29699101e+00]","[3.14297156e-03 3.58530118e+01 5.93051183e-01 5.14107006e+01
 1.04506368e-01 1.88042413e-02 4.05491004e+01 3.25756422e+00]","[3.14297156e-03 3.46517842e+01 5.86955107e-01 8.60804159e+01
 1.02524427e-01 1.88042413e-02 3.95965964e+01 3.18792994e+00]","[3.14297156e-03 3.54908018e+01 5.93051183e-01 5.27403329e+01
 1.10078871e-01 1.92451690e-02 4.12692302e+01 3.28104058e+00]","[0.0003626407673169795, 0.0003640705579699387, 0.0003689981138134373, 0.0003691843540311381, 0.0003698782855452277]",0.0003669544157353443
logcosh_loss,32,500,70,1,2,0.5,"[4.12447497e-03 3.42535880e+01 3.90763325e-01 5.76660970e+01
 4.55551850e-02 1.61124385e-02 1.08905686e+01 4.90778686e+00]","[4.12447497e-03 3.27973671e+01 8.89877405e-02 6.47458603e+01
 4.55551850e-02 1.61124385e-02 1.15740206e+01 4.77088285e+00]","[4.12447497e-03 3.33444847e+01 2.81772007e-01 5.80481693e+01
 4.55551850e-02 1.61124385e-02 1.17699437e+01 4.82298874e+00]","[4.12447497e-03 3.43169006e+01 1.89488358e-01 5.97409315e+01
 4.55551850e-02 1.61124385e-02 1.12302743e+01 4.87541019e+00]","[4.12447497e-03 3.38374177e+01 4.96029141e-01 6.99915555e+01
 4.50275571e-02 1.61124385e-02 1.03349483e+01 4.91402380e+00]","[0.0003709560741909093, 0.00037476836113377836, 0.00037488794079842003, 0.0003752237905920694, 0.0003760603455841206]",0.00037437930245985955
logcosh_loss,32,500,70,1,2,0.5,"[3.54349445e-03 3.69617202e+01 5.00000000e-01 3.58661362e+01
 7.63394617e-02 1.88807090e-02 2.68306130e+01 4.00962010e+00]","[3.54349445e-03 3.77621003e+01 7.79865353e-01 3.02201887e+01
 7.93337287e-02 1.88807090e-02 2.93496496e+01 4.09225198e+00]","[3.54349445e-03 3.84713331e+01 7.84314240e-01 4.46806356e+01
 7.40429489e-02 1.88510546e-02 2.60946697e+01 4.14762416e+00]","[3.54349445e-03 3.75203664e+01 5.00816644e-01 4.32289682e+01
 7.93337287e-02 1.88807090e-02 2.99584632e+01 4.11306614e+00]","[3.54349445e-03 3.71153394e+01 5.49575259e-01 3.80659054e+01
 7.89682896e-02 1.88807090e-02 2.76465602e+01 3.93830610e+00]","[0.0003701451537826253, 0.0003754543543232442, 0.0003790284641884032, 0.0003794639697712454, 0.00038035359557259606]",0.0003768891075276228
logcosh_loss,32,500,70,1,2,0.5,"[3.29860688e-03 3.34519359e+01 8.97290945e-01 6.90611499e+01
 5.63069909e-02 1.76167695e-02 1.24403628e+01 3.39062585e+00]","[3.29860688e-03 3.33194471e+01 1.91862031e-01 6.96119158e+01
 5.63069909e-02 1.76167695e-02 1.14730365e+01 3.36501634e+00]","[3.29860688e-03 3.32544740e+01 5.28777685e-01 5.81645731e+01
 5.63069909e-02 1.76167695e-02 1.06019187e+01 3.31493766e+00]","[3.29860688e-03 3.10970242e+01 6.89407325e-02 5.64835099e+01
 5.63069909e-02 1.73834114e-02 1.37307550e+01 3.25555649e+00]","[3.29860688e-03 3.20380319e+01 4.50438886e-01 5.13294928e+01
 5.74980903e-02 1.76167695e-02 1.35529407e+01 3.30342173e+00]","[0.00034606696691364715, 0.0003464466242839323, 0.0003471854297622875, 0.00034820658962275827, 0.0003487654443584255]",0.00034733421098821017
